,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,ROGUE LAWYER;by John Grisham;8 weeks on the list,ROGUE LAWYER;by John Grisham;8 weeks on the list,THE MARTIAN;by Andy Weir;59 weeks on the list,,,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;12 weeks on the list,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;12 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;81 weeks on the list,50 CHILDREN;by Steven Pressman;New this week,THE PIONEER WOMAN COOKS: DINNERTIME;by Ree Drummond;8 weeks on the list,THE SANDMAN;by Neil Gaiman and Dirk Maggs;5 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 3;by Robert Kirkman and Charlie Adlard;9 weeks on the list","ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;15 weeks on the list",THE SWORD OF SUMMER;by Rick Riordan;10 weeks on the list,THE SWORD OF SUMMER;by Rick Riordan;10 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;18 weeks on the list,HOW TO CATCH SANTA;by Jean Reagan. Illustrated by Lee Wildish;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;352 weeks on the list,THE 5TH WAVE;by Rick Yancey;12 weeks on the list,THE AMAZING BOOK IS NOT ON FIRE;by Dan Howell and Phil Lester;9 weeks on the list,THE 5TH WAVE;by Rick Yancey;17 weeks on the list,DO UNTO ANIMALS;by Tracey Stewart;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,TROUBLEMAKER;by Leah Remini and Rebecca Paley;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,STRANGERS ON A BRIDGE;by James Donovan;,THE WRIGHT BROTHERS;by David McCullough;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,THE PIONEER WOMAN COOKS: DINNERTIME;by Ree Drummond;,LOST OCEAN;illustrated by Johanna Basford;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,WHY NOT ME?;by Mindy Kaling;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,WHY NOT ME?;by Mindy Kaling;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,TROUBLEMAKER;by Leah Remini and Rebecca Paley;,THING EXPLAINER;by Randall Munroe;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;
2,CROSS JUSTICE;by James Patterson;3 weeks on the list,CROSS JUSTICE;by James Patterson;3 weeks on the list,MY BRILLIANT FRIEND;by Elena Ferrante;15 weeks on the list,,,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;6 weeks on the list,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;6 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;28 weeks on the list,SUCH GOOD GIRLS;by R. D. Rosen;2 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;59 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;182 weeks on the list,DRAMA;by Raina Telgemeier;124 weeks on the list,"ASSASSINATION CLASSROOM, VOL. 7;by Yusei Matsui;2 weeks on the list",THE KEEPER;by David Baldacci;14 weeks on the list,AUGGIE & ME;by R.J. Palacio;17 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;18 weeks on the list,THE DAY THE CRAYONS CAME HOME;by Drew Daywalt. Illustrated by Oliver Jeffers;17 weeks on the list,HARRY POTTER;by J.K. Rowling;351 weeks on the list,THE INFINITE SEA;by Rick Yancey;6 weeks on the list,SIX OF CROWS;by Leigh Bardugo;10 weeks on the list,PAPER TOWNS;by John Green;18 weeks on the list,CATIFY TO SATISFY;by Jackson Galaxy and Kate Benjamin;,THE SCHOOL OF GREATNESS;by Lewis Howes;,WHY NOT ME?;by Mindy Kaling;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,MY LIFE ON THE ROAD;by Gloria Steinem;,THE ORGANIZED MIND;by Daniel J. Levitin;,100 DEADLY SKILLS;by Clint Emerson;,IN THE HEART OF THE SEA;by Nathaniel Philbrick;,TIMELESS BEAUTY;by Christie Brinkley;,NERDY NUMMIES COOKBOOK;by Rosanna Pansino;,HARRY POTTER COLORING BOOK;by various illustrators;,BEING MORTAL;by Atul Gawande;,BINGE;by Tyler Oakley;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,DARTH VADER AND SON;by Jeffrey Brown;,DESTINY AND POWER;by Jon Meacham;,JUST MERCY;by Bryan Stevenson;,THE WITCHES;by Stacy Schiff;,BEING MORTAL;by Atul Gawande;,ABOVE THE LINE;by Urban Meyer with Wayne Coffey;,MY SOUTHERN JOURNEY;by Rick Bragg;
3,THE GUILTY;by David Baldacci;4 weeks on the list,SEE ME;by Nicholas Sparks;9 weeks on the list,BROOKLYN;by Colm Toibin;7 weeks on the list,,,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;6 weeks on the list,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;9 weeks on the list,IN THE HEART OF THE SEA;by Nathaniel Philbrick;25 weeks on the list,BOYS IN THE TREES;by Carly Simon;3 weeks on the list,THING EXPLAINER;by Randall Munroe;3 weeks on the list,"AMAZING FANTASTIC INCREDIBLE;by Stan Lee, Peter David and Colleen Doran;6 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;163 weeks on the list","DEADMAN WONDERLAND, VOL. 12;by Jinsei Kataoka and Kazuma Kondou;New this week",THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;5 weeks on the list,WONDER;by R.J. Palacio;18 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;18 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;129 weeks on the list,DORK DIARIES;by Rachel Renée Russell;146 weeks on the list,RED QUEEN;by Victoria Aveyard;New this week,ELEANOR AND PARK;by Rainbow Rowell;16 weeks on the list,LOOKING FOR ALASKA;by John Green;18 weeks on the list,THE DOGIST;by Elias Weiss Friedman;,ABOVE THE LINE;by Urban Meyer with Wayne Coffey;,WILDFLOWER;by Drew Barrymore;,JUST MERCY;by Bryan Stevenson;,M TRAIN;by Patti Smith;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,BRIDGE OF SPIES;by Giles Whittell;,DEAD WAKE;by Erik Larson;,HOME;by Ellen DeGeneres;,THE FOOD LAB;by J. Kenji Lopez-Alt;,ENCHANTED FOREST;illustrated by Johanna Basford;,FURIOUSLY HAPPY;by Jenny Lawson;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,TRACE;by Lauret Savoy;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,CRIPPLED AMERICA;by Donald J. Trump;,THE NEW JIM CROW;by Michelle Alexander;,THE POWER OF I AM;by Joel Osteen;,THE WRIGHT BROTHERS;by David McCullough;,"50 YEARS, 50 MOMENTS;by Jerry Rice and Randy O. Williams;",HUMANS OF NEW YORK;by Brandon Stanton;
4,THE MARTIAN;by Andy Weir;29 weeks on the list,THE BAZAAR OF BAD DREAMS;by Stephen King;6 weeks on the list,THE ALCHEMIST;by Paulo Coelho;384 weeks on the list,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;22 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;22 weeks on the list,YES PLEASE;by Amy Poehler;15 weeks on the list,TROUBLEMAKER;by Leah Remini and Rebecca Paley;6 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;132 weeks on the list,KILLING AND DYING;by Adrian Tomine;10 weeks on the list,SMILE;by Raina Telgemeier;183 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;26 weeks on the list",WONDER;by R.J. Palacio;17 weeks on the list,ROBOTS GO WILD;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;3 weeks on the list,HOUSE OF ROBOTS;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;8 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;64 weeks on the list,RUSH REVERE;by Rush Limbaugh with Kathryn Adams Limbaugh;17 weeks on the list,A COURT OF THORNS AND ROSES;by Sarah J. Maas;2 weeks on the list,RED QUEEN;by Victoria Aveyard;17 weeks on the list,THIS BOOK LOVES YOU;by PewDiePie;8 weeks on the list,THROUGH A DOG'S EYES;by Jennifer Arnold;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,SPQR;by Mary Beard;,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;,SPY SECRETS THAT CAN SAVE YOUR LIFE;by Jason Hanson;,INTO THE WILD;by Jon Krakauer;,STYLED;by Emily Henderson and Angelin Borsics;,HAPPY COOKING;by Giada De Laurentiis;,STRESS RELIEVING ANIMAL DESIGNS;by the editors of Blue Star Books;,TIMELESS BEAUTY;by Christie Brinkley;,SELP-HELF;by Miranda Sings;,1491;by Charles C. Mann;,DARING GREATLY;by Brené Brown;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE BOOK OF FORGIVING;by Desmond Tutu;,THE EMMAUS CODE;by David Limbaugh;,UNSTOPPABLE;by Bill Nye. Edited by Corey S. Powell;,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,PACIFIC;by Simon Winchester;
5,ASHLEY BELL;by Dean Koontz;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;84 weeks on the list,THE MAN IN THE HIGH CASTLE;by Philip K. Dick;3 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;82 weeks on the list,DESTINY AND POWER;by Jon Meacham;5 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;313 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;9 weeks on the list,THE FOOD LAB;by J. Kenji Lopez-Alt;6 weeks on the list,"STEP ASIDE, POPS;by Kate Beaton;13 weeks on the list",THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;31 weeks on the list,"ONE-PUNCH MAN, VOL. 2;by ONE and Yusuke Murata;9 weeks on the list",THE FINISHER;by David Baldacci;12 weeks on the list,THE ISLE OF THE LOST;by Melissa de la Cruz;17 weeks on the list,THE PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;18 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;63 weeks on the list,THE MAZE RUNNER;by James Dashner;166 weeks on the list,WE WERE LIARS;by E. Lockhart;8 weeks on the list,CARRY ON;by Rainbow Rowell;10 weeks on the list,THE BOOK THIEF;by Markus Zusak;18 weeks on the list,THE HORSE;by Wendy Williams;,OUTLIERS;by Malcolm Gladwell;,BINGE;by Tyler Oakley;,MERCHANTS IN THE TEMPLE;by Gianluigi Nuzzi;,HUMANS OF NEW YORK;by Brandon Stanton;,THE PRIZE;by Dale Russakoff;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,ASTORIA;by Peter Stark;,LOVE STYLE LIFE;by Garance Doré;,THE 20/20 DIET;by Phil McGraw;,SECRET GARDEN;illustrated by Johanna Basford;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,YES PLEASE;by Amy Poehler;,BORN TO RUN;by Christopher McDougall;,DEAR MR. YOU;by Mary-Louise Parker;,LITTLE VICTORIES;by Jason Gay;,LIGHTS OUT;by Ted Koppel;,CITIZEN;by Claudia Rankine;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,QUIET;by Susan Cain;,THE ART OF PEACE;by Morihei Ueshiba. Translated and edited by John Stevens;,WILD;by Cheryl Strayed;
6,TOM CLANCY: COMMANDER IN CHIEF;by Mark Greaney;2 weeks on the list,THE GUILTY;by David Baldacci;4 weeks on the list,READY PLAYER ONE;by Ernest Cline;16 weeks on the list,,,DESTINY AND POWER;by Jon Meacham;5 weeks on the list,WHAT IF?;by Randall Munroe;39 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;9 weeks on the list,THE BIG SHORT;by Michael Lewis;21 weeks on the list,HOW NOT TO DIE;by Michael Greger with Gene Stone;New this week,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;84 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;90 weeks on the list","TOKYO GHOUL, VOL. 3;by Sui Ishida;8 weeks on the list",,THE STORY OF DIVA AND FLEA;by Mo Willems. Illustrated by Tony DiTerlizzi;8 weeks on the list,GOOSEBUMPS MOVIE NOVEL;Edited by R. L. Stine;9 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;95 weeks on the list,DESCENDANTS;by various authors;17 weeks on the list,,FANGIRL;by Rainbow Rowell;17 weeks on the list,THE INFINITE SEA;by Rick Yancey;6 weeks on the list,BUFFALO FOR THE BROKEN HEART;by Dan O'Brien;,THE POWER OF HABIT;by Charles Duhigg;,FURIOUSLY HAPPY;by Jenny Lawson;,SOMEONE'S DAUGHTER;by Silvia Pettem;,THIS OLD MAN;by Roger Angell;,THE OPPOSITE OF LONELINESS;by Marina Keegan;,THE DEVIL'S CHESSBOARD;by David Talbot;,PACIFIC;by Simon Winchester;,HOW TO TIE A SCARF;by the staff of Potter Style;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,VAULT DWELLER'S SURVIVAL GUIDE;by David Hodgson and Nick von Esmarch;,TOUGH AS THEY COME;by Travis Mills with Marcus Brotherton;,BASSOON KING;by Rainn Wilson;,,LOVE DOES;by Bob Goff;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,A MORE PERFECT UNION;by Ben Carson with Candy Carson;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,FOR THE LOVE;by Jen Hatmaker;,WHAT IF?;by Randall Munroe;,SUPER BOWL GOLD;by the editors of Sports Illustrated;,A WALK IN THE WOODS;by Bill Bryson;
7,SEE ME;by Nicholas Sparks;9 weeks on the list,TOM CLANCY: COMMANDER IN CHIEF;by Mark Greaney;2 weeks on the list,STARS OF FORTUNE;by Nora Roberts;6 weeks on the list,,,WHY NOT ME?;by Mindy Kaling;13 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;27 weeks on the list,QUIET;by Susan Cain;121 weeks on the list,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;6 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;44 weeks on the list,THE BEST AMERICAN COMICS 2015;edited by Jonathan Lethem;10 weeks on the list,SISTERS;by Raina Telgemeier;67 weeks on the list,"TOKYO GHOUL, VOL. 2;by Sui Ishida;15 weeks on the list",,CRENSHAW;by Katherine Applegate;12 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;18 weeks on the list,WAITING;by Kevin Henkes;6 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;12 weeks on the list,,ILLUMINAE;by Amie Kaufman and Jay Kristoff;8 weeks on the list,AN ABUNDANCE OF KATHERINES;by John Green;16 weeks on the list,RESCUE ROAD;by Peter Zheutlin;,GOOD PROFIT;by Charles G. Koch;,M TRAIN;by Patti Smith;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE RAP YEAR BOOK;by Shea Serrano and Arturo Torres;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,RED NOTICE;by Bill Browder;,THE OREGON TRAIL;by Rinker Buck;,EMPIRE OF COTTON;by Sven Beckert;,THUG KITCHEN;by the staff of Thug Kitchen;,ADULT COLORING BOOKS;by the staff of Coloring Books for Adults;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,NOT THAT KIND OF GIRL;by Lena Dunham;,,THE ANDY COHEN DIARIES;by Andy Cohen;,WALK TO BEAUTIFUL;by Jimmy Wayne with Ken Abraham;,MY LIFE ON THE ROAD;by Gloria Steinem;,GHETTOSIDE;by Jill Leovy;,IMAGINE HEAVEN;by John Burke;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",ALONE ON THE WALL;by Alex Honnold with David Roberts;,"RARELY SEEN;by the staff of National Geographic, Stephen Alvarez and Susan Tyler Hitchcock;"
8,TRICKY TWENTY-TWO;by Janet Evanovich;4 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;48 weeks on the list,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;6 weeks on the list",,,THE WRIGHT BROTHERS;by David McCullough;26 weeks on the list,WHY NOT ME?;by Mindy Kaling;12 weeks on the list,WE SHOULD ALL BE FEMINISTS;by Chimamanda Ngozi Adichie;2 weeks on the list,ARCHIE AND AMÉLIE;by Donna M. Lucey;New this week,YEAR OF YES;by Shonda Rhimes;5 weeks on the list,101 ARTISTS TO LISTEN TO BEFORE YOU DIE;by Ricardo Cavolo;5 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: MARY ANNE SAVES THE DAY;by Ann M. Martin and Raina Telgemeier;9 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;117 weeks on the list",,PERCY JACKSON'S GREEK HEROES;by Rick Riordan. Illustrated by John Rocco;13 weeks on the list,FLORA AND ULYSSES;by Kate DiCamillo. Illustrated by K. G. Campbell;7 weeks on the list,PRESS HERE;by Hervé Tullet;219 weeks on the list,LUNAR CHRONICLES;by Marissa Meyer;13 weeks on the list,,"EVERYTHING, EVERYTHING;by Nicola Yoon;14 weeks on the list",ME AND EARL AND THE DYING GIRL;by Jesse Andrews;18 weeks on the list,TOUCHING THE WILD;by Joe Hutto;,THE COURAGE TO ACT;by Ben S. Bernanke;,BOYS IN THE TREES;by Carly Simon;,RED NOTICE;by Bill Browder;,BOB DYLAN: ALL THE SONGS;by Philippe Margotin and Jean-Michel Guesdon;,HOW WE LEARN;by Benedict Carey;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",THE INVENTION OF NATURE;by Andrea Wulf;,I'LL NEVER WRITE MY MEMOIRS;by Grace Jones as told to Paul Morley;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,CREATIVE HAVEN CREATIVE CATS COLORING BOOK;Illustrated by Marjorie Sarnat;,MEDICAL MEDIUM;by Anthony William;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,VADER'S LITTLE PRINCESS;by Jeffrey Brown;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,BLACK MAN IN A WHITE COAT;by Damon Tweedy;,MAGICIANS OF THE GODS;by Graham Hancock;,THE POWER OF HABIT;by Charles Duhigg;,THE THREE-YEAR SWIM CLUB;by Julie Checkoway;,BELLA TUSCANY;by Frances Mayes;
9,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;64 weeks on the list,THE MAGIC STRINGS OF FRANKIE PRESTO;by Mitch Albom;5 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;104 weeks on the list,,,WHAT IF?;by Randall Munroe;19 weeks on the list,THE WITCHES;by Stacy Schiff;7 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;100 weeks on the list",KILLING REAGAN;by Bill O'Reilly and Martin Dugard;12 weeks on the list,BIG MAGIC;by Elizabeth Gilbert;12 weeks on the list,HERE;by Richard McGuire;32 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: THE TRUTH ABOUT STACEY;by Ann M. Martin and Raina Telgemeier;10 weeks on the list,"NARUTO, VOL. 72;by Masashi Kishimoto;9 weeks on the list",,THE MARVELS;by Brian Selznick;11 weeks on the list,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;15 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;210 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;377 weeks on the list,,ALL THE BRIGHT PLACES;by Jennifer Niven;11 weeks on the list,THE FAULT IN OUR STARS;by John Green;14 weeks on the list,THE LIVING BIRD;Photography by Gerrit Vyn. Essays by various authors;,#GIRLBOSS;by Sophia Amoruso;,BUT ENOUGH ABOUT ME;by Burt Reynolds and Jon Winokur;,TINSELTOWN;by William J. Mann;,SAM PHILLIPS;by Peter Guralnick;,ON WRITING;by Stephen King;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,DEEP DOWN DARK;by Hector Tobar;,MY JOURNEY;by Donna Karan;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THE OFFICIAL A GAME OF THRONES COLORING BOOK;various illustrators;,INTERNAL MEDICINE;by Terrence Holt;,BOSSYPANTS;by Tina Fey;,,THE BOOK OF FORGIVING;by Desmond Tutu;,H IS FOR HAWK;by Helen Macdonald;,GOVERNMENT ZERO;by Michael Savage;,NEGROLAND;by Margo Jefferson;,THE LIGHT BETWEEN US;by Laura Lynne Jackson;,DO UNTO ANIMALS;by Tracey Stewart;,UNBROKEN;by Laura Hillenbrand;,THE ONLY STREET IN PARIS;by Elaine Sciolino;
10,THE GIRL ON THE TRAIN;by Paula Hawkins;45 weeks on the list,TRICKY TWENTY-TWO;by Janet Evanovich;4 weeks on the list,EVERYTHING I NEVER TOLD YOU;by Celeste Ng;26 weeks on the list,,,BOYS IN THE TREES;by Carly Simon;3 weeks on the list,CRIPPLED AMERICA;by Donald J. Trump;6 weeks on the list,UNBROKEN;by Laura Hillenbrand;58 weeks on the list,JOHN LENNON;by Philip Norman;2 weeks on the list,SELP-HELF;by Miranda Sings;10 weeks on the list,THE THRILLING ADVENTURES OF LOVELACE AND BABBAGE;by Sydney Padua;23 weeks on the list,SUNNY SIDE UP;by Jennifer L. Holm and Matthew Holm;3 weeks on the list,"SERAPH OF THE END, VOL. 7;by Takaya Kagami and Yamato Yamamoto;2 weeks on the list",,CIRCUS MIRANDUS;by Cassie Beasley. Illustrated by Diana Sudyka;2 weeks on the list,COUNTING BY 7s;by Holly Goldberg Sloan;13 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;13 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;12 weeks on the list,,THE HIRED GIRL;by Laura Amy Schlitz;New this week,I'LL GIVE YOU THE SUN;by Jandy Nelson;7 weeks on the list,FELINES OF NEW YORK;by Jim Tews;,MONEY: MASTER THE GAME;by Tony Robbins;,PETTY;by Warren Zanes;,MY STORY;by Elizabeth Smart with Chris Stewart;,PHOTOGRAPHY;by Tom Ang;,A LITTLE HISTORY OF THE WORLD;by E. H. Gombrich and Clifford Harper. Translated by Caroline Mustill;,AGENT STORM;by Morten Storm with Paul Cruickshank and Tim Lister;,ATLAS OF CURSED PLACES;by Olivier Le Carrer;,FACE PAINT;by Lisa Eldridge;,THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,CREATIVE HAVEN ART NOUVEAU ANIMAL DESIGNS COLORING BOOK;Illustrated by Marty Noble;,A COMMON STRUGGLE;by Patrick J. Kennedy and Stephen Fried;,ALMOST INTERESTING;by David Spade;,,TINY BEAUTIFUL THINGS;by Cheryl Strayed;,HOW TO LOVE;by Thich Nhat Hanh. Illustrated by Jason DeAntonis;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,TRACE;by Lauret Savoy;,IT IS ABOUT ISLAM;by Glenn Beck;,ELON MUSK;by Ashlee Vance;,I FEEL LIKE GOING ON;by Ray Lewis with Daniel Paisner;,PRISONERS OF GEOGRAPHY;by Tim Marshall;
