,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,THE SURVIVOR;by Vince Flynn and Kyle Mills;New this week,THE SURVIVOR;by Vince Flynn and Kyle Mills;New this week,THE MARTIAN;by Andy Weir;50 weeks on the list,,,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;3 weeks on the list,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;3 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;72 weeks on the list,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;3 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;50 weeks on the list,"THE WALKING DEAD, BOOK 12;by Robert Kirkman and Charlie Adlard;New this week",DRAMA;by Raina Telgemeier;115 weeks on the list,"NARUTO, VOL. 72;by Masashi Kishimoto;New this week",THE SWORD OF SUMMER;by Rick Riordan;New this week,THE SWORD OF SUMMER;by Rick Riordan;New this week,MAX;by Boaz Yakin and Sheldon Lettich;9 weeks on the list,THE DAY THE CRAYONS CAME HOME;by Drew Daywalt. Illustrated by Oliver Jeffers;8 weeks on the list,HARRY POTTER;by J.K. Rowling;342 weeks on the list,CARRY ON;by Rainbow Rowell;New this week,CARRY ON;by Rainbow Rowell;New this week,PAPER TOWNS;by John Green;9 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,OUTLIERS;by Malcolm Gladwell;,WHY NOT ME?;by Mindy Kaling;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,THE ART OF MEMOIR;by Mary Karr;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,THE WRIGHT BROTHERS;by David McCullough;,COCO CHANEL;by Justine Picardie;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,SECRET GARDEN;illustrated by Johanna Basford;,FURIOUSLY HAPPY;by Jenny Lawson;,WHY NOT ME?;by Mindy Kaling;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,WHY NOT ME?;by Mindy Kaling;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,I CAN SEE CLEARLY NOW;by Wayne W. Dyer;,THE WRIGHT BROTHERS;by David McCullough;,THE BOYS IN THE BOAT;by Daniel James Brown;,A WALK IN THE WOODS;by Bill Bryson;
2,THE MARTIAN;by Andy Weir;20 weeks on the list,A KNIGHT OF THE SEVEN KINGDOMS;by George R. R. Martin;New this week,MEMORY MAN;by David Baldacci;4 weeks on the list,,,A MORE PERFECT UNION;by Ben Carson with Candy Carson;New this week,A MORE PERFECT UNION;by Ben Carson with Candy Carson;New this week,I AM MALALA;by Malala Yousafzai with Christina Lamb;19 weeks on the list,A COMMON STRUGGLE;by Patrick J. Kennedy and Stephen Fried;New this week,THE POWER OF I AM;by Joel Osteen;New this week,KILLING AND DYING;by Adrian Tomine;New this week,"AVATAR, THE LAST AIRBENDER: SMOKE AND SHADOW, PART 1;by Gene Luen Yang and Gurihiru;New this week","FOOD WARS!, VOL. 8;by Yuto Tsukuda and Shun Saeki;New this week",THE KEEPER;by David Baldacci;5 weeks on the list,WONDER;by R.J. Palacio;9 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;9 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;6 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;220 weeks on the list,THE WHITE ROSE;by Amy Ewing;New this week,THE REST OF US JUST LIVE HERE;by Patrick Ness;New this week,THE 5TH WAVE;by Rick Yancey;8 weeks on the list,TOP DOG;by Maria Goodavage;,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;",FURIOUSLY HAPPY;by Jenny Lawson;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,ONCE IN A GREAT CITY;by David Maraniss;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,DOUBLE CROSS;by Ben Macintyre;,DEAD WAKE;by Erik Larson;,LOVABLE LIVABLE HOME;by Sherry Petersik and John Petersik;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,ENCHANTED FOREST;illustrated by Johanna Basford;,BEING MORTAL;by Atul Gawande;,FURIOUSLY HAPPY;by Jenny Lawson;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,THE GLASS CASTLE;by Jeannette Walls;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,JUST MERCY;by Bryan Stevenson;,IT IS ABOUT ISLAM;by Glenn Beck;,BEING MORTAL;by Atul Gawande;,FAST GIRL;by Suzy Favor Hamilton with Sarah Tomlinson;,WILD;by Cheryl Strayed;
3,A KNIGHT OF THE SEVEN KINGDOMS;by George R. R. Martin;New this week,THE MURDER HOUSE;by James Patterson and David Ellis;2 weeks on the list,GREY;by E. L. James;17 weeks on the list,,,A COMMON STRUGGLE;by Patrick J. Kennedy and Stephen Fried;New this week,M TRAIN;by Patti Smith;New this week,ONE NATION;by Ben Carson with Candy Carson;6 weeks on the list,ROSEMARY;by Kate Clifford Larson;New this week,BIG MAGIC;by Elizabeth Gilbert;3 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;174 weeks on the list,"STAR WARS, VOL. 1;by Jason Aaron and John Cassaday;New this week","TOKYO GHOUL, VOL. 1;by Sui Ishida;17 weeks on the list",WONDER;by R.J. Palacio;9 weeks on the list,THE ISLE OF THE LOST;by Melissa de la Cruz;8 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;9 weeks on the list,THE RABBIT WHO WANTS TO FALL ASLEEP;by Carl-Johan Forssen Ehrlin. Illustrated by Irina Maununen;2 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;3 weeks on the list,SNOW LIKE ASHES;by Sara Raasch;New this week,SIX OF CROWS;by Leigh Bardugo;2 weeks on the list,LOOKING FOR ALASKA;by John Green;9 weeks on the list,TELL ME WHERE IT HURTS;by Nick Trout;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",YES PLEASE;by Amy Poehler;,JUST MERCY;by Bryan Stevenson;,NEGROLAND;by Margo Jefferson;,NEUROTRIBES;by Steve Silberman;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",INTO THE WILD;by Jon Krakauer;,THE BEAUTY DETOX DIET;by the editors of Rockridge Press;,THE FOOD LAB;by J. Kenji Lopez-Alt;,CREATIVE HAVEN CREATIVE CATS COLORING BOOK;Illustrated by Marjorie Sarnat;,FAST GIRL;by Suzy Favor Hamilton with Sarah Tomlinson;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,JACKSONLAND;by Steve Inskeep;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,IT IS ABOUT ISLAM;by Glenn Beck;,THE NEW JIM CROW;by Michelle Alexander;,FOR THE LOVE;by Jen Hatmaker;,NEUROTRIBES;by Steve Silberman;,ENDZONE;by John U. Bacon;,MY SOUTHERN JOURNEY;by Rick Bragg;
4,THE MURDER HOUSE;by James Patterson and David Ellis;2 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;75 weeks on the list,THE ALCHEMIST;by Paulo Coelho;375 weeks on the list,,,M TRAIN;by Patti Smith;New this week,A COMMON STRUGGLE;by Patrick J. Kennedy and Stephen Fried;New this week,YES PLEASE;by Amy Poehler;6 weeks on the list,A MORE PERFECT UNION;by Ben Carson with Candy Carson;New this week,RISING STRONG;by Brené Brown;7 weeks on the list,"STEP ASIDE, POPS;by Kate Beaton;4 weeks on the list","SAGA, VOL. 5;by Brian K. Vaughan and Fiona Staples;4 weeks on the list","KAMISAMA KISS, VOL. 19;by Julietta Suzuki;New this week",THE FINISHER;by David Baldacci;8 weeks on the list,AUGGIE & ME;by R.J. Palacio;8 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;9 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;120 weeks on the list,THE MAZE RUNNER;by James Dashner;157 weeks on the list,SIX OF CROWS;by Leigh Bardugo;2 weeks on the list,ELEANOR AND PARK;by Rainbow Rowell;9 weeks on the list,THE BOOK THIEF;by Markus Zusak;9 weeks on the list,BEYOND WORDS;by Carl Safina;,THE POWER OF HABIT;by Charles Duhigg;,FAST GIRL;by Suzy Favor Hamilton with Sarah Tomlinson;,SISTERS IN LAW;by Linda Hirshman;,ONE MATCHLESS TIME;by Jay Parini;,THE ORGANIZED MIND;by Daniel J. Levitin;,THE BILLION DOLLAR SPY;by David E. Hoffman;,INTO THIN AIR;by Jon Krakauer;,APARTMENT THERAPY;by Maxwell Ryan and Janel Laban;,THUG KITCHEN;by the staff of Thug Kitchen;,CREATIVE HAVEN ART NOUVEAU ANIMAL DESIGNS COLORING BOOK;Illustrated by Marty Noble;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,SELP-HELF;by Miranda Sings;,1491;by Charles C. Mann;,ACCIDENTAL SAINTS;by Nadia Bolz-Weber;,CONSCIOUS UNCOUPLING;by Katherine Woodward Thomas;,PLUNDER AND DECEIT;by Mark R. Levin;,THE OTHER WES MOORE;by Wes Moore;,CHANGE YOUR THOUGHTS - CHANGE YOUR LIFE;by Wayne W. Dyer;,THE MAN WHO MISTOOK HIS WIFE FOR A HAT;by Oliver Sacks;,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,THE OREGON TRAIL;by Rinker Buck;
5,SHADOWS OF SELF;by Brandon Sanderson;New this week,THE GIRL IN THE SPIDER'S WEB;by David Lagercrantz;6 weeks on the list,GRAY MOUNTAIN;by John Grisham;8 weeks on the list,,,ROSEMARY;by Kate Clifford Larson;New this week,WHY NOT ME?;by Mindy Kaling;4 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;304 weeks on the list,WHY NOT ME?;by Mindy Kaling;4 weeks on the list,THE 20/20 DIET;by Phil McGraw;17 weeks on the list,"BATMAN, VOL. 7;by Scott Snyder and Greg Capullo;3 weeks on the list",POORLY DRAWN LINES;by Reza Farazmand;New this week,"YU-GI-OH! 5D’S, VOL. 8;by Masahiro Hikokubo and Masashi Sato;New this week",HITLER'S LAST DAYS;by Bill O'Reilly;7 weeks on the list,I AM MALALA;by Malala Yousafzai with Patricia McCormick;8 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;9 weeks on the list,WHAT PET SHOULD I GET?;by Dr. Seuss;11 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;78 weeks on the list,THE 5TH WAVE;by Rick Yancey;4 weeks on the list,FANGIRL;by Rainbow Rowell;9 weeks on the list,ME AND EARL AND THE DYING GIRL;by Jesse Andrews;9 weeks on the list,YOU NEED MORE SLEEP;by Francesco Marciuliano;,ELON MUSK;by Ashlee Vance;,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;,THE COURT AND THE WORLD;by Stephen Breyer;,COCO CHANEL;by Justine Picardie;,HOW TO READ LITERATURE LIKE A PROFESSOR;by Thomas C. Foster;,THE PENTAGON'S BRAIN;by Annie Jacobsen;,THE INVENTION OF NATURE;by Andrea Wulf;,AUDREY AT HOME;by Luca Dotti;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,SUPERBETTER;by Jane McGonigal;,NEUROTRIBES;by Steve Silberman;,YES PLEASE;by Amy Poehler;,BORN TO RUN;by Christopher McDougall;,DARING GREATLY;by Brené Brown;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,EXCEPTIONAL;by Dick Cheney and Liz Cheney;,NEGROLAND;by Margo Jefferson;,FERVENT;by Priscilla Shirer;,SUPERBETTER;by Jane McGonigal;,UNBROKEN;by Laura Hillenbrand;,TALES OF A FEMALE NOMAD;by Rita Golden Gelman;
6,THE GIRL IN THE SPIDER'S WEB;by David Lagercrantz;6 weeks on the list,GO SET A WATCHMAN;by Harper Lee;13 weeks on the list,MY BRILLIANT FRIEND;by Elena Ferrante;6 weeks on the list,,,WHY NOT ME?;by Mindy Kaling;4 weeks on the list,ROSEMARY;by Kate Clifford Larson;New this week,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;5 weeks on the list,10% HAPPIER;by Dan Harris;12 weeks on the list,AGENTS OF BABYLON;by David Jeremiah;New this week,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;75 weeks on the list,"BATMAN, VOL. 6;by Scott Snyder, Greg Capullo and others;New this week","TOKYO GHOUL, VOL. 2;by Sui Ishida;8 weeks on the list",,CRENSHAW;by Katherine Applegate;3 weeks on the list,THE PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;9 weeks on the list,PETE THE CAT AND THE BEDTIME BLUES;by James Dean and Kimberly Dean. Illustrated by James Dean;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;343 weeks on the list,,RED QUEEN;by Victoria Aveyard;9 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;9 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,THE ORGANIZED MIND;by Daniel J. Levitin;,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,BAD FEMINIST;by Roxane Gay;,TEACH LIKE A CHAMPION 2. 0;by Doug Lemov;,AGENT STORM;by Morten Storm with Paul Cruickshank and Tim Lister;,TALES OF A FEMALE NOMAD;by Rita Golden Gelman;,THE FACE THAT CHANGED IT ALL;by Beverly Johnson with Allison Samuels;,PAULA DEEN CUTS THE FAT;by Paula Deen;,PLAYER'S HANDBOOK;by Wizards RPG Team;,SUPERBETTER;by Jane McGonigal;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,,F*CK FEELINGS;by Michael I. Bennett and Sarah Bennett;,_____ MY DAD SAYS;by Justin Halpern;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,CITIZEN;by Claudia Rankine;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,ON THE MOVE;by Oliver Sacks;,BRADY VS MANNING;by Gary Myers;,BUSHCRAFT 101;by Dave Canterbury;
7,MAKE ME;by Lee Child;5 weeks on the list,MAKE ME;by Lee Child;5 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;96 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;73 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;13 weeks on the list,A WALK IN THE WOODS;by Bill Bryson;102 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;90 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;124 weeks on the list,THE JOKER: ENDGAME;by Various;2 weeks on the list,SMILE;by Raina Telgemeier;174 weeks on the list,"BIG HERO 6, VOL. 2;by Haruki Ueno;3 weeks on the list",,IT'S YOUR WORLD;by Chelsea Clinton;3 weeks on the list,THE CARE AND KEEPING OF YOU 2;by Cara Natterson. Illustrated by Josee Masse;4 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;54 weeks on the list,DESCENDANTS;by various authors;8 weeks on the list,,"EVERYTHING, EVERYTHING;by Nicola Yoon;6 weeks on the list",AN ABUNDANCE OF KATHERINES;by John Green;7 weeks on the list,A WOLF CALLED ROMEO;by Nick Jans;,"TEAM OF TEAMS;by Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell;",RECKLESS;by Chrissie Hynde;,VIGILANCE;by Ray Kelly;,THE SENSE OF STYLE;by Steven Pinker;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,WHITEY;by Dick Lehr and Gerard O'Neill;,ATLANTIC;by Simon Winchester;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,BRAIN MAKER;by David Perlmutter with Kristin Loberg;,MONSTER MANUAL;by Wizards RPG Team;,BRAIN MAKER;by David Perlmutter with Kristin Loberg;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,,CONSCIOUS UNCOUPLING;by Katherine Woodward Thomas;,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,ONE NATION;by Ben Carson with Candy Carson;,BLACK MAN IN A WHITE COAT;by Damon Tweedy;,THE POWER OF INTENTION;by Wayne W. Dyer;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BARBARIAN DAYS;by William Finnegan;,ATLANTIC;by Simon Winchester;
8,DASHING THROUGH THE SNOW;by Debbie Macomber;New this week,SHADOWS OF SELF;by Brandon Sanderson;New this week,BIG LITTLE LIES;by Liane Moriarty;9 weeks on the list,,,THE COURAGE TO ACT;by Ben S. Bernanke;New this week,THE COURAGE TO ACT;by Ben S. Bernanke;New this week,QUIET;by Susan Cain;112 weeks on the list,FURIOUSLY HAPPY;by Jenny Lawson;3 weeks on the list,THE HEART-LED LEADER;by Tommy Spaulding;New this week,THE BEST AMERICAN COMICS 2015;edited by Jonathan Lethem;New this week,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;22 weeks on the list,"ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;6 weeks on the list",,PERCY JACKSON'S GREEK HEROES;by Rick Riordan. Illustrated by John Rocco;7 weeks on the list,THE FINISHER;by David Baldacci;8 weeks on the list,MAX THE BRAVE;by Ed Vere;5 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;62 weeks on the list,,THE SLEEPER AND THE SPINDLE;by Neil Gaiman. Illustrated by Chris Riddell;3 weeks on the list,THE FAULT IN OUR STARS;by John Green;8 weeks on the list,REALLY IMPORTANT STUFF MY DOG HAS TAUGHT ME;by Cynthia L. Copeland;,MONEY: MASTER THE GAME;by Tony Robbins;,ON THE MOVE;by Oliver Sacks;,THE SEARCH FOR ANNE PERRY;by Joanne Drayton;,THE MEANING OF HUMAN EXISTENCE;by Edward O. Wilson;,THE GIFT OF FAILURE;by Jessica Lahey;,AVENUE OF SPIES;by Alex Kershaw;,BARBARIAN DAYS;by William Finnegan;,WHERE'S KARL?;by Stacey Caldwell and Ajiri A. Aki. Illustrated by Michelle Baron;,ZERO BELLY COOKBOOK;by David Zinczenko;,GUINNESS WORLD RECORDS 2016 GAMER'S EDITION;by the Guinness World Records editors;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,BOSSYPANTS;by Tina Fey;,,LOVE DOES;by Bob Goff;,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,WISHES FULFILLED;by Wayne W. Dyer;,QUIET;by Susan Cain;,"IT'S GOOD TO BE GRONK;by Rob ""Gronk"" Gronkowski with Jason Rosenhaus;","NURSE, COME YOU HERE!;by Mary J. MacLeod;"
9,THE GIRL ON THE TRAIN;by Paula Hawkins;39 weeks on the list,AFTER YOU;by Jojo Moyes;2 weeks on the list,EVE;by Wm. Paul Young;4 weeks on the list,,,FURIOUSLY HAPPY;by Jenny Lawson;3 weeks on the list,FURIOUSLY HAPPY;by Jenny Lawson;3 weeks on the list,JUST MERCY;by Bryan Stevenson;4 weeks on the list,BLOOD RED SNOW;by Gunter Koschorrek;New this week,PRIMED TO PERFORM;by Neel Doshi;New this week,DEEP DARK FEARS;by Fran Krause;2 weeks on the list,TRICK ’R TREAT: DAYS OF THE DEAD;by Michael Dougherty and others;New this week,"ASSASSINATION CLASSROOM, VOL. 6;by Yusei Matsui;New this week",,FISH IN A TREE;by Lynda Mullaly Hunt;8 weeks on the list,COUNTING BY 7s;by Holly Goldberg Sloan;8 weeks on the list,HAPPY!;by Pharrell Williams;New this week,GIVER QUARTET;by Lois Lowry;97 weeks on the list,,THE WHITE ROSE;by Amy Ewing;New this week,WHERE SHE WENT;by Gayle Forman;2 weeks on the list,VOICES IN THE OCEAN;by Susan Casey;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,DOWN THE RABBIT HOLE;by Holly Madison;,ORANGE IS THE NEW BLACK;by Piper Kerman;,MYSTERY TRAIN;by Greil Marcus;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,DEEP DOWN DARK;by Hector Tobar;,THE RESIDENCE;by Kate Andersen Brower;,FRANKLIN BARBECUE;by Aaron Franklin and Jordan Mackay;,HACKS FOR MINECRAFTERS;by Megan Miller;,THE PATIENT'S PLAYBOOK;by Leslie D. Michelson;,_____ MY DAD SAYS;by Justin Halpern;,,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,JUST MERCY;by Bryan Stevenson;,SHOWDOWN;by Wil Haygood;,ACCIDENTAL SAINTS;by Nadia Bolz-Weber;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",FRIDAY NIGHT LIGHTS;by H. G. Bissinger;,BARBARIAN DAYS;by William Finnegan;
10,AFTER YOU;by Jojo Moyes;2 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;39 weeks on the list,ANCILLARY MERCY;by Ann Leckie;New this week,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;13 weeks on the list,BEING MORTAL;by Atul Gawande;53 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;69 weeks on the list,THE COURAGE TO ACT;by Ben S. Bernanke;New this week,FERVENT;by Priscilla Shirer;5 weeks on the list,FREE COUNTRY: A TALE OF THE CHILDREN'S CRUSADE;by Neil Gaiman and others;2 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: MARY ANNE SAVES THE DAY;by Ann M. Martin and Raina Telgemeier;2 weeks on the list,"SWORD ART ONLINE: PROGRESSIVE, VOL. 3;by Reki Kawahara and Kiseki Himura;3 weeks on the list",,SERAFINA AND THE BLACK CLOAK;by Robert Beatty;3 weeks on the list,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;7 weeks on the list,PRESS HERE;by Hervé Tullet;213 weeks on the list,I SURVIVED;by Lauren Tarshis;11 weeks on the list,,"ZEROES;by Scott Westerfeld, Margo Lanagan and Deborah Biancotti;2 weeks on the list",IF I STAY;by Gayle Forman;2 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,TIPPING POINT;by Malcolm Gladwell;,NEVER BROKEN;by Jewel;,WHERE THE BODIES WERE BURIED;by T. J. English;,CAN I GO NOW?;by Brian Kellow;,THE MAGIC OF MATH;by Arthur Benjamin;,A SPY AMONG FRIENDS;by Ben Macintyre;,ASTORIA;by Peter Stark;,I'LL DRINK TO THAT;by Betty Halbreich with Rebecca Paley;,GOOD AND CHEAP;by Leanne Brown;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,THE BRAIN FOG FIX;by Mike Dow;,SICK IN THE HEAD;by Judd Apatow;,,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,THE NEW JIM CROW;by Michelle Alexander;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,DESTINY;by T. D. Jakes;,THE POWER OF HABIT;by Charles Duhigg;,SABAN;by Monte Burke;,STATE BY STATE;edited by Matt Weiland and Sean Wilsey;
