,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,ESCAPE CLAUSE;by John Sandford;New this week,ESCAPE CLAUSE;by John Sandford;New this week,THE GIRL ON THE TRAIN;by Paula Hawkins;15 weeks on the list,,,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;New this week,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;New this week,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;New this week,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;New this week,SKINNYTASTE FAST AND SLOW;by Gina Homolka with Heather K. Jones;2 weeks on the list,SUPERMAN: AMERICAN ALIEN;by Max Landis and others;New this week,GHOSTS;by Raina Telgemeier;6 weeks on the list,"TOKYO GHOUL, VOL. 9;by Sui Ishida;New this week",THE HAMMER OF THOR;by Rick Riordan;3 weeks on the list,THE HAMMER OF THOR;by Rick Riordan;3 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;63 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;14 weeks on the list,HARRY POTTER;by J.K. Rowling;396 weeks on the list,FAIRY TALE ROMANCE COLLECTION;by Melanie Dickerson;2 weeks on the list,STAR WARS: AHSOKA;by E. K. Johnston;2 weeks on the list,FIVE NIGHTS AT FREDDY'S: THE SILVER EYES;by Scott Cawthon and Kira Breed-Wrisley;4 weeks on the list,THE PERFECT HORSE;by Elizabeth Letts;,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,BORN TO RUN;by Bruce Springsteen;,FILTHY RICH;by James Patterson and John Connolly with Tim Malloy;,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;,GRIT;by Angela Duckworth;,ROGUE HEROES;by Ben Macintyre;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;",JUNK GYPSY;by Amie Sikes and Jolie Sikes;,COOKING FOR JEFFREY;by Ina Garten;,PLAYER'S HANDBOOK;by Wizards RPG Team;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,LOVE WARRIOR;by Glennon Doyle Melton;,LOVE WARRIOR;by Glennon Doyle Melton;,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE UNIVERSE HAS YOUR BACK;by Gabrielle Bernstein;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,SHAKEN;by Tim Tebow;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;"
2,THE GIRL ON THE TRAIN;by Paula Hawkins;87 weeks on the list,TWO BY TWO;by Nicholas Sparks;3 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;43 weeks on the list,,,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;6 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;6 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;54 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;6 weeks on the list,YOU ARE A BADASS;by Jen Sincero;41 weeks on the list,"THE WALKING DEAD, BOOK 13;by Robert Kirkman and Charlie Adlard;2 weeks on the list",DRAMA;by Raina Telgemeier;167 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;68 weeks on the list",THE HIDDEN ORACLE;by Rick Riordan;25 weeks on the list,WONDER;by R.J. Palacio;63 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;63 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;107 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;57 weeks on the list,STAR WARS: AHSOKA;by E. K. Johnston;2 weeks on the list,CHILDREN OF EDEN;by Joey Graceffa;3 weeks on the list,THE BOOK THIEF;by Markus Zusak;63 weeks on the list,LET ME TELL YOU ABOUT JASPER ...;by Dana Perino;,DESIGNING YOUR LIFE;by Bill Burnett and Dave Evans;,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;,SAPIENS;by Yuval Noah Harari;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",100 DEADLY SKILLS;by Clint Emerson;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,SKINNYTASTE FAST AND SLOW;by Gina Homolka with Heather K. Jones;,MONSTER MANUAL;by Wizards RPG Team;,THE TRUTH ABOUT CANCER;by Ty M. Bollinger;,BUFFERING;by Hannah Hart;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,HILLBILLY ELEGY;by J.D. Vance;,THE NEW JIM CROW;by Michelle Alexander;,IS THIS THE END?;by David Jeremiah;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,THE BOYS IN THE BOAT;by Daniel James Brown;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;
3,THE OBSIDIAN CHAMBER;by Douglas Preston and Lincoln Child;New this week,SMALL GREAT THINGS;by Jodi Picoult;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;28 weeks on the list,,,BORN TO RUN;by Bruce Springsteen;4 weeks on the list,BORN TO RUN;by Bruce Springsteen;4 weeks on the list,THE WITCHES;by Stacy Schiff;5 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;13 weeks on the list,UNINVITED;by Lysa TerKeurst;11 weeks on the list,THE BEST AMERICAN COMICS 2016;edited by Roz Chast and Bill Kartalopoulos;3 weeks on the list,HEART AND BRAIN: GUT INSTINCTS;by Nick Seluk;New this week,"ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;59 weeks on the list",THE SWORD OF SUMMER;by Rick Riordan;47 weeks on the list,DOG MAN;by Dav Pilkey;8 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;63 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;7 weeks on the list",THE ROYALS;by Erin Watt;New this week,UNTIL FRIDAY NIGHT;by Abbi Glines;7 weeks on the list,GEMINA;by Amie Kaufman and Jay Kristoff;New this week,A MONSTER CALLS;by Patrick Ness. Illustrated by Jim Kay;11 weeks on the list,BEING A DOG;by Alexandra Horowitz;,GRIT;by Angela Duckworth;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,JUST MERCY;by Bryan Stevenson;,SPQR;by Mary Beard;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,THE PIGEON TUNNEL;by John le Carré;,DEAD WAKE;by Erik Larson;,MADEMOISELLE;by Rhonda K. Garelick;,ALTON BROWN:  EVERYDAYCOOK;by Alton Brown;,HARRY POTTER COLORING BOOK;by various illustrators;,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;,HUNGRY HEART;by Jennifer Weiner;,UNINVITED;by Lysa TerKeurst;,HUNGRY HEART;by Jennifer Weiner;,GUILTY AS SIN;by Edward Klein;,JUST MERCY;by Bryan Stevenson;,UNINVITED;by Lysa TerKeurst;,BEING MORTAL;by Atul Gawande;,WHEN NOBODY WAS WATCHING;by Carli Lloyd with Wayne Coffey;,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;
4,TWO BY TWO;by Nicholas Sparks;3 weeks on the list,THE OBSIDIAN CHAMBER;by Douglas Preston and Lincoln Child;New this week,INFERNO;by Dan Brown;12 weeks on the list,,,HILLBILLY ELEGY;by J.D. Vance;13 weeks on the list,BUFFERING;by Hannah Hart;New this week,THE NEW JIM CROW;by Michelle Alexander;133 weeks on the list,FILTHY RICH;by James Patterson and John Connolly with Tim Malloy;2 weeks on the list,IS THIS THE END?;by David Jeremiah;3 weeks on the list,"ANGEL CATBIRD, VOL. 1;by Margaret Atwood and Johnnie Christmas;7 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;62 weeks on the list,"ONE-PUNCH MAN, VOL. 8;by ONE and Yusuke Murata;5 weeks on the list",WONDER;by R.J. Palacio;51 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;13 weeks on the list,I AM MALALA;by Malala Yousafzai with Patricia McCormick;17 weeks on the list,IF YOU GIVE A MOUSE A BROWNIE;by Laura Numeroff. Illustrated by Felicia Bond;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;397 weeks on the list,"EVERYTHING, EVERYTHING;by Nicola Yoon;New this week",CROOKED KINGDOM;by Leigh Bardugo;4 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;56 weeks on the list,DOGS AND THEIR PEOPLE;written and illustrated by BarkPost;,SHOE DOG;by Phil Knight;,A LIFE IN PARTS;by Bryan Cranston;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,M TRAIN;by Patti Smith;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE SNOWDEN FILES;by Luke Harding;,BARBARIAN DAYS;by William Finnegan;,THE DRYBAR GUIDE TO GOOD HAIR FOR ALL;by Alli Webb;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",BETWEEN BREATHS;by Elizabeth Vargas;,IN SUCH GOOD COMPANY;by Carol Burnett;,HUNGRY HEART;by Jennifer Weiner;,THE BELLY ART PROJECT;by Sara Blakely;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,TRUEVINE;by Beth Macy;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",A LIFE WELL PLAYED;by Arnold Palmer;,BARBARIAN DAYS;by William Finnegan;
5,SMALL GREAT THINGS;by Jodi Picoult;2 weeks on the list,VINCE FLYNN: ORDER TO KILL;by Kyle Mills;2 weeks on the list,MISSING;by James Patterson and Kathryn Fox;3 weeks on the list,,,BUFFERING;by Hannah Hart;New this week,HILLBILLY ELEGY;by J.D. Vance;13 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;126 weeks on the list,BORN TO RUN;by Bruce Springsteen;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;176 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;227 weeks on the list,SMILE;by Raina Telgemeier;228 weeks on the list,"MAGIKA SWORDSMAN AND SUMMONER, VOL. 5;by Mitsuki Mihara and MonRin;New this week",THE BFG;by Roald Dahl. Illustrated by Quentin Blake;9 weeks on the list,THE SWORD OF SUMMER;by Rick Riordan;42 weeks on the list,WHERE THE MOUNTAIN MEETS THE MOON;by Grace Lin;2 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;174 weeks on the list,THE MAZE RUNNER;by James Dashner;181 weeks on the list,THIRTEEN CHAIRS;by Dave Shelton;New this week,THREE DARK CROWNS;by Kendare Blake;5 weeks on the list,RED QUEEN;by Victoria Aveyard;20 weeks on the list,THE LION IN THE LIVING ROOM;by Abigail Tucker;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BUFFERING;by Hannah Hart;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE NATIONAL MUSEUM OF AFRICAN AMERICAN HISTORY AND CULTURE;by the National Museum of African American History and Culture;,WEAPONS OF MATH DESTRUCTION;by Cathy O'Neil;,AVENUE OF SPIES;by Alex Kershaw;,THE INVENTION OF NATURE;by Andrea Wulf;,CAPTURE YOUR STYLE;by Aimee Song;,APPETITES;by Anthony Bourdain with Laurie Woolever;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler;,INNER ENGINEERING;by Sadhguru;,WHY NOT ME?;by Mindy Kaling;,DARING GREATLY;by Brené Brown;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,SCORCHED EARTH;by Michael Savage;,YOU CAN'T TOUCH MY HAIR;by Phoebe Robinson;,"THINK BETTER, LIVE BETTER;by Joel Osteen;",SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;,THE WRIGHT BROTHERS;by David McCullough;
6,VINCE FLYNN: ORDER TO KILL;by Kyle Mills;2 weeks on the list,THE SECRET HISTORY OF TWIN PEAKS;by Mark Frost;New this week,"IN A DARK, DARK WOOD;by Ruth Ware;22 weeks on the list",,,FILTHY RICH;by James Patterson and John Connolly with Tim Malloy;2 weeks on the list,FILTHY RICH;by James Patterson and John Connolly with Tim Malloy;2 weeks on the list,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;10 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;28 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;61 weeks on the list,NATHAN HALE’S HAZARDOUS TALES: ALAMO ALL–STARS;by Nathan Hale;24 weeks on the list,"THE WALKING DEAD, VOL. 26;by Robert Kirkman and Charlie Adlard;5 weeks on the list","TOKYO GHOUL, VOL. 8;by Sui Ishida;9 weeks on the list",,THE HIDDEN ORACLE;by Rick Riordan;25 weeks on the list,THE WAR THAT SAVED MY LIFE;by Kimberly Brubaker Bradley;12 weeks on the list,WE FOUND A HAT;written and illustrated by Jon Klassen;2 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;21 weeks on the list,,WHAT LIGHT;by Jay Asher;New this week,THE CABIN;by Natasha Preston;6 weeks on the list,LUCKY DOG LESSONS;by Brandon McMillan;,TOGETHER IS BETTER;by Simon Sinek;,BETWEEN BREATHS;by Elizabeth Vargas;,THE SNOWDEN FILES;by Luke Harding;,YOU CAN'T TOUCH MY HAIR;by Phoebe Robinson;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,PLAYING TO THE EDGE;by Michael V. Hayden;,THE WRIGHT BROTHERS;by David McCullough;,MEN AND STYLE;by David Coggins;,FOOD FREEDOM FOREVER;by Melissa Hartwig;,GUINNESS WORLD RECORDS GAMER'S EDITION 2017;by Guinness World Records with contributions by Ali-A;,HOW NOT TO DIE;by Michael Greger with Gene Stone;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,WHY NOT ME?;by Mindy Kaling;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,THE GENERAL VS. THE PRESIDENT;by H. W. Brands;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE BOOK OF MYSTERIES;by Jonathan Cahn;,QUIET;by Susan Cain;,QB;by Steve Young with Jeff Benedict;,FOOTNOTES FROM THE WORLD'S GREATEST BOOKSTORES;by Bob Eckstein;
7,A MAN CALLED OVE;by Fredrik Backman;22 weeks on the list,COMMONWEALTH;by Ann Patchett;6 weeks on the list,THE LAST MILE;by David Baldacci;6 weeks on the list,,,ALEXANDER HAMILTON;by Ron Chernow;43 weeks on the list,A LIFE IN PARTS;by Bryan Cranston;2 weeks on the list,JUST MERCY;by Bryan Stevenson;50 weeks on the list,LOVE WARRIOR;by Glennon Doyle Melton;7 weeks on the list,"THINK BETTER, LIVE BETTER;by Joel Osteen;3 weeks on the list","ROLLING BLACKOUTS: DISPATCHES FROM TURKEY, SYRIA AND IRAQ;by Sarah Glidden;New this week",SISTERS;by Raina Telgemeier;105 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;125 weeks on the list",,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;New this week,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;59 weeks on the list,THE BEAR ATE YOUR SANDWICH;by Julia Sarcone-Roach;New this week,GIVER QUARTET;by Lois Lowry;136 weeks on the list,,MOON CHOSEN;by P. C. Cast;New this week,NERVE;by Jeanne Ryan;15 weeks on the list,THE SHEPHERD'S LIFE;by James Rebanks;,THE POWER OF HABIT;by Charles Duhigg;,NOT DEAD YET;by Phil Collins;,AMERICAN HEIRESS;by Jeffrey Toobin;,FOOTNOTES FROM THE WORLD'S GREATEST BOOKSTORES;by Bob Eckstein;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,ISAAC'S STORM;by Erik Larson;,BEAUTIFUL;written by Mark D. Sikes. Photographs by Amy Neunsinger;,DEEP RUN ROOTS;by Vivian Howard;,HARRY POTTER MAGICAL PLACES AND CHARACTERS COLORING BOOK;by various illustrators;,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;",BASED ON A TRUE STORY;by Norm Macdonald;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;","CARRY ON, WARRIOR;by Glennon Doyle Melton;",THE NEW JIM CROW;by Michelle Alexander;,THE OTHER WES MOORE;by Wes Moore;,SHAKEN;by Tim Tebow;,THE POWER OF HABIT;by Charles Duhigg;,99;by Wayne Gretzky with Kirstie McLellan Day;,THE SHEPHERD'S LIFE;by James Rebanks;
8,INFERNO;by Dan Brown;33 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;14 weeks on the list,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;27 weeks on the list,,,LOVE WARRIOR;by Glennon Doyle Melton;7 weeks on the list,LOVE WARRIOR;by Glennon Doyle Melton;7 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;107 weeks on the list",BUFFERING;by Hannah Hart;New this week,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;102 weeks on the list,TROLL BRIDGE;by Neil Gaiman and Colleen Doran;New this week,"HELLBOY IN HELL, VOL. 2;by Mike Mignola;New this week","TOKYO GHOUL, VOL. 2;by Sui Ishida;40 weeks on the list",,PAX;Sara Pennypacker. Illustrated by Jon Klassen;35 weeks on the list,THE FOURTEENTH GOLDFISH;by Jennifer L. Holm;11 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;140 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;409 weeks on the list,,THE WAY THINGS WORK NOW;by David Macaulay with Neil Ardley;3 weeks on the list,ALL THE BRIGHT PLACES;by Jennifer Niven;3 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,OUTLIERS;by Malcolm Gladwell;,IN SUCH GOOD COMPANY;by Carol Burnett;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,MY LIFE ON THE ROAD;by Gloria Steinem;,YOU'RE SAYING IT WRONG;by Ross Petras and Kathryn Petras;,RED NOTICE;by Bill Browder;,THE CRASH DETECTIVES;by Christine Negroni;,THE RESIDENCE;by Kate Andersen Brower;,THUG KITCHEN 101;by Thug Kitchen;,CREATIVE HAVEN DAZZLING DOGS COLORING BOOK;illustrated by Marjorie Sarnat;,BEING MORTAL;by Atul Gawande;,YOU CAN'T TOUCH MY HAIR;by Phoebe Robinson;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,JUST MERCY;by Bryan Stevenson;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;,GHOSTLAND;by Colin Dickey;
9,THE SEXY ONE;by Lauren Blakely;New this week,HOME;by Harlan Coben;5 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;72 weeks on the list,,,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;18 weeks on the list,HERO OF THE EMPIRE;by Candice Millard;5 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;88 weeks on the list,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;10 weeks on the list,THE UNIVERSE HAS YOUR BACK;by Gabrielle Bernstein;4 weeks on the list,THE UNBEATABLE SQUIRREL GIRL BEATS UP THE MARVEL UNIVERSE!;by Ryan North and Erica Henderson;2 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;68 weeks on the list,"BERSERK, VOL. 1;by Kentaro Miura;3 weeks on the list",,FRAZZLED;by Booki Vivat;New this week,BROWN GIRL DREAMING;by Jacqueline Woodson;2 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;57 weeks on the list,SPY SCHOOL;by Stuart Gibbs;3 weeks on the list,,SIX OF CROWS;by Leigh Bardugo;45 weeks on the list,LOOKING FOR ALASKA;by John Green;61 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,PRE-SUASION;by Robert Cialdini;,I AM BRIAN WILSON;by Brian Wilson and Ben Greenman;,MURDER IN THE BAYOU;by Ethan Brown;,AVID READER;by Robert Gottlieb;,THE GIFT OF FAILURE;by Jessica Lahey;,THE BILLION DOLLAR SPY;by David E. Hoffman;,THE OREGON TRAIL;by Rinker Buck;,A FIELD GUIDE TO REDHEADS;written and illustrated by Elizabeth Graeber;,THE SEASONED LIFE;by Ayesha Curry;,LOST OCEAN;illustrated by Johanna Basford;,THE THYROID CONNECTION;by Amy Myers;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,ACCIDENTAL SAINTS;by Nadia Bolz-Weber;,H IS FOR HAWK;by Helen Macdonald;,ARMAGEDDON;by Dick Morris and Eileen McGann;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE WITCHES;by Stacy Schiff;,TIME TRAVEL;by James Gleick;,GUNSLINGER;by Jeff Pearlman;,THE CRASH DETECTIVES;by Christine Negroni;
10,HOME;by Harlan Coben;5 weeks on the list,TODAY WILL BE DIFFERENT;by Maria Semple;3 weeks on the list,SEE ME;by Nicholas Sparks;11 weeks on the list,,,A LIFE IN PARTS;by Bryan Cranston;2 weeks on the list,UPSTREAM;by Mary Oliver;2 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;328 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;41 weeks on the list,GOOD CLEAN FUN;by Nick Offerman;New this week,FIGHT CLUB 2;by Chuck Palahniuk and Cameron Stewart;17 weeks on the list,"BLACK PANTHER: A NATION UNDER OUR FEET, BOOK 1;by Ta-Nehisi Coates and Brian Stelfreeze;6 weeks on the list","ASSASSINATION CLASSROOM, VOL. 12;by Yusei Matsui;3 weeks on the list",,THE SECRET KEEPERS;by Trenton Lee Stewart. Illustrated by Diana Sudyka;3 weeks on the list,SERAFINA AND THE BLACK CLOAK;by Robert Beatty;15 weeks on the list,PETE THE CAT AND THE MISSING CUPCAKES;by Kimberly Dean and James Dean;3 weeks on the list,I SURVIVED;by Lauren Tarshis;25 weeks on the list,,REPLICA;by Lauren Oliver;3 weeks on the list,WE ALL LOOKED UP;by Tommy Wallach;8 weeks on the list,DOG MEDICINE;by Julie Barton;,BETTER THAN NEW;by Nicole Curtis;,AROUND THE WAY GIRL;by Taraji P. Henson with Denene Millner;,SISTERS IN LAW;by Linda Hirshman;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,IN A DIFFERENT KEY;by John Donvan and Caren Zucker;,THE DEVIL'S CHESSBOARD;by David Talbot;,THE 37TH PARALLEL;by Ben Mezrich;,PEACOCK AND VINE;by A. S. Byatt;,MARIO BATALI: BIG AMERICAN COOKBOOK;by Mario Batali with Jim Webster;,SECRET GARDEN;illustrated by Johanna Basford;,MEDICAL MEDIUM;by Anthony William;,YUGE!;by G. B. Trudeau;,PUSSY;by Regena Thomashauer;,SING FOR YOUR LIFE;by Dan Bergner;,CRISIS OF CHARACTER;by Gary J. Byrne with Grant M. Schmidt;,SING FOR YOUR LIFE;by Dan Bergner;,THE BROKEN WAY;by Ann Voskamp;,SPACEMAN;by Mike Massimino;,STRONG IS THE NEW BEAUTIFUL;by Lindsey Vonn with Sarah Toland;,BEST. STATE. EVER;by Dave Barry;
