,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,CAPTIVATED BY YOU;by Sylvia Day;New this week,THE ESCAPE;by David Baldacci;New this week,CAPTIVATED BY YOU;by Sylvia Day;New this week,,,41;by George W. Bush;2 weeks on the list,41;by George W. Bush;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;17 weeks on the list,UNBROKEN;by Laura Hillenbrand;199 weeks on the list,MONEY: MASTER THE GAME;by Tony Robbins;New this week,SERENITY: LEAVES ON THE WIND;by Zack Whedon and Georges Jeanty;New this week,SISTERS;by Raina Telgemeier;14 weeks on the list,"MONSTER MUSUME, VOL. 5;by Okayado;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE BOOK WITH NO PICTURES;by B.J. Novak;8 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;298 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;,MONEY: MASTER THE GAME;by Tony Robbins;,YES PLEASE;by Amy Poehler;,LYING IN WAIT;by Ann Rule;,AS YOU WISH;by Cary Elwes with Joe Layden;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,INTO THE WILD;by Jon Krakauer;,THE WOMAN I WANTED TO BE;by Diane Von Furstenberg;,MAKE IT AHEAD!;by Ina Garten;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,THE HOT ZONE;by Richard Preston;,YES PLEASE;by Amy Poehler;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,THE ANDY COHEN DIARIES;by Andy Cohen;,THERE WAS A LITTLE GIRL;by Brooke Shields;,KILLING PATTON;by Bill O'Reilly and Martin Dugard;,JUST MERCY;by Bryan Stevenson;,SMALL VICTORIES;by Anne Lamott;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
2,THE ESCAPE;by David Baldacci;New this week,REVIVAL;by Stephen King;2 weeks on the list,GONE GIRL;by Gillian Flynn;31 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;180 weeks on the list,KILLING PATTON;by Bill O'Reilly and Martin Dugard;9 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;26 weeks on the list,THERE WAS A LITTLE GIRL;by Brooke Shields;New this week,MAKE IT AHEAD!;by Ina Garten;4 weeks on the list,ORIGINAL SIN;by Various;New this week,SMILE;by Raina Telgemeier;128 weeks on the list,"ATTACK ON TITAN, VOL. 14;by Hajime Isayama;3 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;74 weeks on the list,THE MAZE RUNNER;by James Dashner;111 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,GOOD DOG;by the editors of Garden and Gun Magazine;,THE INNOVATORS;by Walter Isaacson;,THE ANDY COHEN DIARIES;by Andy Cohen;,JUST MERCY;by Bryan Stevenson;,NEIL PATRICK HARRIS: CHOOSE YOUR OWN AUTOBIOGRAPHY;by Neil Patrick Harris with David Javerbaum;,FULLY ALIVE;by Timothy P. Shriver;,SPYMISTRESS;by William Stevenson;,THE WILD TRUTH;by Carine McCandless;,MAKE UP;by Michelle Phan;,THUG KITCHEN;by the staff of Thug Kitchen;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",CHASING DAYLIGHT;by Eugene O'Kelly with Andrew Postman;,THE ANDY COHEN DIARIES;by Andy Cohen;,CRAZY HORSE AND CUSTER;by Stephen Ambrose;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,UNBROKEN;by Laura Hillenbrand;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,WHAT I KNOW FOR SURE;by Oprah Winfrey;,WHAT IF?;by Randall Munroe;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK;by Brandon Stanton;
3,GONE GIRL;by Gillian Flynn;104 weeks on the list,GRAY MOUNTAIN;by John Grisham;5 weeks on the list,BLOOD MAGICK;by Nora Roberts;4 weeks on the list,,,KILLING PATTON;by Bill O'Reilly and Martin Dugard;9 weeks on the list,YES PLEASE;by Amy Poehler;4 weeks on the list,WILD;by Cheryl Strayed;87 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;44 weeks on the list,"THE WORLD OF ICE AND FIRE;by George R. R. Martin, Elio M. García Jr. and Linda Antonsson;4 weeks on the list",CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;29 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE RIFT, PART 3;by Gene Luen Yang and Gurihiru;New this week","NORAGAMI, VOL. 2;by Adachitoka;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;54 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;80 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,ZERO TO ONE;by Peter Thiel with Blake Masters;,NOT THAT KIND OF GIRL;by Lena Dunham;,ORANGE IS THE NEW BLACK;by Piper Kerman;,THE SECRET HISTORY OF WONDER WOMAN;by Jill Lepore;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,WORTHY FIGHTS;by Leon Panetta with Jim Newton;,IN THE KINGDOM OF ICE;by Hampton Sides;,MEASURE OF A MAN;by Martin Greenfield with Wynton Hall;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,MINECRAFT: REDSTONE HANDBOOK;by Nick Farwell. Edited by Jane Riordan and Stephanie Milton;,SOUL MIND BODY SCIENCE SYSTEM;by Zhi Gang Sha and Rulin Xiu;,NOT THAT KIND OF GIRL;by Lena Dunham;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,TRUE LOVE;by Jennifer Lopez;,THE WILD TRUTH;by Carine McCandless;,41;by George W. Bush;,THE NEW JIM CROW;by Michelle Alexander;,KILLING JESUS;by Bill O'Reilly and Martin Dugard;,THE INNOVATORS;by Walter Isaacson;,JETER UNFILTERED;by Derek Jeter with Anthony Bozza;,PREPARE FOR ANYTHING (Outdoor Life);by Tim MacWelch;
4,GRAY MOUNTAIN;by John Grisham;5 weeks on the list,THE MISTLETOE PROMISE;by Richard Paul Evans;New this week,ORPHAN TRAIN;by Christina Baker Kline;66 weeks on the list,,,YES PLEASE;by Amy Poehler;4 weeks on the list,BEING MORTAL;by Atul Gawande;7 weeks on the list,THE SCIENCE OF INTERSTELLAR;by Kip Thorne;New this week,THE ANDY COHEN DIARIES;by Andy Cohen;2 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;7 weeks on the list,THE WAKE;by Scott Snyder and Sean Murphy;2 weeks on the list,"THE WALKING DEAD, VOL. 22;by Robert Kirkman and Charlie Adlard;2 weeks on the list","ALL YOU NEED IS KILL;by Hiroshi Sakurazaka, Ryosuke Takeuchi and Takeshi Obata;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;3 weeks on the list,RUSH REVERE;by Rush Limbaugh with Kathryn Adams Limbaugh;4 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",JETER UNFILTERED;by Derek Jeter with Anthony Bozza;,SPAM NATION;by Brian Krebs;,THE ART OF ASKING;by Amanda Palmer;,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;,ALAN TURING: THE ENIGMA;by Andrew Hodges;,"DON'T GIVE UP, DON'T GIVE IN;by Louis Zamperini and David Rensin;",FLAPPER;by Joshua Zeitz;,FOOD;by Jim Gaffigan;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",EBOLA;by David Quammen;,AS YOU WISH;by Cary Elwes with Joe Layden;,SHORT NIGHTS OF THE SHADOW CATCHER;by Timothy Egan;,DARING GREATLY;by Brené Brown;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,DREAMERS AND DECEIVERS;by Glenn Beck with Kevin Balfe;,TWELVE YEARS A SLAVE;by Solomon Northup;,PRAYER;by Timothy Keller;,QUIET;by Susan Cain;,YOU CAN'T MAKE THIS UP;by Al Michaels with L. Jon Wertheim;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;"
5,THE BURNING ROOM;by Michael Connelly;3 weeks on the list,THE BURNING ROOM;by Michael Connelly;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;331 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;27 weeks on the list,THE ANDY COHEN DIARIES;by Andy Cohen;2 weeks on the list,QUIET;by Susan Cain;93 weeks on the list,YES PLEASE;by Amy Poehler;4 weeks on the list,THE MOTIVATION MANIFESTO;by Brendon Burchard;3 weeks on the list,SECONDS;by Bryan Lee O'Malley;19 weeks on the list,DRAMA;by Raina Telgemeier;71 weeks on the list,"ATTACK ON TITAN: NO REGRETS, VOL. 2;by Gun Snark, Hikaru Suruga and Hajime Isayama;4 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;164 weeks on the list",DIVERGENT;by Veronica Roth;57 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,TOP DOG;by Maria Goodavage;,THE POWER OF HABIT;by Charles Duhigg;,THERE WAS A LITTLE GIRL;by Brooke Shields;,FOXCATCHER;by Mark Schultz with David Thomas;,THE WOMAN I WANTED TO BE;by Diane Von Furstenberg;,THE BEST AMERICAN INFOGRAPHICS 2014;by Gareth Cook;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",DEEP DOWN DARK;Héctor Tobar;,A YEAR IN THE LIFE OF DOWNTON ABBEY;by Jessica Fellowes;,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,THE LEGO IDEAS BOOK;by Daniel Lipkowitz;,HEALING BACK PAIN;by John E. Sarno;,FOOD;by Jim Gaffigan;,CODE TALKER;by Chester Nez with Judith Schiess Avila;,THIS IS THE STORY OF A HAPPY MARRIAGE;by Ann Patchett;,YOU HAVE TO F*****G EAT;by Adam Mansbach. Illustrated by Owen Brozman;,STONEWALLED;by Sharyl Attkisson;,THE HALF HAS NEVER BEEN TOLD;by Edward E. Baptist;,BEFORE AMEN;by Max Lucado;,UNDENIABLE;by Bill Nye;,BLEEDING ORANGE;by Jim Boeheim with Jack McCallum;,THE HUNTING AND GATHERING SURVIVAL MANUAL;by Tim MacWelch;
6,THE CINDERELLA MURDER;by Mary Higgins Clark and Alafair Burke;New this week,THE CINDERELLA MURDER;by Mary Higgins Clark and Alafair Burke;New this week,FIFTY SHADES OF GREY;by E. L. James;131 weeks on the list,,,THE ANDY COHEN DIARIES;by Andy Cohen;2 weeks on the list,WHAT IF?;by Randall Munroe;12 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;55 weeks on the list,WILD;by Cheryl Strayed;119 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;84 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;20 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;140 weeks on the list","BLACK BUTLER, VOL. 18;by Yana Toboso;4 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;167 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;213 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,UNDERWATER PUPPIES;by Seth Casteel;,OUTLIERS;by Malcolm Gladwell;,TRUE LOVE;by Jennifer Lopez;,PRACTICE TO DECEIVE;by Ann Rule;,JACQUELINE BOUVIER KENNEDY ONASSIS;by Barbara Leaming;,HOW CHILDREN SUCCEED;by Paul Tough;,A SPY AMONG FRIENDS;by Ben Macintyre;,ASTORIA;by Peter Stark;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",PLENTY MORE;by Yotam Ottolenghi;,POKEMON: ESSENTIAL HANDBOOK;by Cris Silvestri and the staff of Scholastic;,THE CHECKLIST MANIFESTO;by Atul Gawande;,SO ANYWAY . . .;by John Cleese;,NATION TO NATION;edited by Suzan Shown Harjo;,GRACE'S GUIDE;by Grace Helbig;,THIS IS THE STORY OF A HAPPY MARRIAGE;by Ann Patchett;,NO HERO;by Mark Owen with Kevin Maurer;,CITIZEN;by Claudia Rankine;,MIRACLES;by Eric Metaxas;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE TERRIBLE AND WONDERFUL REASONS WHY I RUN LONG DISTANCES;by The Oatmeal;,LOST IN TRANSLATION;by Ella Frances Sanders;
7,REVIVAL;by Stephen King;2 weeks on the list,FLESH AND BLOOD;by Patricia Cornwell;2 weeks on the list,THE MARTIAN;by Andy Weir;4 weeks on the list,,,THERE WAS A LITTLE GIRL;by Brooke Shields;New this week,ONE NATION UNDER TAUGHT;by Vince M. Bertram;New this week,THE POWER OF HABIT;by Charles Duhigg;46 weeks on the list,KILLING PATTON;by Bill O'Reilly and Martin Dugard;9 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;4 weeks on the list,SNOOPY’S THANKSGIVING;by Charles M. Schulz;New this week,"AMULET, VOL. 6;by Kazu Kibuishi;14 weeks on the list","BLEACH, VOL. 62;by Tite Kubo;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,YODA;by Beth Stern with K.A. Alistir. Illustrated by Devin Crane;New this week,DORK DIARIES;by Rachel Renée Russell;113 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,REALLY IMPORTANT STUFF MY DOG HAS TAUGHT ME;by Cynthia L. Copeland;,HOW WE GOT TO NOW;by Steven Johnson;,SO ANYWAY . . .;by John Cleese;,EMPIRE OF SIN;by Gary Krist;,JERRY LEE LEWIS;by Rick Bragg;,THE ORGANIZED MIND;by Daniel J. Levitin;,HUNTING EICHMANN;by Neal Bascomb;,A HOUSE IN THE SKY;by Amanda Lindhout and Sara Corbett;,VALENTINO;by Valentino Garavani. Photographs by Oberto Gili;,J J VIRGIN'S SUGAR IMPACT DIET;by J. J. Virgin;,MONSTER MANUAL;by Wizards RPG Team;,HASHIMOTO'S THYROIDITIS;by Izabella Wentz with Marta Nowosadzka;,I MUST SAY;by Martin Short with David Kamp;,CREATION'S JOURNEY;by Tom Hill and Richard Hill;,THE WORLD OF POSTSECRET;by Frank Warren;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,MAYOR FOR LIFE;by Marion Barry Jr. and Omar Tyree;,THE GREATEST GIFT;by Ann Voskamp;,THE POWER OF HABIT;by Charles Duhigg;,FULLY ALIVE;by Timothy P. Shriver;,WAYFARING STRANGERS;by Fiona Ritchie and Doug Orr;
8,THE JOB;by Janet Evanovich and Lee Goldberg;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;29 weeks on the list,PRIVATE INDIA;by James Patterson and Ashwin Sanghi;2 weeks on the list,,,WILD;by Cheryl Strayed;88 weeks on the list,SMALL VICTORIES;by Anne Lamott;2 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;4 weeks on the list,41;by George W. Bush;2 weeks on the list,EVERYTHING I NEED TO KNOW ABOUT CHRISTMAS I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;New this week,KILL MY MOTHER;by Jules Feiffer;10 weeks on the list,"MS. MARVEL, VOL. 1;by G. Willow Wilson and Adrian Alphona;3 weeks on the list","NISEKOI: FALSE LOVE, VOL. 6;by Naoshi Komi;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;25 weeks on the list,GIVER QUARTET;by Lois Lowry;66 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,SHAKE PUPPIES;by Carli Davidson;,HOW GOOGLE WORKS;by Eric Schmidt and Jonathan Rosenberg;,NEIL PATRICK HARRIS: CHOOSE YOUR OWN AUTOBIOGRAPHY;by Neil Patrick Harris with David Javerbaum;,THE ART OF ROBERT E McGINNIS;by Robert E. McGinnis and Art Scott;,THE MEANING OF HUMAN EXISTENCE;by Edward O. Wilson;,ON WRITING;by Stephen King;,THE GOOD SPY;by Kai Bird;,THE PRACTICAL PREPPERS COMPLETE GUIDE TO DISASTER PREPAREDNESS;by Scott Hunt;,STUDY OF POSE;by Coco Rocha. Photography by Steven Sebring;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,PLAYER'S HANDBOOK;by Wizards RPG Team;,SMOKE GETS IN YOUR EYES;by Caitlin Doughty;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,BURY MY HEART AT WOUNDED KNEE;by Dee Brown;,LOVE DOES;by Bob Goff;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,THE RISE OF THEODORE ROOSEVELT;by Edmund Morris;,WARRIORS DON'T CRY;by Melba Pattillo Beals;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,ONE NATION UNDER TAUGHT;by Vince M. Bertram;,FOXCATCHER;by Mark Schultz with David Thomas;,NEVER CAN SAY GOODBYE;edited by Sari Botton;
9,THE MISTLETOE PROMISE;by Richard Paul Evans;New this week,THE JOB;by Janet Evanovich and Lee Goldberg;New this week,SHARP OBJECTS;by Gillian Flynn;32 weeks on the list,,,BEING MORTAL;by Atul Gawande;7 weeks on the list,DREAMERS AND DECEIVERS;by Glenn Beck with Kevin Balfe;4 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;206 weeks on the list,FAITH OF MY FATHERS;by John McCain with Mark Salter;New this week,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;29 weeks on the list,THE BEST AMERICAN COMICS 2014;by Scott McCloud and others;7 weeks on the list,EL DEAFO;by Cece Bell;8 weeks on the list,"MAXIMUM RIDE, VOL. 8;by James Patterson and NaRae Lee;5 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THE ANIMALS' SANTA;by Jan Brett;3 weeks on the list,"BANE CHRONICLES;by Cassandra Clare, Maureen Johnson and Sarah Rees Brennan;7 weeks on the list",LEGENDBORN;by Tracy Deonn;9 weeks on the list,A STREET CAT NAMED BOB;by James Bowen;,THIS CHANGES EVERYTHING;by Naomi Klein;,THE ART OF ASKING;by Amanda Palmer;,THE MURDER OF THE CENTURY;by Paul Collins;,UNIVERSAL TONE;by Carlos Santana and Ashley Kahn;,WHAT WE SEE WHEN WE READ;by Peter Mendelsund;,AGENT GARBO;by Stephan Talty;,THE PATH BETWEEN THE SEAS;by David McCullough;,REFINERY29: STYLE STALKING;by Christine Barberich and Piera Gelardi;,PRUNE;by Gabrielle Hamilton;,HACKS FOR MINECRAFTERS;by Megan Miller;,THE EMPEROR OF ALL MALADIES;by Siddhartha Mukherjee;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,AN INFINITY OF NATIONS;by Michael Witgen;,BAD FEMINIST;by Roxane Gay;,A GIRL NAMED ZIPPY;by Haven Kimmel;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,DEAR WHITE PEOPLE;by Justin Simien. Illustrated by Ian O'Phelan;,THE BEST YES;by Lysa TerKeurst;,THE SCIENCE OF INTERSTELLAR;by Kip Thorne;,PARCELLS;by Bill Parcells and Nunyo Demasio;,THE ULTIMATE SURVIVAL MANUAL;by Rich Johnson and the editors of Outdoor Life;
10,FLESH AND BLOOD;by Patricia Cornwell;2 weeks on the list,PRINCE LESTAT;by Anne Rice;4 weeks on the list,DARK PLACES;by Gillian Flynn;69 weeks on the list,,,DREAMERS AND DECEIVERS;by Glenn Beck with Kevin Balfe;3 weeks on the list,NOT THAT KIND OF GIRL;by Lena Dunham;8 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;69 weeks on the list,BEING MORTAL;by Atul Gawande;5 weeks on the list,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;5 weeks on the list,"MIRACLEMAN, BOOK 2;by Alan Moore, Alan Davis, Chuck Austen and others;2 weeks on the list","AMULET, VOL. 1;by Kazu Kibuishi;4 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;76 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MIX IT UP!;by Hervé Tullet;10 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;349 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,I KNEAD MY MOMMY;by Francesco Marciuliano;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE WOMAN I WANTED TO BE;by Diane Von Furstenberg;,TINSELTOWN;by William J. Mann;,BAD FEMINIST;by Roxane Gay;,LETTERS OF NOTE;compiled by Shaun Usher;,OPERATION PAPERCLIP;by Annie Jacobsen;,LOST IN SHANGRI-LA;by Mitchell Zuckoff;,HOW TO TIE A SCARF;by the staff of Potter Style;,HOW TO COOK EVERYTHING FAST;by Mark Bittman;,1000 DOT-TO-DOT: CITIES;by Thomas Pavitte;,DR. MUTTER'S MARVELS;by Cristin O'Keefe Aptowicz;,YOU HAVE TO F*****G EAT;by Adam Mansbach. Illustrated by Owen Brozman;,THE SWORDFISH HUNTERS;by Bruce Bourque;,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;,THE CONSCIOUS PARENT;by Shefali Tsabary;,STOP THE COMING CIVIL WAR;by Michael Savage;,THE OTHER WES MOORE;by Wes Moore;,THE MEANING OF HUMAN EXISTENCE;by Edward O. Wilson;,THE HOT ZONE;by Richard Preston;,READY TO RUN;by Kelly Starrett with T. J. Murphy;,LIVES IN RUINS;by Marilyn Johnson;
