,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,DEADLOCK;by Catherine Coulter;New this week,WHERE THE CRAWDADS SING;by Delia Owens;100 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;55 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;3 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;3 weeks on the list,ON TYRANNY;by Timothy Snyder;67 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;39 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;13 weeks on the list,ALL ARE WELCOME;by Alexandra Penfold and Suzanne Kaufman;18 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;241 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;19 weeks on the list,THE SANDMAN;by Neil Gaiman and Dirk Maggs;,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;,ATOMIC HABITS;by James Clear;,THE ADVENTURE ZONE: PETALS TO THE METAL;by Clint McElroy et al. Illustrated by Carey Pietsch;,THE GUARDIANS;by John Grisham;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,DEAR MARTIN;by Nic Stone;
2,1ST CASE;by James Patterson and Chris Tebbetts;New this week,THE VANISHING HALF;by Brit Bennett;9 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;65 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;19 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;22 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;100 weeks on the list,THE PLUS;by Greg Gutfeld;New this week,WONDER;by R.J. Palacio;259 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;21 weeks on the list,DOG MAN;by Dav Pilkey;153 weeks on the list,THE HATE U GIVE;by Angie Thomas;179 weeks on the list,PEACE TALKS;by Jim Butcher;,WHITE FRAGILITY;by Robin DiAngelo;,THE BIGGEST BLUFF;by Maria Konnikova;,NEW KID;by Jerry Craft;,DESOLATION ROAD;by Christine Feehan;,A LONG WALK TO WATER;by Linda Sue Park;,WE WERE LIARS;by E. Lockhart;
3,WHERE THE CRAWDADS SING;by Delia Owens;99 weeks on the list,1ST CASE;by James Patterson and Chris Tebbetts;New this week,THE NICKEL BOYS;by Colson Whitehead;5 weeks on the list,ON TYRANNY;by Timothy Snyder;23 weeks on the list,UNTAMED;by Glennon Doyle;21 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;11 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;17 weeks on the list",LITTLE LEADERS;by Vashti Harrison;40 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;82 weeks on the list,THE BAD GUYS;by Aaron Blabey;89 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;132 weeks on the list,THE GUEST LIST;by Lucy Foley;,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;,DARE TO LEAD;by Brené Brown;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,THE WARNING;by James Patterson and Robison Wells;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOOK THIEF;by Markus Zusak;
4,THE VANISHING HALF;by Brit Bennett;9 weeks on the list,THE ORDER;by Daniel Silva;3 weeks on the list,CAJUN JUSTICE;by James Patterson and Tucker Axum;3 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;14 weeks on the list,THE ANSWER IS ...;by Alex Trebek;2 weeks on the list,JUST MERCY;by Bryan Stevenson;216 weeks on the list,ATOMIC HABITS;by James Clear;38 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;68 weeks on the list,ANTIRACIST BABY;by Ibram X. Kendi. Illustrated by Ashley Lukashevsky;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;594 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE SHADOW OF KYOSHI;by F.C. Yee;2 weeks on the list",WHERE THE CRAWDADS SING;by Delia Owens;,BREATH;by James Nestor;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,GUTS;by Raina Telgemeier;,REDEMPTION;by David Baldacci;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
5,THE ORDER;by Daniel Silva;3 weeks on the list,NEAR DARK;by Brad Thor;2 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;67 weeks on the list,UNTAMED;by Glennon Doyle;21 weeks on the list,BEGIN AGAIN;by Eddie S. Glaude Jr.;5 weeks on the list,WALKING WITH THE WIND;by John Lewis and Michael D'Orso;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;318 weeks on the list,REFUGEE;by Alan Gratz;105 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;16 weeks on the list,HARRY POTTER;by J.K. Rowling;593 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE RISE OF KYOSHI;by F.C. Yee with Michael Dante DiMartino;3 weeks on the list",THE VANISHING HALF;by Brit Bennett;,THE ROOM WHERE IT HAPPENED;by John Bolton;,OUTLIERS;by Malcolm Gladwell;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,SUMMER AT LAKE HAVEN;by Raeanne Thayne;,BROWN GIRL DREAMING;by Jacqueline Woodson;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
6,NEAR DARK;by Brad Thor;2 weeks on the list,28 SUMMERS;by Elin Hilderbrand;7 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;50 weeks on the list,THE ANSWER IS ...;by Alex Trebek;2 weeks on the list,HOW TO DESTROY AMERICA IN THREE EASY STEPS;by Ben Shapiro;2 weeks on the list,INTIMATIONS;by Zadie Smith;New this week,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;190 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;68 weeks on the list,THE WORLD NEEDS MORE PURPLE PEOPLE;by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman;9 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;542 weeks on the list,HAWK;by James Patterson;4 weeks on the list,THE ORDER;by Daniel Silva;,UNTAMED;by Glennon Doyle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","AVATAR, THE LAST AIRBENDER: THE PROMISE OMNIBUS;by Bryan Konietzko, Michael Dante DiMartino and Gene Luen Yang. Illustrated by Gurihiru;",THE OUTSIDER;by Stephen King;,FISH IN A TREE;by Lynda Mullaly Hunt;,LONG WAY DOWN;by Jason Reynolds;
7,THE GUEST LIST;by Lucy Foley;9 weeks on the list,THE GUEST LIST;by Lucy Foley;9 weeks on the list,THIS TENDER LAND;by William Kent Krueger;6 weeks on the list,BEGIN AGAIN;by Eddie S. Glaude Jr.;5 weeks on the list,THE ROOM WHERE IT HAPPENED;by John Bolton;6 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;17 weeks on the list,SUPERLIFE;by Darin Olien;New this week,WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;21 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;23 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;233 weeks on the list,CLAP WHEN YOU LAND;by Elizabeth Acevedo;13 weeks on the list,THE SUMMER HOUSE;by James Patterson and Brendan DuBois;,ALEXANDER HAMILTON;by Ron Chernow;,GRIT;by Angela Duckworth;,BECOMING BRIANNA;by Terri Libenson;,A SLICE OF HEAVEN;by Sherryl Woods;,THE CROSSOVER;by Kwame Alexander;,ALL THE BRIGHT PLACES;by Jennifer Niven;
8,28 SUMMERS;by Elin Hilderbrand;7 weeks on the list,DEADLOCK;by Catherine Coulter;New this week,BEFORE WE WERE YOURS;by Lisa Wingate;63 weeks on the list,HOW TO DESTROY AMERICA IN THREE EASY STEPS;by Ben Shapiro;2 weeks on the list,BREATH;by James Nestor;7 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;14 weeks on the list,RELATIONSHIP GOALS;by Michael Todd;14 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;40 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;245 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;35 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;22 weeks on the list,28 SUMMERS;by Elin Hilderbrand;,HOW TO DESTROY AMERICA IN THREE EASY STEPS;by Ben Shapiro;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",ACT;by Kayla Miller;,BLUE MOON;by Lee Child;,GHOST BOYS;by Jewell Parker Rhodes;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
9,THEN SHE WAS GONE;by Lisa Jewell;5 weeks on the list,MEXICAN GOTHIC;by Silvia Moreno-Garcia;4 weeks on the list,NORMAL PEOPLE;by Sally Rooney;23 weeks on the list,THE ROOM WHERE IT HAPPENED;by John Bolton;6 weeks on the list,BECOMING;by Michelle Obama;86 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;11 weeks on the list,YOU ARE A BADASS;by Jen Sincero;217 weeks on the list,LOOK BOTH WAYS;by Jason Reynolds;14 weeks on the list,WE DON'T EAT OUR CLASSMATES!;by Ryan T. Higgins;23 weeks on the list,COURT OF THORNS AND ROSES;by Sarah J. Maas;16 weeks on the list,THE BETROTHED;by Kiera Cass;13 weeks on the list,PRETTY THINGS;by Janelle Brown;,BECOMING;by Michelle Obama;,TRAFFIC SECRETS;by Russell Brunson;,MARCH: BOOK THREE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,TWENTY-ONE WISHES;by Debbie Macomber;,RESTART;by Gordon Korman;,JUST MERCY;by Bryan Stevenson;
10,AMERICAN DIRT;by Jeanine Cummins;28 weeks on the list,CAMINO WINDS;by John Grisham;14 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;76 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;11 weeks on the list,EDUCATED;by Tara Westover;128 weeks on the list,BORN A CRIME;by Trevor Noah;77 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;25 weeks on the list,ALI CROSS;by James Patterson;28 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;310 weeks on the list,GIVER QUARTET;by Lois Lowry;164 weeks on the list,WITH THE FIRE ON HIGH;by Elizabeth Acevedo;20 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,TALKING TO STRANGERS;by Malcolm Gladwell;,THE RIDE OF A LIFETIME;by Robert Iger;,MARCH: BOOK TWO;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE DARK SIDE;by Danielle Steel;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,SIX OF CROWS;by Leigh Bardugo;
