,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,ME BEFORE YOU;by Jojo Moyes;4 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;95 weeks on the list,ME BEFORE YOU;by Jojo Moyes;64 weeks on the list,,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;7 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;7 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;20 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;7 weeks on the list,CRAVINGS;by Chrissy Teigen with Adeena Sussman;New this week,"AMULET, VOL. 7;by Kazu Kibuishi;New this week","AMULET, VOL. 7;by Kazu Kibuishi;New this week","TOKYO GHOUL, VOL. 5;by Sui Ishida;2 weeks on the list",THE SWORD OF SUMMER;by Rick Riordan;21 weeks on the list,PAX;Sara Pennypacker. Illustrated by Jon Klassen;4 weeks on the list,PERCY JACKSON'S GREEK GODS;by Rick Riordan. Illustrated by John Rocco;New this week,WHAT PET SHOULD I GET?;by Dr. Seuss;23 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;363 weeks on the list,GLASS SWORD;by Victoria Aveyard;3 weeks on the list,GLASS SWORD;by Victoria Aveyard;3 weeks on the list,THE 5TH WAVE;by Rick Yancey;28 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,ORIGINALS;by Adam Grant;,TURNING THE TABLES;by Teresa Giudice;,TURNING THE TABLES;by Teresa Giudice;,IN OTHER WORDS;by Jhumpa Lahiri;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,PLAYING TO THE EDGE;by Michael V. Hayden;,THE WRIGHT BROTHERS;by David McCullough;,PRETTY HAPPY;by Kate Hudson;,CRAVINGS;by Chrissy Teigen with Adeena Sussman;,HARRY POTTER COLORING BOOK;by various illustrators;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,BOSSYPANTS;by Tina Fey;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,A MOTHER'S RECKONING;by Sue Klebold;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE NAME OF GOD IS MERCY;by Pope Francis with Andrea Tornielli;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE BOYS IN THE BOAT;by Daniel James Brown;,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;
2,THE GIRL IN THE SPIDER'S WEB;by David Lagercrantz;10 weeks on the list,A GIRL'S GUIDE TO MOVING ON;by Debbie Macomber;New this week,BROOKLYN;by Colm Toibin;18 weeks on the list,,,PLAYING TO THE EDGE;by Michael V. Hayden;New this week,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;33 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;92 weeks on the list,THE KENNEDY BROTHERS;by Richard D. Mahoney;New this week,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;70 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;193 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: CLAUDIA AND MEAN JANINE;by Ann M. Martin and Raina Telgemeier;5 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;35 weeks on the list",THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;12 weeks on the list,WONDER;by R.J. Palacio;29 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;29 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;74 weeks on the list,HARRY POTTER;by J.K. Rowling;362 weeks on the list,THE INFINITE SEA;by Rick Yancey;17 weeks on the list,RED QUEEN;by Victoria Aveyard;28 weeks on the list,THE INFINITE SEA;by Rick Yancey;17 weeks on the list,101 DOG TRICKS;by Kyra Sundance and Chalcy;,THE BIG SHORT;by Michael Lewis;,LEONARD;by William Shatner with David Fisher;,CONVICTION;by Juan Martinez;,WEST OF EDEN;by Jean Stein;,IN OTHER WORDS;by Jhumpa Lahiri;,100 DEADLY SKILLS;by Clint Emerson;,DEAD WAKE;by Erik Larson;,GRACE AND STYLE;by Grace Helbig;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,"DOCTOR WHO COLORING BOOK;illlustrated by James Newman Gray, Lee Teng Chew and Jan Smith;",PRETTY HAPPY;by Kate Hudson;,GRACE AND STYLE;by Grace Helbig;,THE WAIT;by DeVon Franklin and Meagan Good with Tim Vandehey;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;,THE RUN OF HIS LIFE;by Jeffrey Toobin;,THE WAIT;by DeVon Franklin and Meagan Good with Tim Vandehey;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;,IN OTHER WORDS;by Jhumpa Lahiri;
3,A GIRL'S GUIDE TO MOVING ON;by Debbie Macomber;New this week,THE GIRL ON THE TRAIN;by Paula Hawkins;59 weeks on the list,THE REVENANT;by Michael Punke;10 weeks on the list,,,A MOTHER'S RECKONING;by Sue Klebold;2 weeks on the list,PLAYING TO THE EDGE;by Michael V. Hayden;New this week,THE BIG SHORT;by Michael Lewis;60 weeks on the list,PLAYING TO THE EDGE;by Michael V. Hayden;New this week,"EAT FAT, GET THIN;by Mark Hyman;New this week","DC COMICS: SECRET HERO SOCIETY, VOL. 1;by Derek Fridolfs and Dustin Nguyen;5 weeks on the list",DRAMA;by Raina Telgemeier;135 weeks on the list,"ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;26 weeks on the list",WONDER;by R.J. Palacio;25 weeks on the list,THE SWORD OF SUMMER;by Rick Riordan;21 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;29 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;23 weeks on the list,I SURVIVED;by Lauren Tarshis;12 weeks on the list,THE 5TH WAVE;by Rick Yancey;23 weeks on the list,SALT TO THE SEA;by Ruta Sepetys;4 weeks on the list,THE BOOK THIEF;by Markus Zusak;29 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,THE INDUSTRIES OF THE FUTURE;by Alec Ross;,BOSSYPANTS;by Tina Fey;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,DOWNTON ABBEY: A CELEBRATION;by Jessica Fellowes;,THING EXPLAINER;by Randall Munroe;,THE MAN WHO BROKE NAPOLEON'S CODES;by Mark Urban;,THE FINEST HOURS;by Michael J. Tougias and Casey Sherman;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,LOST OCEAN;illustrated by Johanna Basford;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,DARING GREATLY;by Brené Brown;,UNTANGLED;by Lisa Damour;,DARK MONEY;by Jane Mayer;,THE NEW JIM CROW;by Michelle Alexander;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,ALWAYS HUNGRY?;by David Ludwig;,MANNING;by Peyton Manning and Archie Manning with John Underwood;,WEST OF EDEN;by Jean Stein;
4,RUNAWAY VAMPIRE;by Lynsay Sands;New this week,THE NIGHTINGALE;by Kristin Hannah;52 weeks on the list,MY BRILLIANT FRIEND;by Elena Ferrante;26 weeks on the list,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;33 weeks on the list,A MOTHER'S RECKONING;by Sue Klebold;2 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;324 weeks on the list,THE WILDERNESS WARRIOR;by Douglas Brinkley;New this week,SPARK JOY;by Marie Kondo;8 weeks on the list,PLANTS VS. ZOMBIES: GARDEN WARFARE;by Paul Tobin and Jacob Chabot;3 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 3;by Robert Kirkman and Charlie Adlard;19 weeks on the list","FAIRY TAIL, VOL. 52;by Hiro Mashima;New this week",THE KEEPER;by David Baldacci;19 weeks on the list,STAR WARS: THE FORCE AWAKENS;by Greg Rucka. Illustrated by Phil Noto;10 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;29 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;140 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;107 weeks on the list,FIRSTLIFE;by Gena Showalter;New this week,THE SIREN;by Kiera Cass;5 weeks on the list,LOOKING FOR ALASKA;by John Green;29 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,THE POWER OF BROKE;by Daymond John;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,THE RUN OF HIS LIFE;by Jeffrey Toobin;,ANDY WARHOL WAS A HOARDER;by Claudia Kalb;,THE COLLAPSE OF PARENTING;by Leonard Sax;,ZERO FOOTPRINT;by Simon Chase and Ralph Pezzullo;,IN THE HEART OF THE SEA;by Nathaniel Philbrick;,EMPIRE OF COTTON;by Sven Beckert;,"EAT FAT, GET THIN;by Mark Hyman;",ENCHANTED FOREST;illustrated by Johanna Basford;,BEING MORTAL;by Atul Gawande;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,UNTANGLED;by Lisa Damour;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;,JUST MERCY;by Bryan Stevenson;,FERVENT;by Priscilla Shirer;,QUIET;by Susan Cain;,LIFE IS NOT AN ACCIDENT;by Jay Williams;,NOTES FROM A SMALL ISLAND;by Bill Bryson;
5,THE NIGHTINGALE;by Kristin Hannah;44 weeks on the list,GO SET A WATCHMAN;by Harper Lee;31 weeks on the list,THE MARTIAN;by Andy Weir;70 weeks on the list,,,THE KENNEDY BROTHERS;by Richard D. Mahoney;New this week,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;6 weeks on the list,QUIET;by Susan Cain;130 weeks on the list,A MOTHER'S RECKONING;by Sue Klebold;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;142 weeks on the list,KILLING AND DYING;by Adrian Tomine;21 weeks on the list,"DEADPOOL BY DANIEL WAY, VOL. 1;by Daniel Way and others;3 weeks on the list","IS IT WRONG TO TRY TO PICK UP GIRLS IN A DUNGEON?, VOL. 4;by Fujino Omori and Kunieda;New this week",OUT OF MY MIND;by Sharon M. Draper;6 weeks on the list,AUGGIE & ME;by R.J. Palacio;28 weeks on the list,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;26 weeks on the list,THE DAY THE CRAYONS CAME HOME;by Drew Daywalt. Illustrated by Oliver Jeffers;28 weeks on the list,RECKONERS;by Brandon Sanderson;2 weeks on the list,RED QUEEN;by Victoria Aveyard;9 weeks on the list,THE AMAZING BOOK IS NOT ON FIRE;by Dan Howell and Phil Lester;20 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;22 weeks on the list,RESCUE ROAD;by Peter Zheutlin;,THE POWER OF HABIT;by Charles Duhigg;,YES PLEASE;by Amy Poehler;,JUST MERCY;by Bryan Stevenson;,THE SILK ROADS;by Peter Frankopan;,THE IMPORTANCE OF BEING LITTLE;by Erika Christakis;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,INTO THE WILD;by Jon Krakauer;,TIMELESS BEAUTY;by Christie Brinkley;,ALWAYS HUNGRY?;by David Ludwig;,STRESS RELIEVING ANIMAL DESIGNS;by the editors of Blue Star Books;,"EAT FAT, GET THIN;by Mark Hyman;",YES PLEASE;by Amy Poehler;,LEONARD;by William Shatner with David Fisher;,THE COLLAPSE OF PARENTING;by Leonard Sax;,AND THEN ALL HELL BROKE LOOSE;by Richard Engel;,UNITED;by Cory Booker;,URBAN MONK;by Pedram Shojai;,THE WRIGHT BROTHERS;by David McCullough;,CONCUSSION;by Jeanne Marie Laskas;,KNITLANDIA;by Clara Parkes;
6,THE WEDDING DRESS;by Rachel Hauck;New this week,COMETH THE HOUR;by Jeffrey Archer;2 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;9 weeks on the list,,,ALEXANDER HAMILTON;by Ron Chernow;9 weeks on the list,ORIGINALS;by Adam Grant;4 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;39 weeks on the list,THE AUTOBIOGRAPHY OF MALCOLM X;as told to Alex Haley;New this week,PRETTY HAPPY;by Kate Hudson;2 weeks on the list,THE SANDMAN;by Neil Gaiman and Dirk Maggs;16 weeks on the list,UNICORN VS. GOBLINS;by Dana Simpson;New this week,"DRAGONAR ACADEMY, VOL. 9;by Shiki Mizuchi and Ran;2 weeks on the list",,THE WAR THAT SAVED MY LIFE;by Kimberly Brubaker Bradley;2 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;29 weeks on the list,FINDING WINNIE;by Lindsay Mattick. Illustrated by Sophie Blackall;7 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;23 weeks on the list,,PASSENGER;by Alexandra Bracken;8 weeks on the list,PAPER TOWNS;by John Green;29 weeks on the list,DOG SONGS;by Mary Oliver;,SMALL DATA;by Martin Lindstrom;,THIS TIME TOGETHER;by Carol Burnett;,IF I DID IT;Fred Goldman and Kim Goldman;,SPQR;by Mary Beard;,THE READING STRATEGIES BOOK;by Jennifer Serravallo;,A MAN CALLED INTREPID;by William Stevenson;,INTO THIN AIR;by Jon Krakauer;,FRENCH WOMEN DON'T GET FACELIFTS;by Mireille Guiliano;,THE PIONEER WOMAN COOKS: DINNERTIME;by Ree Drummond;,ADULT COLORING BOOKS;by the staff of Coloring Books for Adults;,ALWAYS HUNGRY?;by David Ludwig;,THIS TIME TOGETHER;by Carol Burnett;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,H IS FOR HAWK;by Helen Macdonald;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,AMERICA'S ORIGINAL SIN;by Jim Wallis;,THE SECRET;by Rhonda Byrne;,THE POWER OF HABIT;by Charles Duhigg;,WAKE UP HAPPY;by Michael Strahan with Veronica Chambers;,WILD;by Cheryl Strayed;
7,COMETH THE HOUR;by Jeffrey Archer;2 weeks on the list,WEDDING CAKE MURDER;by Joanne Fluke;New this week,A LITTLE LIFE;by Hanya Yanagihara;4 weeks on the list,,,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;6 weeks on the list,THE NAME OF GOD IS MERCY;by Pope Francis with Andrea Tornielli;7 weeks on the list,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;10 weeks on the list,THE MAN WHO BROKE NAPOLEON'S CODES;by Mark Urban;New this week,YOU ARE A BADASS;by Jen Sincero;7 weeks on the list,HILO BOOK 1: THE BOY WHO CRASHED TO EARTH;by Judd Winick;6 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;167 weeks on the list","MONSTER MUSUME, VOL. 8;by Okayado;3 weeks on the list",,CRENSHAW;by Katherine Applegate;22 weeks on the list,HOUSE OF ROBOTS;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;19 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;106 weeks on the list,DORK DIARIES;by Rachel Renée Russell;157 weeks on the list,,SIX OF CROWS;by Leigh Bardugo;21 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;4 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,OUTLIERS;by Malcolm Gladwell;,ANDY WARHOL WAS A HOARDER;by Claudia Kalb;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,AMERICAN GIRLS;by Nancy Jo Sales;,MISSOULA;by Jon Krakauer;,SPY SECRETS THAT CAN SAVE YOUR LIFE;by Jason Hanson;,NO SHORTCUTS TO THE TOP;by Ed Viesturs;,THE BEE COTTAGE STORY;by Frances Schultz. Photography by Trevor Tondro;,THE FOOD LAB;by J. Kenji Lopez-Alt;,SECRET GARDEN;illustrated by Johanna Basford;,HOW NOT TO DIE;by Michael Greger with Gene Stone;,SELP-HELF;by Miranda Sings;,H IS FOR HAWK;by Helen Macdonald;,THE IMPORTANCE OF BEING LITTLE;by Erika Christakis;,THE BIG SHORT;by Michael Lewis;,THE BLACK PRESIDENCY;by Michael Eric Dyson;,FRESH START;by Joel Osteen;,THING EXPLAINER;by Randall Munroe;,BASEBALL AMERICA 2016 PROSPECT HANDBOOK;by John Manuel;,NO SHORTCUTS TO THE TOP;by Ed Viesturs;
8,THE GIRL ON THE TRAIN;by Paula Hawkins;56 weeks on the list,MY NAME IS LUCY BARTON;by Elizabeth Strout;7 weeks on the list,THE ALCHEMIST;by Paulo Coelho;395 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;92 weeks on the list,AND THEN ALL HELL BROKE LOOSE;by Richard Engel;3 weeks on the list,JUST MERCY;by Bryan Stevenson;19 weeks on the list,LITTLE PRISONERS;by Casey Watson;5 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;29 weeks on the list,BIG KIDS;by Michael DeForge;New this week,SMILE;by Raina Telgemeier;194 weeks on the list,"12 BEAST, VOL. 3;by OKAYADO;2 weeks on the list",,ROBOTS GO WILD;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;14 weeks on the list,THE CARE AND KEEPING OF YOU 2;by Cara Natterson. Illustrated by Josee Masse;14 weeks on the list,LAST STOP ON MARKET STREET;by Matt de la Peña. Illustrated by Christian Robinson;10 weeks on the list,LUNAR CHRONICLES;by Marissa Meyer;24 weeks on the list,,WE ALL LOOKED UP;by Tommy Wallach;15 weeks on the list,ME AND EARL AND THE DYING GIRL;by Jesse Andrews;29 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,#GIRLBOSS;by Sophia Amoruso;,FURIOUSLY HAPPY;by Jenny Lawson;,MISSOULA;by Jon Krakauer;,BETTER LIVING THROUGH CRITICISM;by A. O. Scott;,THE BATTLE FOR ROOM 314;by Ed Boland;,FUTURE CRIMES;by Marc Goodman;,THE INDIFFERENT STARS ABOVE;by Daniel James Brown;,LOVE STYLE LIFE;by Garance Doré;,THUG KITCHEN;by the staff of Thug Kitchen;,CREATIVE HAVEN CREATIVE CATS COLORING BOOK;Illustrated by Marjorie Sarnat;,DRY;by Augusten X. Burroughs;,BINGE;by Tyler Oakley;,ON MY OWN;by Diane Rehm;,ON MY OWN;by Diane Rehm;,PLAYING TO THE EDGE;by Michael V. Hayden;,BROWN IS THE NEW WHITE;by Steve Phillips;,THE POWER OF NOW;by Eckhart Tolle;,WHAT IF?;by Randall Munroe;,NO SHORTCUTS TO THE TOP;by Ed Viesturs;,HARLEM;by Jonathan Gill;
9,GIRL MISSING;by Tess Gerritsen;New this week,BROTHERHOOD IN DEATH;by J. D. Robb;4 weeks on the list,ALERT;by James Patterson and Michael Ledwidge;2 weeks on the list,,,AND THEN ALL HELL BROKE LOOSE;by Richard Engel;3 weeks on the list,BEING MORTAL;by Atul Gawande;63 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;110 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;3 weeks on the list,SMALL DATA;by Martin Lindstrom;New this week,SOPPY;by Philippa Rice;4 weeks on the list,SISTERS;by Raina Telgemeier;78 weeks on the list,NARUTO: THE SEVENTH HOKAGE AND THE SCARLET SPRING;by Masashi Kishimoto;8 weeks on the list,,MR. LEMONCELLO'S LIBRARY OLYMPICS;by Chris Grabenstein;8 weeks on the list,MASTERMINDS;by Gordon Korman;New this week,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;65 weeks on the list",DIVERGENT;by Veronica Roth;101 weeks on the list,,CARRY ON;by Rainbow Rowell;20 weeks on the list,I WAS HERE;by Gayle Forman;4 weeks on the list,FAST INTO THE NIGHT;by Debbie Clarke Moderow;,A PASSION FOR LEADERSHIP;by Robert M. Gates;,BINGE;by Tyler Oakley;,GIRL IN THE CELLAR;by Allan Hall and Michael Leidig;,M TRAIN;by Patti Smith;,IN A DIFFERENT KEY;by John Donvan and Caren Zucker;,RED NOTICE;by Bill Browder;,ASTORIA;by Peter Stark;,HOW TO TIE A SCARF;by the staff of Potter Style;,GREAT FOOD FAST;by Bob Warden and Christian Stella;,ART THERAPY: THE ART OF COLORING STAR WARS;by Catherine Saunier-Talec and Anne Vallet;,URBAN MONK;by Pedram Shojai;,THE WIT AND WISDOM OF DOWNTON ABBEY;by Jessica Fellowes;,WHY NOT ME?;by Mindy Kaling;,THE EXPECTANT FATHER;by Armin A. Brott and Jennifer Ash;,THE NEW JIM CROW;by Michelle Alexander;,CITIZEN;by Claudia Rankine;,IMAGINE HEAVEN;by John Burke;,ELON MUSK;by Ashlee Vance;,EVERY DAY I FIGHT;by Stuart Scott with Larry Platt;,A WALK IN THE WOODS;by Bill Bryson;
10,ROOMHATE;by Penelope Ward;2 weeks on the list,NYPD RED 4;by James Patterson and Marshall Karp;5 weeks on the list,ROOM;by Emma Donoghue;46 weeks on the list,,,ORIGINALS;by Adam Grant;4 weeks on the list,DARK MONEY;by Jane Mayer;6 weeks on the list,ON THE MOVE;by Oliver Sacks;New this week,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;17 weeks on the list,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;43 weeks on the list,"STEP ASIDE, POPS;by Kate Beaton;24 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;94 weeks on the list","NORAGAMI, VOL. 11;by Adachitoka;New this week",,THE TERRIBLE TWO;by Mac Barnett and Jory John. Illustrated by Kevin Cornell;4 weeks on the list,FLORA AND ULYSSES;by Kate DiCamillo. Illustrated by K. G. Campbell;18 weeks on the list,PRESS HERE;by Hervé Tullet;226 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;172 weeks on the list,,ELEANOR AND PARK;by Rainbow Rowell;26 weeks on the list,AN ABUNDANCE OF KATHERINES;by John Green;24 weeks on the list,A WOLF CALLED ROMEO;by Nick Jans;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,SING TO ME;by L. A. Reid with Joel Selvin;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,HARLEM;by Jonathan Gill;,THE TEENAGE BRAIN;by Frances E. Jensen with Amy Ellis Nutt;,THE FIGHT;by Dan Bongino;,THE INVENTION OF NATURE;by Andrea Wulf;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",MEDICAL MEDIUM;by Anthony William;,WHY NOT ME?;by Mindy Kaling;,AMERICAN GIRLS;by Nancy Jo Sales;,AMERICAN GIRLS;by Nancy Jo Sales;,JUST MERCY;by Bryan Stevenson;,HARLEM;by Jonathan Gill;,GRATITUDE;by Oliver Sacks;,CURE;by Jo Marchant;,ORANGE RUSH;by the staff of The Gazette;,HOW TO BE A WILDFLOWER;by Katie Daisy;
