,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,THE GIRL ON THE TRAIN;by Paula Hawkins;82 weeks on the list,COMMONWEALTH;by Ann Patchett;New this week,THE GIRL ON THE TRAIN;by Paula Hawkins;10 weeks on the list,,,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;New this week,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;New this week,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;5 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;New this week,UNINVITED;by Lysa TerKeurst;6 weeks on the list,"BATMAN, VOL. 9;by Scott Snyder and Greg Capullo;New this week",GHOSTS;by Raina Telgemeier;New this week,"ONE-PUNCH MAN, VOL. 8;by ONE and Yusuke Murata;2 weeks on the list",WONDER;by R.J. Palacio;47 weeks on the list,WONDER;by R.J. Palacio;58 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;58 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;2 weeks on the list",HARRY POTTER;by J.K. Rowling;391 weeks on the list,CRADLE AND ALL;by James Patterson;New this week,A TORCH AGAINST THE NIGHT;by Sabaa Tahir;3 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;51 weeks on the list,THE PERFECT HORSE;by Elizabeth Letts;,THE UPSIDE OF INEQUALITY;by Edward Conard;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,JUST MERCY;by Bryan Stevenson;,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;,GRIT;by Angela Duckworth;,THE PIGEON TUNNEL;by John le Carré;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,PLAYER'S HANDBOOK;by Wizards RPG Team;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,LOVE WARRIOR;by Glennon Doyle Melton;,LOVE WARRIOR;by Glennon Doyle Melton;,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,UNINVITED;by Lysa TerKeurst;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE BOYS IN THE BOAT;by Daniel James Brown;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;
2,COMMONWEALTH;by Ann Patchett;New this week,PIRATE;by Clive Cussler and Robin Burcell;New this week,A MAN CALLED OVE;by Fredrik Backman;38 weeks on the list,,,LOVE WARRIOR;by Glennon Doyle Melton;2 weeks on the list,LOVE WARRIOR;by Glennon Doyle Melton;2 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;49 weeks on the list,BETWEEN BREATHS;by Elizabeth Vargas;New this week,YOU ARE A BADASS;by Jen Sincero;36 weeks on the list,GHOSTS;by Raina Telgemeier;New this week,"BLACK PANTHER: A NATION UNDER OUR FEET, BOOK 1;by Ta-Nehisi Coates and Brian Stelfreeze;New this week","MONSTER MUSUME, VOL. 9;by Okayado;3 weeks on the list",THE LITTLEST BIGFOOT;by Jennifer Weiner;New this week,DOG MAN;by Dav Pilkey;3 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;58 weeks on the list,THE BILL THE CAT STORY;by Berkeley Breathed;New this week,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;52 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;New this week,THE THOUSANDTH FLOOR;by Katharine McGee;2 weeks on the list,THE BOOK THIEF;by Markus Zusak;58 weeks on the list,THE TRAINABLE CAT;by John Bradshaw and Sarah Ellis;,DESIGNING YOUR LIFE;by Bill Burnett and Dave Evans;,BETWEEN BREATHS;by Elizabeth Vargas;,AMERICAN HEIRESS;by Jeffrey Toobin;,SAPIENS;by Yuval Noah Harari;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE SNOWDEN FILES;by Luke Harding;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;",VERN YIP'S DESIGN WISE;by Vern Yip;,THUG KITCHEN;by the staff of Thug Kitchen;,STRESS RELIEF COLORING BOOK;by the Adult Coloring Book Designs staff;,BETWEEN BREATHS;by Elizabeth Vargas;,YUGE!;by G. B. Trudeau;,UNINVITED;by Lysa TerKeurst;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,HILLBILLY ELEGY;by J.D. Vance;,JUST MERCY;by Bryan Stevenson;,PRESENT OVER PERFECT;by Shauna Niequist;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,SHOE DOG;by Phil Knight;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;"
3,PIRATE;by Clive Cussler and Robin Burcell;New this week,RAZOR GIRL;by Carl Hiaasen;2 weeks on the list,THE LAST MILE;by David Baldacci;New this week,,,BETWEEN BREATHS;by Elizabeth Vargas;New this week,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;5 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;121 weeks on the list,LOVE WARRIOR;by Glennon Doyle Melton;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;171 weeks on the list,"ANGEL CATBIRD, VOL. 1;by Margaret Atwood and Johnnie Christmas;2 weeks on the list",SMILE;by Raina Telgemeier;223 weeks on the list,"ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;54 weeks on the list",SERAFINA AND THE BLACK CLOAK;by Robert Beatty;20 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;8 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;58 weeks on the list,"LLAMA, LLAMA RED PAJAMA;by Anna Dewdney;6 weeks on the list",MICHAEL VEY;by Richard Paul Evans;7 weeks on the list,CRUEL BEAUTY;by Rosamund Hodge;New this week,GLASS SWORD;by Victoria Aveyard;32 weeks on the list,A MONSTER CALLS;by Patrick Ness. Illustrated by Jim Kay;6 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,GRIT;by Angela Duckworth;,IN SUCH GOOD COMPANY;by Carol Burnett;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,THE KINGDOM OF SPEECH;by Tom Wolfe;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",AVENUE OF SPIES;by Alex Kershaw;,INTO THE WILD;by Jon Krakauer;,BEAUTIFUL;written by Mark D. Sikes. Photographs by Amy Neunsinger;,OH SHE GLOWS EVERY DAY;by Angela Liddon;,MONSTER MANUAL;by Wizards RPG Team;,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;,IN SUCH GOOD COMPANY;by Carol Burnett;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;",YUGE!;by G. B. Trudeau;,THE NEW JIM CROW;by Michelle Alexander;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;",SAPIENS;by Yuval Noah Harari;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;,BEST. STATE. EVER;by Dave Barry;
4,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;11 weeks on the list,THE UNDERGROUND RAILROAD;by Colson Whitehead;7 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;67 weeks on the list,,,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;5 weeks on the list,SCORCHED EARTH;by Michael Savage;New this week,JUST MERCY;by Bryan Stevenson;45 weeks on the list,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;5 weeks on the list,"HUSTLE;by Neil Patel, Patrick Vlaskovits and Jonas Koffler;New this week",BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;222 weeks on the list,DRAMA;by Raina Telgemeier;162 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;63 weeks on the list",THE HIDDEN ORACLE;by Rick Riordan;20 weeks on the list,THE HIDDEN ORACLE;by Rick Riordan;20 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;57 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;169 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;8 weeks on the list,A TORCH AGAINST THE NIGHT;by Sabaa Tahir;3 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;28 weeks on the list,THE CELLAR;by Natasha Preston;12 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,"HUSTLE;by Neil Patel, Patrick Vlaskovits and Jonas Koffler;",GOOD VIBRATIONS;by Mike Love;,THE SNOWDEN FILES;by Luke Harding;,SPQR;by Mary Beard;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,RED NOTICE;by Bill Browder;,THE 37TH PARALLEL;by Ben Mezrich;,"SHOPPING, SEDUCTION AND MR. SELFRIDGE;by Lindy Woodhead;","EAT FAT, GET THIN;by Mark Hyman;",HARRY POTTER COLORING BOOK;by various illustrators;,BEING MORTAL;by Atul Gawande;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,DARING GREATLY;by Brené Brown;,THE GLASS CASTLE;by Jeannette Walls;,SCORCHED EARTH;by Michael Savage;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE BOOK OF MYSTERIES;by Jonathan Cahn;,BEING MORTAL;by Atul Gawande;,BELIEVING IN MAGIC;by Cookie Johnson with Denene Millner;,HOW TO READ WATER;by Tristan Gooley;
5,AN OBVIOUS FACT;by Craig Johnson;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;9 weeks on the list,MILK AND HONEY;by Rupi Kaur;23 weeks on the list,,,HILLBILLY ELEGY;by J.D. Vance;8 weeks on the list,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;New this week,I'M JUDGING YOU;by Luvvie Ajayi;New this week,HILLBILLY ELEGY;by J.D. Vance;8 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;99 weeks on the list,FIGHT CLUB 2;by Chuck Palahniuk and Cameron Stewart;12 weeks on the list,PERSEPOLIS;by Marjane Satrapi;78 weeks on the list,"TOKYO GHOUL, VOL. 8;by Sui Ishida;5 weeks on the list",THE COPPER GAUNTLET;by Holly Black and Cassandra Clare;5 weeks on the list,THE LITTLEST BIGFOOT;by Jennifer Weiner;New this week,I AM MALALA;by Malala Yousafzai with Patricia McCormick;13 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;52 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;392 weeks on the list,SNOW LIKE ASHES;by Sara Raasch;3 weeks on the list,THE READER;by Traci Chee;New this week,NERVE;by Jeanne Ryan;10 weeks on the list,DOG MEDICINE;by Julie Barton;,SHOE DOG;by Phil Knight;,IT'S NOT OKAY;by Andi Dorfman;,BLOOD IN THE WATER;by Heather Ann Thompson;,M TRAIN;by Patti Smith;,WEAPONS OF MATH DESTRUCTION;by Cathy O'Neil;,100 DEADLY SKILLS;by Clint Emerson;,DEAD WAKE;by Erik Larson;,PEACOCK AND VINE;by A. S. Byatt;,THE SEASONED LIFE;by Ayesha Curry;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;","EAT FAT, GET THIN;by Mark Hyman;",I'M JUDGING YOU;by Luvvie Ajayi;,IT'S NOT OKAY;by Andi Dorfman;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,UNHOLY ALLIANCE;by Jay Sekulow;,HIDDEN FIGURES;by Margot Lee Shetterly;,UNBROKEN;by Laura Hillenbrand;,THE WRIGHT BROTHERS;by David McCullough;
6,APPRENTICE IN DEATH;by J. D. Robb;2 weeks on the list,AN OBVIOUS FACT;by Craig Johnson;New this week,SEE ME;by Nicholas Sparks;7 weeks on the list,,,SCORCHED EARTH;by Michael Savage;New this week,HILLBILLY ELEGY;by J.D. Vance;8 weeks on the list,THE ROAD TO CHARACTER;by David Brooks;New this week,IN SUCH GOOD COMPANY;by Carol Burnett;New this week,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;New this week,"BATMAN/TEENAGE MUTANT NINJA TURTLES, VOL. 1;by James Tynion IV and Freddie Williams II;4 weeks on the list","SPIDER-MAN/DEADPOOL, VOL. 1;by Joe Kelly and Ed McGuinness;New this week","HAIKYU!!, VOL. 3;by Haruichi Furudate;2 weeks on the list",,PAX;Sara Pennypacker. Illustrated by Jon Klassen;30 weeks on the list,FLORA AND ULYSSES;by Kate DiCamillo. Illustrated by K. G. Campbell;28 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;135 weeks on the list,GIVER QUARTET;by Lois Lowry;131 weeks on the list,,SIX OF CROWS;by Leigh Bardugo;40 weeks on the list,RED QUEEN;by Victoria Aveyard;15 weeks on the list,NO BETTER FRIEND;by Robert Weintraub;,OUTLIERS;by Malcolm Gladwell;,AMERICAN HEIRESS;by Jeffrey Toobin;,WRITING MY WRONGS;by Shaka Senghor;,TRIBE;by Sebastian Junger;,NEUROTRIBES;by Steve Silberman;,THE BILLION DOLLAR SPY;by David E. Hoffman;,THE WRIGHT BROTHERS;by David McCullough;,THE RESIDENCE;by Kate Andersen Brower;,CRAVINGS;by Chrissy Teigen with Adeena Sussman;,ZENDOODLE COLORING: UPLIFTING INSPIRATIONS;illustrated by Justine Lustig;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,BASED ON A TRUE STORY;by Norm Macdonald;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,ARMAGEDDON;by Dick Morris and Eileen McGann;,MARCH: BOOK TWO;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,NO GOD BUT ONE - ALLAH OR JESUS?;by Nabeel Qureshi;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,HEAD BALL COACH;by Steve Spurrier with Buddy Martin;,BARBARIAN DAYS;by William Finnegan;
7,A MAN CALLED OVE;by Fredrik Backman;17 weeks on the list,NUTSHELL;by Ian McEwan;New this week,AFTER YOU;by Jojo Moyes;9 weeks on the list,,,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;New this week,BETWEEN BREATHS;by Elizabeth Vargas;New this week,THE NEW JIM CROW;by Michelle Alexander;128 weeks on the list,SCORCHED EARTH;by Michael Savage;New this week,TOGETHER IS BETTER;by Simon Sinek;New this week,"HOW TO TALK TO GIRLS AT PARTIES;by Neil Gaiman, Fábio Moon and Gabriel Bá;11 weeks on the list",FUN HOME;by Alison Bechdel;49 weeks on the list,"ONE-PUNCH MAN, VOL. 2;by ONE and Yusuke Murata;25 weeks on the list",,THE ANSWER;by Rebecca Sugar. llustrated by Elle Michalka and Tiffany Ford;New this week,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;14 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;73 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;405 weeks on the list,,GIRL IN PIECES;by Kathleen Glasgow;2 weeks on the list,WE ALL LOOKED UP;by Tommy Wallach;3 weeks on the list,THE SOUND OF A WILD SNAIL EATING;by Elisabeth Tova Bailey;,TOGETHER IS BETTER;by Simon Sinek;,BASED ON A TRUE STORY;by Norm Macdonald;,FORENSICS;by Val McDermid;,PUSSY;by Regena Thomashauer;,SUBSTITUTE;by Nicholson Baker;,THE DEVIL'S CHESSBOARD;by David Talbot;,BARBARIAN DAYS;by William Finnegan;,NOW I SIT ME DOWN;by Witold Rybczynski;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,LOST OCEAN;illustrated by Johanna Basford;,HOW NOT TO DIE;by Michael Greger with Gene Stone;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;",THE EXPECTANT FATHER;by Armin A. Brott and Jennifer Ash;,THE UPSIDE OF INEQUALITY;by Edward Conard;,MARCH: BOOK THREE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,INNER ENGINEERING;by Sadhguru;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BARBARIAN DAYS;by William Finnegan;,THE OREGON TRAIL;by Rinker Buck;
8,WELL HUNG;by Lauren Blakely;New this week,APPRENTICE IN DEATH;by J. D. Robb;2 weeks on the list,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;22 weeks on the list,,,IN SUCH GOOD COMPANY;by Carol Burnett;New this week,THE UPSIDE OF INEQUALITY;by Edward Conard;New this week,SPQR;by Mary Beard;2 weeks on the list,FORWARD;by Abby Wambach;New this week,YUGE!;by G. B. Trudeau;4 weeks on the list,NATHAN HALE’S HAZARDOUS TALES: ALAMO ALL–STARS;by Nathan Hale;23 weeks on the list,SISTERS;by Raina Telgemeier;100 weeks on the list,"TOKYO GHOUL, VOL. 2;by Sui Ishida;38 weeks on the list",,FISH IN A TREE;by Lynda Mullaly Hunt;25 weeks on the list,THE BFG;by Roald Dahl. Illustrated by Quentin Blake;15 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;10 weeks on the list,I SURVIVED;by Lauren Tarshis;21 weeks on the list,,LADY MIDNIGHT;by Cassandra Clare;28 weeks on the list,AN EMBER IN THE ASHES;by Sabaa Tahir;3 weeks on the list,VOICES IN THE OCEAN;by Susan Casey;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",M TRAIN;by Patti Smith;,DREAMLAND;by Sam Quinones;,THE SIX;by Laura Thompson;,THE GIFT OF FAILURE;by Jessica Lahey;,PLAYING TO THE EDGE;by Michael V. Hayden;,THE OREGON TRAIL;by Rinker Buck;,A FIELD GUIDE TO REDHEADS;written and illustrated by Elizabeth Graeber;,A PERFECT SCORE;by Kathryn Hall and Craig Hall;,HARRY POTTER MAGICAL PLACES AND CHARACTERS COLORING BOOK;by various illustrators;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,BOSSYPANTS;by Tina Fey;,TRIBE;by Sebastian Junger;,ON BECOMING BABYWISE;by Gary Ezzo and Robert Buckram;,CRISIS OF CHARACTER;by Gary J. Byrne with Grant M. Schmidt;,THE OTHER WES MOORE;by Wes Moore;,THE 37TH PARALLEL;by Ben Mezrich;,THE POWER OF HABIT;by Charles Duhigg;,WRITINGS ON THE WALL;by Kareem Abdul-Jabbar and Raymond Obstfeld;,WILD;by Cheryl Strayed;
9,RAZOR GIRL;by Carl Hiaasen;2 weeks on the list,HERE I AM;by Jonathan Safran Foer;2 weeks on the list,"IN A DARK, DARK WOOD;by Ruth Ware;17 weeks on the list",,,THE UPSIDE OF INEQUALITY;by Edward Conard;New this week,IN SUCH GOOD COMPANY;by Carol Burnett;New this week,M TRAIN;by Patti Smith;New this week,WHEN BREATH BECOMES AIR;by Paul Kalanithi;36 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;58 weeks on the list,SNOW WHITE;by Matt Phelan;New this week,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;63 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;123 weeks on the list",,THE LAST KIDS ON EARTH AND THE ZOMBIE PARADE;by Max Brallier. Illustrated by Douglas Holgate;2 weeks on the list,SERAFINA AND THE BLACK CLOAK;by Robert Beatty;10 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;102 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;122 weeks on the list,,A COURT OF MIST AND FURY;by Sarah J. Maas;20 weeks on the list,LOOKING FOR ALASKA;by John Green;58 weeks on the list,THE HIDDEN LIVES OF OWLS;by Leigh Calvez;,A PERFECT SCORE;by Kathryn Hall and Craig Hall;,BOSSYPANTS;by Tina Fey;,SISTERS IN LAW;by Linda Hirshman;,MY LIFE ON THE ROAD;by Gloria Steinem;,THE MAGIC OF MATH;by Arthur Benjamin;,THE INFILTRATOR;by Robert Mazur;,WILD;by Cheryl Strayed;,EMPIRE OF COTTON;by Sven Beckert;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;,GUINNESS WORLD RECORDS GAMER'S EDITION 2017;by Guinness World Records with contributions by Ali-A;,MEDICAL MEDIUM;by Anthony William;,SICK IN THE HEAD;by Judd Apatow;,PUSSY;by Regena Thomashauer;,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,JUST MERCY;by Bryan Stevenson;,CITIZEN;by Claudia Rankine;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,QUIET;by Susan Cain;,THE QUEEN OF KATWE;by Tim Crothers;,PANCAKES IN PARIS;by Craig Carlson;
10,THE UNDERGROUND RAILROAD;by Colson Whitehead;7 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;2 weeks on the list,FATES AND FURIES;by Lauren Groff;New this week,,,FORWARD;by Abby Wambach;New this week,FORWARD;by Abby Wambach;New this week,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;14 weeks on the list,GOOD VIBRATIONS;by Mike Love;New this week,PRESENT OVER PERFECT;by Shauna Niequist;6 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;18 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;58 weeks on the list,"SERAPH OF THE END, VOL. 10;by Takaya Kagami and Yamato Yamamoto;2 weeks on the list",,RAYMIE NIGHTINGALE;by Kate DiCamillo;9 weeks on the list,THE FOURTEENTH GOLDFISH;by Jennifer L. Holm;10 weeks on the list,THE THANK YOU BOOK;by Mo Willems;20 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;24 weeks on the list,,ELEANOR AND PARK;by Rainbow Rowell;45 weeks on the list,THE CABIN;by Natasha Preston;New this week,SAD ANIMAL FACTS;written and illustrated by Brooke Barker;,THE POWER OF HABIT;by Charles Duhigg;,SICK IN THE HEAD;by Judd Apatow;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,TV (THE BOOK);by Alan Sepinwall and Matt Zoller Seitz;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,ISAAC'S STORM;by Erik Larson;,A (BRIEF) HISTORY OF VICE;by Robert Evans;,THE FOOD LAB;by J. Kenji Lopez-Alt;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler;,INNER ENGINEERING;by Sadhguru;,IT GETS WORSE;by Shane Dawson;,CITIZEN;by Claudia Rankine;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THE NEW JIM CROW;by Michelle Alexander;,WRITINGS ON THE WALL;by Kareem Abdul-Jabbar and Raymond Obstfeld;,THE UNTETHERED SOUL;by Michael A. Singer;,HOW TO READ WATER;by Tristan Gooley;,FIND A WAY;by Diana Nyad;,WHEN IN FRENCH;by Lauren Collins;
