,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,THE GIRL ON THE TRAIN;by Paula Hawkins;22 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;22 weeks on the list,THE MARTIAN;by Andy Weir;33 weeks on the list,,,THE WRIGHT BROTHERS;by David McCullough;6 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;6 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;55 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;73 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;33 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;158 weeks on the list,DRAMA;by Raina Telgemeier;98 weeks on the list,"NARUTO, VOL. 70;by Masashi Kishimoto;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,YOUR BABY'S FIRST WORD WILL BE DADA;by Jimmy Fallon. Illustrated by Miguel Ordóñez;New this week,DORK DIARIES;by Rachel Renée Russell;126 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,H IS FOR HAWK;by Helen Macdonald;,ELON MUSK;by Ashlee Vance;,THE BOOK OF JOAN;by Melissa Rivers;,HOPE;by Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan;,PIONEER GIRL;by Laura Ingalls Wilder;,MISSOULA;by Jon Krakauer;,THE GREAT WAR OF OUR TIME;by Michael Morell with Bill Harlow;,THE WRIGHT BROTHERS;by David McCullough;,THE RESIDENCE;by Kate Andersen Brower;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,ENCHANTED FOREST;illustrated by Johanna Basford;,BEING MORTAL;by Atul Gawande;,THE BOOK OF JOAN;by Melissa Rivers;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,MISSOULA;by Jon Krakauer;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,AND THE GOOD NEWS IS ...;by Dana Perino;,THE NEW JIM CROW;by Michelle Alexander;,THE ROAD TO CHARACTER;by David Brooks;,THE WRIGHT BROTHERS;by David McCullough;,THE BOYS IN THE BOAT;by Daniel James Brown;,WILD;by Cheryl Strayed;
2,THE MARTIAN;by Andy Weir;3 weeks on the list,FINDERS KEEPERS;by Stephen King;2 weeks on the list,THE GOLDFINCH;by Donna Tartt;10 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;56 weeks on the list,PRIMATES OF PARK AVENUE;by Wednesday Martin;2 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;2 weeks on the list,ON GOLD MOUNTAIN;by Lisa See;2 weeks on the list,THE 22-DAY REVOLUTION;by Marco Borges;3 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;58 weeks on the list,SMILE;by Raina Telgemeier;157 weeks on the list,"DEADMAN WONDERLAND, VOL. 9;by Jinsei Katoka and Kazuma Kondou;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;103 weeks on the list,THE MAZE RUNNER;by James Dashner;140 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,NO BETTER FRIEND;by Robert Weintraub;,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;",IT'S A LONG STORY;by Willie Nelson with David Ritz;,MISSOULA;by Jon Krakauer;,HOLD STILL;by Sally Mann;,VERY GOOD LIVES;by J. K. Rowling;,ALAN TURING: THE ENIGMA;by Andrew Hodges;,DEAD WAKE;by Erik Larson;,MY PARIS DREAM;by Kate Betts;,BRAIN MAKER;by David Perlmutter with Kristin Loberg;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,GODDESSES NEVER AGE;by Christiane Northrup;,YES PLEASE;by Amy Poehler;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,H IS FOR HAWK;by Helen Macdonald;,CLINTON CASH;by Peter Schweizer;,JUST MERCY;by Bryan Stevenson;,JESUS CALLING;by Sarah Young;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;,A WALK IN THE WOODS;by Bill Bryson;
3,FINDERS KEEPERS;by Stephen King;2 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;58 weeks on the list,THE ALCHEMIST;by Paulo Coelho;358 weeks on the list,,,PRIMATES OF PARK AVENUE;by Wednesday Martin;2 weeks on the list,BILL O'REILLY'S LEGENDS AND LIES;by David Fisher;10 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;84 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;6 weeks on the list,TRIGGERS;by Marshall Goldsmith and Mark Reiter;3 weeks on the list,NATHAN HALE’S HAZARDOUS TALES: THE UNDERGROUND ABDUCTOR;by Nathan Hale;8 weeks on the list,FUN HOME;by Alison Bechdel;28 weeks on the list,"FAIRY TAIL, VOL. 48;by Hiro Mashima;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;37 weeks on the list,THE SELECTION;by Kiera Cass;43 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,WHEN TO ROB A BANK;by Steven D. Levitt and Stephen J. Dubner;,LUCKY LIFE INTERRUPTED;by Tom Brokaw;,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;,BETWEEN YOU & ME;by Mary Norris;,BETWEEN YOU & ME;by Mary Norris;,RED NOTICE;by Bill Browder;,INTO THE WILD;by Jon Krakauer;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,PLAYER'S HANDBOOK;by Wizards RPG Team;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,BOSSYPANTS;by Tina Fey;,BORN TO RUN;by Christopher McDougall;,H IS FOR HAWK;by Helen Macdonald;,LIFE IS SHORT (NO PUN INTENDED);by Jennifer Arnold and Bill Klein;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,BATTLEFIELD AMERICA;by John W. Whitehead;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,ON THE MOVE;by Oliver Sacks;,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,HUMANS OF NEW YORK;by Brandon Stanton;
4,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;39 weeks on the list,IN THE UNLIKELY EVENT;by Judy Blume;2 weeks on the list,STATION ELEVEN;by Emily St. John Mandel;2 weeks on the list,,,DEAD WAKE;by Erik Larson;14 weeks on the list,THE ROAD TO CHARACTER;by David Brooks;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;191 weeks on the list,PRIMATES OF PARK AVENUE;by Wednesday Martin;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;107 weeks on the list,THE SCULPTOR;by Scott McCloud;17 weeks on the list,EL DEAFO;by Cece Bell;31 weeks on the list,"ASSASSINATION CLASSROOM, VOL. 4;by Yusei Matsui;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;28 weeks on the list,HARRY POTTER;by J.K. Rowling;326 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE HOUSE OF OWLS;written and illustrated by Tony Angell;,OUTLIERS;by Malcolm Gladwell;,ON THE MOVE;by Oliver Sacks;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,THE LADY IN GOLD;by Anne-Marie O'Connor;,HOW TO READ LITERATURE LIKE A PROFESSOR;by Thomas C. Foster;,BATTLEFIELD AMERICA;by John W. Whitehead;,INTO AFRICA;by Martin Dugard;,HOW TO TIE A SCARF;by the staff of Potter Style;,THUG KITCHEN;by the staff of Thug Kitchen;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",TOX-SICK;by Suzanne Somers;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,SHORT NIGHTS OF THE SHADOW CATCHER;by Timothy Egan;,DARING GREATLY;by Brené Brown;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,UNBROKEN;by Laura Hillenbrand;,CITIZEN;by Claudia Rankine;,THE POWER OF NOW;by Eckhart Tolle;,ELON MUSK;by Ashlee Vance;,H IS FOR HAWK;by Helen Macdonald;,CARSICK;by John Waters;
5,DEAD ICE;by Laurell K. Hamilton;New this week,RADIANT ANGEL;by Nelson DeMille;3 weeks on the list,THE INVENTION OF WINGS;by Sue Monk Kidd;6 weeks on the list,,,THE ROAD TO CHARACTER;by David Brooks;9 weeks on the list,DEAD WAKE;by Erik Larson;14 weeks on the list,WILD;by Cheryl Strayed;116 weeks on the list,DEAD WAKE;by Erik Larson;14 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;8 weeks on the list,THE THRILLING ADVENTURES OF LOVELACE AND BABBAGE;by Sydney Padua;8 weeks on the list,"THE WALKING DEAD, VOL. 23;by Robert Kirkman and Charlie Adlard;5 weeks on the list","KAMISAMA KISS, VOL. 18;by Julietta Suzuki;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,I WILL TAKE A NAP!;by Mo Willems;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;327 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,THE POWER OF HABIT;by Charles Duhigg;,DEAL;by Bill Kreutzmann with Benjy Eisen;,ORANGE IS THE NEW BLACK;by Piper Kerman;,BAD FEMINIST;by Roxane Gay;,THE NAKED ROOMMATE;by Harlan Cohen;,DAYS OF RAGE;by Bryan Burrough;,ASTORIA;by Peter Stark;,MAKE UP;by Michelle Phan;,THE 22-DAY REVOLUTION;by Marco Borges;,MINECRAFT: REDSTONE HANDBOOK;by Nick Farwell. Edited by Jane Riordan and Stephanie Milton;,THE NURSES;by Alexandra Robbins;,I REGRET NOTHING;by Jen Lancaster;,THE LOST WORLD OF THE OLD ONES;by David Roberts;,LOVE DOES;by Bob Goff;,THE GLASS CASTLE;by Jeannette Walls;,THE RESIDENCE;by Kate Andersen Brower;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE UNTETHERED SOUL;by Michael A. Singer;,DAVID AND GOLIATH;by Malcolm Gladwell;,PEDRO;by Pedro Martinez and Michael Silverman;,COOL GRAY CITY OF LOVE;by Gary Kamiya;
6,IN THE UNLIKELY EVENT;by Judy Blume;2 weeks on the list,ALL THE SINGLE LADIES;by Dorothea Benton Frank;New this week,LEAVING TIME;by Jodi Picoult;7 weeks on the list,,,"ADIOS, AMERICA!;by Ann Coulter;2 weeks on the list",AND THE GOOD NEWS IS ...;by Dana Perino;8 weeks on the list,UNBROKEN;by Laura Hillenbrand;46 weeks on the list,HAPPILY ALI AFTER;by Ali Wentworth;New this week,BRAIN MAKER;by David Perlmutter with Kristin Loberg;7 weeks on the list,THANOS: THE INFINITY RELATIVITY;by Jim Starlin;2 weeks on the list,SISTERS;by Raina Telgemeier;43 weeks on the list,"FOOD WARS!, VOL. 6;by Yuto Tsukuda and Shun Saeki;2 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;73 weeks on the list,DIVERGENT;by Veronica Roth;86 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,A WOLF CALLED ROMEO;by Nick Jans;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,YES PLEASE;by Amy Poehler;,JUST MERCY;by Bryan Stevenson;,THE ARGONAUTS;by Maggie Nelson;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,IN THE KINGDOM OF ICE;by Hampton Sides;,CHARLOTTE MOSS: GARDEN INSPIRATIONS;by Charlotte Moss;,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",DO NO HARM;by Henry Marsh;,GUMPTION;by Nick Offerman;,ONE SPIRIT MEDICINE;by Alberto Villoldo;,IF YOU FEEL TOO MUCH;by Jamie Tworkowski;,A LETTER TO MY MOM;created by Lisa Erspamer;,THE QUARTET;by Joseph J. Ellis;,THE WORK;by Wes Moore;,BOUNDARIES;by Henry Cloud and John Townsend;,WHAT IF?;by Randall Munroe;,THE JOURNEY HOME;by Jorge Posada;,THE SHEPHERD'S LIFE;by James Rebanks;
7,RADIANT ANGEL;by Nelson DeMille;3 weeks on the list,DEAD ICE;by Laurell K. Hamilton;New this week,THE VACATIONERS;by Emma Straub;New this week,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;17 weeks on the list,"ADIOS, AMERICA!;by Ann Coulter;2 weeks on the list",THE GLASS CASTLE;by Jeannette Walls;363 weeks on the list,THE BILLIONAIRE'S VINEGAR;by Benjamin Wallace;2 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;33 weeks on the list,ROBERT MOSES: THE MASTER BUILDER OF NEW YORK CITY;by Pierre Christin and Olivier Balez;9 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;7 weeks on the list,"IS IT WRONG TO TRY TO PICK UP GIRLS IN A DUNGEON?, VOL. 1;by Fujino Omori and Kunieda;4 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PRESS HERE;by Hervé Tullet;196 weeks on the list,GIVER QUARTET;by Lois Lowry;84 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",A CURIOUS MIND;by Brian Grazer and Charles Fishman;,RED NOTICE;by Bill Browder;,THE MOCKINGBIRD NEXT DOOR;by Marja Mills;,HOW CHILDREN SUCCEED;by Paul Tough;,A SPY AMONG FRIENDS;by Ben Macintyre;,THE SEA WOLVES;by Lars Brownworth;,"WOMEN IN CLOTHES;by Sheila Heti, Heidi Julavits, Leanne Shapton & 639 Others;",IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,MONSTER MANUAL;by Wizards RPG Team;,GHOST BOY;Martin Pistorius with Megan Lloyd Davies;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,1491;by Charles C. Mann;,THE OPPOSITE OF LONELINESS;by Marina Keegan;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,THINGS THAT MATTER;by Charles Krauthammer;,WARRIORS DON'T CRY;by Melba Pattillo Beals;,THE BEST YES;by Lysa TerKeurst;,THE POWER OF HABIT;by Charles Duhigg;,THE A SWING;by David Leadbetter with Ron Kaspriske;,IN MONTMARTRE;by Sue Roe;
8,ALL THE SINGLE LADIES;by Dorothea Benton Frank;New this week,LUCKIEST GIRL ALIVE;by Jessica Knoll;5 weeks on the list,THE HUSBAND'S SECRET;by Liane Moriarty;15 weeks on the list,,,HAPPILY ALI AFTER;by Ali Wentworth;New this week,IT'S A LONG STORY;by Willie Nelson with David Ritz;6 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;88 weeks on the list",WILD;by Cheryl Strayed;146 weeks on the list,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;37 weeks on the list,"THOR: GODDESS OF THUNDER, VOL. 1;by Jason Aaron and Russell Dauterman;3 weeks on the list","LUMBERJANES, VOL. 1;by Noelle Stevenson, Grace Ellis and Brooke Allen;3 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;102 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;193 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;106 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,THE SHEPHERD'S LIFE;by James Rebanks;,"TEAM OF TEAMS;by Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell;",A WORK IN PROGRESS;by Connor Franta;,"AMISH CONFIDENTIAL;by ""Lebanon"" Levi Stoltzfus;",DUKE;by Terry Teachout;,OUR KIDS;by Robert D. Putnam;,GET THE TRUTH;by Philip Houston and Michael Floyd;,IN THE HEART OF THE SEA;by Nathaniel Philbrick;,EMPIRE OF COTTON;by Sven Beckert;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,POKEMON: ESSENTIAL HANDBOOK;by Cris Silvestri and the staff of Scholastic;,EAT TO LIVE;by Joel Fuhrman;,YOU DESERVE A DRINK;by Mamrie Hart;,BURY MY HEART AT WOUNDED KNEE;by Dee Brown;,THE LIGHT OF THE WORLD;by Elizabeth Alexander;,WALK TO BEAUTIFUL;by Jimmy Wayne with Ken Abraham;,THE GREAT WAR OF OUR TIME;by Michael Morell with Bill Harlow;,THE OTHER WES MOORE;by Wes Moore;,PROOF OF HEAVEN;by Eben Alexander;,THE NURSES;by Alexandra Robbins;,NATURAL BORN HEROES;by Christopher McDougall;,FOLLOWING ATTICUS;by  Tom Ryan;
9,LUCKIEST GIRL ALIVE;by Jessica Knoll;5 weeks on the list,MEMORY MAN;by David Baldacci;8 weeks on the list,EVERYTHING I NEVER TOLD YOU;by Celeste Ng;4 weeks on the list,,,BILL O'REILLY'S LEGENDS AND LIES;by David Fisher;10 weeks on the list,BEING MORTAL;by Atul Gawande;36 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;10 weeks on the list,TAB HUNTER CONFIDENTIAL;by Tab Hunter;New this week,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;14 weeks on the list","BATMAN: EARTH ONE, VOL. 2;by Geoff Johns and Gary Frank;5 weeks on the list",NIMONA;by Noelle Stevenson;5 weeks on the list,"BIG HERO 6, VOL. 1;by Haruki Ueno;12 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,HOW TO BABYSIT A GRANDPA;by Jean Reagan. Illustrated by Lee Wildish;4 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;363 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,FOLLOWING ATTICUS;by  Tom Ryan;,DEALING WITH CHINA;by Henry M. Paulson Jr.;,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,THE LOST GIRLS;by John Glatt;,THE DAEMON KNOWS;by Harold Bloom;,CREATIVE SCHOOLS;by Ken Robinson and Lou Aronica;,GOOD HUNTING;by Jack Devine with Vernon Loeb;,ISAAC'S STORM;by Erik Larson;,THE NEW BOHEMIANS;by Justina Blakeney;,THE 20/20 DIET;by Phil McGraw;,MARVEL ENCYCLOPEDIA;by Matt Forbeck;,THE BLUE ZONES SOLUTION;by Dan Buettner;,I HATE MYSELFIE;by Shane Dawson;,NATION TO NATION;edited by Suzan Shown Harjo;,TINY BEAUTIFUL THINGS;by Cheryl Strayed;,HOW CHILDREN SUCCEED;by Paul Tough;,KILLING PATTON;by Bill O'Reilly and Martin Dugard;,TWELVE YEARS A SLAVE;by Solomon Northup;,HIDING IN THE LIGHT;by Rifqa Bary;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",TY COBB;by Charles Leerhsen;,UGANDA BE KIDDING ME;by Chelsea Handler;
10,MEMORY MAN;by David Baldacci;8 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;19 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;95 weeks on the list,,,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;69 weeks on the list,ELON MUSK;by Ashlee Vance;4 weeks on the list,QUIET;by Susan Cain;110 weeks on the list,SLAYING THE TIGER;by Shane Ryan;New this week,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;34 weeks on the list,"NATHAN HALE'S HAZARDOUS TALES: TREATIES, TRENCHES, MUD, AND BLOOD;by Nathan Hale;16 weeks on the list",ROLLER GIRL;by Victoria Jamieson;9 weeks on the list,LEGEND OF ZELDA: A LINK TO THE PAST;by Shotaro Ishinomori;6 weeks on the list,WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;53 weeks on the list",THEODORE BOONE;by John Grisham;18 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,MONEY: MASTER THE GAME;by Tony Robbins;,PEDRO;by Pedro Martinez and Michael Silverman;,LYING IN WAIT;by Ann Rule;,THEY TOLD ME NOT TO TAKE THAT JOB;by Reynold Levy;,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;,AGENT GARBO;by Stephan Talty;,DEEP DOWN DARK;Héctor Tobar;,THE BERGDORF GOODMAN COOKBOOK;by Laura Silverman and Bergdorf Goodman Staff;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,OUTSIDE THE LINES;by Souris Hong-Porretta;,THE EMPEROR OF ALL MALADIES;by Siddhartha Mukherjee;,NOT THAT KIND OF GIRL;by Lena Dunham;,CODE TALKER;by Chester Nez with Judith Schiess Avila;,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,DARTH VADER AND SON;by Jeffrey Brown;,THE NEW JIM CROW;by Michelle Alexander;,A MIGHTY LONG WAY;by Carlotta Walls Lanier;,THE SPIRITUAL CHILD;by Lisa Miller;,DO NO HARM;by Henry Marsh;,EVERY DAY I FIGHT;by Stuart Scott with Larry Platt;,PICNIC IN PROVENCE;by Elizabeth Bard;
