,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,GONE GIRL;by Gillian Flynn;96 weeks on the list,EDGE OF ETERNITY;by Ken Follett;2 weeks on the list,GONE GIRL;by Gillian Flynn;23 weeks on the list,,,KILLING PATTON;by Bill O'Reilly and Martin Dugard;New this week,KILLING PATTON;by Bill O'Reilly and Martin Dugard;New this week,UNBROKEN;by Laura Hillenbrand;9 weeks on the list,KILLING PATTON;by Bill O'Reilly and Martin Dugard;New this week,ZERO TO ONE;by Peter Thiel with Blake Masters;2 weeks on the list,KICK-ASS 3;by Mark Millar and John Romita Jr.;2 weeks on the list,SISTERS;by Raina Telgemeier;6 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;68 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;66 weeks on the list,THE MAZE RUNNER;by James Dashner;103 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,THE DOG LIVED (AND SO WILL I);by Teresa J. Rhyne;,ZERO TO ONE;by Peter Thiel with Blake Masters;,STILL FOOLIN' 'EM;by Billy Crystal;,ORANGE IS THE NEW BLACK;by Piper Kerman;,BAD FEMINIST;by Roxane Gay;,THE ORGANIZED MIND;by Daniel J. Levitin;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",100 DAYS OF REAL FOOD;by Lisa Leake;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",SMOKE GETS IN YOUR EYES;by Caitlin Doughty;,DIARY OF A MAD DIVA;by Joan Rivers;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,KILLING PATTON;by Bill O'Reilly and Martin Dugard;,WHAT I KNOW FOR SURE;by Oprah Winfrey;,WHAT IF?;by Randall Munroe;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
2,EDGE OF ETERNITY;by Ken Follett;2 weeks on the list,PERSONAL;by Lee Child;4 weeks on the list,THE ALCHEMIST;by Paulo Coelho;323 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;19 weeks on the list,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;3 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;18 weeks on the list,THE THREE ROOSEVELTS;by James MacGregor Burns and Susan Dunn;New this week,THE ALL-DAY ENERGY DIET;by Yuri Elkaim;New this week,SUGAR SKULL;by Charles Burns;2 weeks on the list,SMILE;by Raina Telgemeier;120 weeks on the list,"ONE PIECE, VOL. 72;by Eiichiro Oda;3 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,GUS & ME;by Keith Richards with Barnaby Harris and Bill Shapiro. Illustrated by Theodora Richards;3 weeks on the list,DIVERGENT;by Veronica Roth;49 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ANIMAL WISE;by Virginia Morell;,OUTLIERS;by Malcolm Gladwell;,ELVIS AND GINGER;by Ginger Alden;,MANSON;by Jeff Guinn;,COSBY: HIS LIFE AND TIMES;by Mark Whitaker;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,FLEA MARKET FABULOUS;by Lara Spencer;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,PLAYER'S HANDBOOK;by Wizards RPG Team;,THE HOT ZONE;by Richard Preston;,STILL FOOLIN' 'EM;by Billy Crystal;,AN INVISIBLE THREAD;by Laura L. Schroff;,THE CONSCIOUS PARENT;by Shefali Tsabary;,UNBROKEN;by Laura Hillenbrand;,THE MYSTERY OF THE SHEMITAH;by Jonathan Cahn;,IN THE KINGDOM OF ICE;by Hampton Sides;,THE BOYS IN THE BOAT;by Daniel James Brown;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;"
3,PERSONAL;by Lee Child;4 weeks on the list,SOMEWHERE SAFE WITH SOMEBODY GOOD;by Jan Karon;4 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;58 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;172 weeks on the list,WHAT IF?;by Randall Munroe;4 weeks on the list,WILD;by Cheryl Strayed;79 weeks on the list,ESCAPE;by Carolyn Jessop;New this week,"ACT LIKE A SUCCESS, THINK LIKE A SUCCESS;by Steve Harvey;3 weeks on the list","JUSTICE LEAGUE, VOL. 5;by Geoff Johns, Ivan Reis and Doug Mahnke;2 weeks on the list","AMULET, VOL. 6;by Kazu Kibuishi;6 weeks on the list","SOUL EATER, VOL. 22;by Atsushi Ohkubo;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;156 weeks on the list",GIVER QUARTET;by Lois Lowry;58 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,"PAW PRINTS IN OMAN: DOGS, MOGS AND ME;by Charlotte Smith;",THIS CHANGES EVERYTHING;by Naomi Klein;,BOSSYPANTS;by Tina Fey;,MY BELOVED WORLD;by Sonia Sotomayor;,CAPOTE;by Gerald Clarke;,DATACLYSM;by Christian Rudder;,"WOMEN IN CLOTHES;by Sheila Heti, Heidi Julavits, Leanne Shapton & 639 Others;",THE ALL-DAY ENERGY DIET;by Yuri Elkaim;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,THE DOG LIVED (AND SO WILL I);by Teresa J. Rhyne;,I HATE EVERYONE...STARTING WITH ME;by Joan Rivers;,DARING GREATLY;by Brené Brown;,THE GLASS CASTLE;by Jeannette Walls;,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;,JESUS ON TRIAL;by David Limbaugh;,QUIET;by Susan Cain;,THE TERRIBLE AND WONDERFUL REASONS WHY I RUN LONG DISTANCES;by The Oatmeal;,TALES OF A FEMALE NOMAD;by Rita Golden Gelman;
4,THE BEST OF ME;by Nicholas Sparks;4 weeks on the list,BONES NEVER LIE;by Kathy Reichs;New this week,THE BEST OF ME;by Nicholas Sparks;31 weeks on the list,,,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;3 weeks on the list,WORLD ORDER;by Henry Kissinger;3 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;38 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;36 weeks on the list,ONE POT;by the editors of Martha Stewart Living;New this week,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;21 weeks on the list,DRAMA;by Raina Telgemeier;63 weeks on the list,"ATTACK ON TITAN, VOL. 13;by Hajime Isayama;5 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,HORTON AND THE KWUGGERBUG AND MORE LOST STORIES;by Dr. Seuss;3 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;54 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",COSBY: HIS LIFE AND TIMES;by Mark Whitaker;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,GENGHIS KHAN AND THE MAKING OF THE MODERN WORLD;by Jack Weatherford;,THE TEACHER WARS;by Dana Goldstein;,TOSS THE GLOSS;by Andrea Q. Robinson and Chesley McLaren;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,HACKS FOR MINECRAFTERS;by Megan Miller;,UNHOOKED;by Frederick Woolverton and Susan Shapiro;,BOSSYPANTS;by Tina Fey;,TALES OF A FEMALE NOMAD;by Rita Golden Gelman;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,WORLD ORDER;by Henry Kissinger;,THE BEST YES;by Lysa TerKeurst;,THIS CHANGES EVERYTHING;by Naomi Klein;,BUSHCRAFT 101;by Dave Canterbury;,THE ULTIMATE SURVIVAL GUIDE;by Chris McNab;
5,OUTLANDER;by Diana Gabaldon;9 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;21 weeks on the list,THE TARGET;by David Baldacci;2 weeks on the list,,,THE THREE ROOSEVELTS;by James MacGregor Burns and Susan Dunn;New this week,JESUS ON TRIAL;by David Limbaugh;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;202 weeks on the list,UNBROKEN;by Laura Hillenbrand;191 weeks on the list,THE MYSTERY OF THE SHEMITAH;by Jonathan Cahn;4 weeks on the list,"THE WALKING DEAD, BOOK 10;by Robert Kirkman and Charlie Adlard;3 weeks on the list",PERSEPOLIS;by Marjane Satrapi;40 weeks on the list,"SPICE AND WOLF, VOL. 9;by Isuna Hasekura and Keito Koume;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,MIX IT UP!;by Hervé Tullet;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;290 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,DOGS I HAVE MET AND THE PEOPLE THEY FOUND;by Ken Foster;,THE POWER OF HABIT;by Charles Duhigg;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,LAW OF THE JUNGLE;by Paul M. Barrett;,GEEK SUBLIME;by Vikram Chandra;,HOW CHILDREN SUCCEED;by Paul Tough;,THE BEAUTY DETOX DIET;by the editors of Rockridge Press;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,POKEMON: ESSENTIAL HANDBOOK;by Cris Silvestri and the staff of Scholastic;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,BAD FEMINIST;by Roxane Gay;,HOW CHILDREN SUCCEED;by Paul Tough;,ONE NATION;by Ben Carson with Candy Carson;,UNPHILTERED;by Phil Robertson with Mark Schlabach;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBREAKABLE RUNNER;by T. J. Murphy and Brian MacKenzie;,THE IRON ROAD;by Christian Wolmar;
6,BONES NEVER LIE;by Kathy Reichs;New this week,THE BONE CLOCKS;by David Mitchell;4 weeks on the list,DARK PLACES;by Gillian Flynn;61 weeks on the list,,,WHAT IF?;by Randall Munroe;4 weeks on the list,THE ROOSEVELTS;by Geoffrey C. Ward and Ken Burns;3 weeks on the list,QUIET;by Susan Cain;86 weeks on the list,GENGHIS KHAN AND THE MAKING OF THE MODERN WORLD;by Jack Weatherford;New this week,WHAT I KNOW FOR SURE;by Oprah Winfrey;4 weeks on the list,SECONDS;by Bryan Lee O'Malley;11 weeks on the list,"GUARDIANS OF THE GALAXY: THE COMPLETE COLLECTION, VOL. 1;by Dan Abnett, Andy Lanning and others;3 weeks on the list","ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;13 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;159 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;24 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,UNDERWATER DOGS;by Seth Casteel;,THE ORGANIZED MIND;by Daniel J. Levitin;,WILD TALES;by Graham Nash;,I WEAR THE BLACK HAT;by Chuck Klosterman;,THE MOCKINGBIRD NEXT DOOR;by Marja Mills;,EXCELLENT SHEEP;by William Deresiewicz;,MEN ARE STUPID . . . AND THEY LIKE BIG BOOBS;by Joan Rivers;,ONE POT;by the editors of Martha Stewart Living;,,SLOW DANCING WITH A STRANGER;by Meryl Comer;,COSBY: HIS LIFE AND TIMES;by Mark Whitaker;,LOVE DOES;by Bob Goff;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,THIS CHANGES EVERYTHING;by Naomi Klein;,WAKING UP;by Sam Harris;,THE POWER OF HABIT;by Charles Duhigg;,THE COMPLETE NINJA;by Masaaki Hatsumi;,THE REPUBLIC OF PIRATES;by Colin Woodard;
7,DEACON;by Kristen Ashley;New this week,THE PAYING GUESTS;by Sarah Waters;2 weeks on the list,OUTLANDER;by Diana Gabaldon;8 weeks on the list,,,ESCAPE;by Carolyn Jessop;New this week,THIS CHANGES EVERYTHING;by Naomi Klein;2 weeks on the list,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;4 weeks on the list,CAPOTE;by Gerald Clarke;New this week,THE BEST YES;by Lysa TerKeurst;7 weeks on the list,FOREVER EVIL;by Geoff Johns and David Finch;3 weeks on the list,EL DEAFO;by Cece Bell;3 weeks on the list,"DURARARA!! YELLOW SCARVES ARC, VOL. 1;by Ryohgo Narita and Akiyo Satorigi;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,OTIS AND THE SCARECROW;by Loren Long;4 weeks on the list,MICHAEL VEY;by Richard Paul Evans;4 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,HOW GOOGLE WORKS;by Eric Schmidt and Jonathan Rosenberg;,PADDLE YOUR OWN CANOE;by Nick Offerman;,JUST MERCY;by Bryan Stevenson;,SO WE READ ON;by Maureen Corrigan;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,WORN STORIES;by Emily Spivack;,THE GRAIN BRAIN COOKBOOK;by David Perlmutter;,,DR. MUTTER'S MARVELS;by Cristin O'Keefe Aptowicz;,HYPERBOLE AND A HALF;by Allie Brosh;,THE PROMISE;by Rachelle Friedman;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,THE ROOSEVELTS;by Geoffrey C. Ward and Ken Burns;,AN INVISIBLE THREAD;by Laura L. Schroff;,THE ORGANIZED MIND;by Daniel J. Levitin;,WHEN THE GAME STANDS TALL;by Neil Hayes;,HUMANS OF NEW YORK;by Brandon Stanton;
8,BIG LITTLE LIES;by Liane Moriarty;9 weeks on the list,THE CHILDREN ACT;by Ian McEwan;3 weeks on the list,THIS IS WHERE I LEAVE YOU;by Jonathan Tropper;9 weeks on the list,,,JESUS ON TRIAL;by David Limbaugh;2 weeks on the list,A PATH APPEARS;by Nicholas Kristof and Sheryl WuDunn;New this week,ORANGE IS THE NEW BLACK;by Piper Kerman;60 weeks on the list,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;New this week,HOW GOOGLE WORKS;by Eric Schmidt and Jonathan Rosenberg;New this week,KILL MY MOTHER;by Jules Feiffer;6 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;39 weeks on the list,"NORAGAMI, VOL. 1;by Adachitoka;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;29 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;159 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,REALLY IMPORTANT STUFF MY DOG HAS TAUGHT ME;by Cynthia L. Copeland;,#GIRLBOSS;by Sophia Amoruso;,TIBETAN PEACH PIE;by Tom Robbins;,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;,TENNESSEE WILLIAMS;by John Lahr;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,VOGUE AND THE METROPOLITAN MUSEUM OF ART COSTUME INSTITUTE;by Hamish Bowles;,WHEAT BELLY TOTAL HEALTH;by Williams Davis;,,THE END OF BACK PAIN;by Patrick Roth;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,FIRE SHUT UP IN MY BONES;by Charles M. Blow;,NO-DRAMA DISCIPLINE;by Daniel J. Siegel and Tina Payne Bryson;,RISE OF ISIS;by Jay Sekulow with Jordan Sekulow and others;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,DATACLYSM;by Christian Rudder;,MY CONFERENCE CAN BEAT YOUR CONFERENCE;by Paul Finebaum and Gene Wojciechowski;,BUSHCRAFT 101;by Dave Canterbury;
9,DARKNESS;by Laurann Dohner;New this week,THE SECRET PLACE;by Tana French;4 weeks on the list,SHARP OBJECTS;by Gillian Flynn;24 weeks on the list,,,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;New this week,ONE NATION;by Ben Carson with Candy Carson;19 weeks on the list,STILL FOOLIN' 'EM;by Billy Crystal;New this week,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;3 weeks on the list,THE CONSCIOUS PARENT;by Shefali Tsabary;6 weeks on the list,SHOPLIFTER;by Michael Cho;3 weeks on the list,"SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;25 weeks on the list","YU-GI-OH! 5D'S, VOL. 6;by Masahiro Hikokubo and Masashi Sato;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;41 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;346 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,DARING: MY PASSAGES;by Gail Sheehy;,THE HILLSIDE STRANGLERS;by  Darcy O'Brien;,I WEAR THE BLACK HAT;by Chuck Klosterman;,THINKING IN NUMBERS;by Daniel Tammet;,CHAMPAGNE SUPERNOVAS;by Maureen Callahan;,DANIELLE WALKER'S AGAINST ALL GRAIN: MEALS MADE SIMPLE;by Danielle Walker;,,COCONUT OIL FOR BEGINNERS;by the editors of Rockridge Press;,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,THE NARCISSIST NEXT DOOR;by Jeffrey Kluger;,ALL JOY AND NO FUN;by Jennifer Senior;,AMERICA;by Dinesh D'Souza;,THE WAY OF SERENITY;by Jonathan Morris;,DAVID AND GOLIATH;by Malcolm Gladwell;,THE WISDOM OF FAITH;by Bobby Bowden with Steve Bowden;,UGANDA BE KIDDING ME;by Chelsea Handler;
10,MEAN STREAK;by Sandra Brown;5 weeks on the list,THE GOLDFINCH;by Donna Tartt;49 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;126 weeks on the list,,,WILD;by Cheryl Strayed;80 weeks on the list,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;New this week,OUTLIERS;by Malcolm Gladwell;173 weeks on the list,WILD;by Cheryl Strayed;114 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;77 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;15 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;40 weeks on the list","THE SEVEN DEADLY SINS, VOL. 4;by Nakaba Suzuki;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,LADYBUG GIRL AND THE DRESS-UP DILEMMA;by Jacky Davis. Illustrated by David Soman;5 weeks on the list,THE SELECTION;by Kiera Cass;18 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,A WOLF CALLED ROMEO;by Nick Jans;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,DEATH PUNCH'D;by Jeremy Spencer;,DEAL WITH THE DEVIL;by Peter Lance;,LIVE FROM NEW YORK;by Tom Shales and James Andrew Miller;,HOW WE LEARN;by Benedict Carey;,HOW TO TIE A SCARF;by the staff of Potter Style;,WHEAT BELLY;by William Davis;,,TOTAL RECOVERY;by Gary Kaplan;,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,"GROWING UP DUGGAR;by Jana, Jill, Jessa and Jinger Duggar;",OFF THE SIDELINES;by Kirsten Gillibrand with Elizabeth Weil;,ESCAPE;by Carolyn Jessop;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,THE CLOSER;by Mariano Rivera with Wayne Coffey;,CARSICK;by John Waters;
