,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,ALERT;by James Patterson and Michael Ledwidge;New this week,GO SET A WATCHMAN;by Harper Lee;4 weeks on the list,GREY;by E. L. James;8 weeks on the list,,,PLUNDER AND DECEIT;by Mark R. Levin;New this week,PLUNDER AND DECEIT;by Mark R. Levin;New this week,THE BOYS IN THE BOAT;by Daniel James Brown;63 weeks on the list,PLUNDER AND DECEIT;by Mark R. Levin;New this week,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;41 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;165 weeks on the list,DRAMA;by Raina Telgemeier;106 weeks on the list,"NARUTO, VOL. 71;by Masashi Kishimoto;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,WHAT PET SHOULD I GET?;by Dr. Seuss;2 weeks on the list,THE MAZE RUNNER;by James Dashner;148 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,H IS FOR HAWK;by Helen Macdonald;,,DOWN THE RABBIT HOLE;by Holly Madison;,ORANGE IS THE NEW BLACK;by Piper Kerman;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE BILLION DOLLAR SPY;by David E. Hoffman;,THE WRIGHT BROTHERS;by David McCullough;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,ENCHANTED FOREST;illustrated by Johanna Basford;,BEING MORTAL;by Atul Gawande;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,THE GLASS CASTLE;by Jeannette Walls;,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,JESUS CALLING;by Sarah Young;,THE WRIGHT BROTHERS;by David McCullough;,THE BOYS IN THE BOAT;by Daniel James Brown;,THE OREGON TRAIL;by Rinker Buck;
2,GO SET A WATCHMAN;by Harper Lee;4 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;30 weeks on the list,THE MARTIAN;by Andy Weir;41 weeks on the list,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;4 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;4 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;10 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;81 weeks on the list,SELP-HELF;by Miranda Sings;3 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;66 weeks on the list,FUN HOME;by Alison Bechdel;34 weeks on the list,"JOJO'S BIZARRE ADVENTURE: PHANTOM BLOOD, VOL. 3;by Hirohiko Araki;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;111 weeks on the list,HARRY POTTER;by J.K. Rowling;333 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,BEYOND WORDS;by Carl Safina;,,SICK IN THE HEAD;by Judd Apatow;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,THE MOCKINGBIRD NEXT DOOR;by Marja Mills;,HOW TO READ LITERATURE LIKE A PROFESSOR;by Thomas C. Foster;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",DEAD WAKE;by Erik Larson;,THE RESIDENCE;by Kate Andersen Brower;,THUG KITCHEN;by the staff of Thug Kitchen;,CREATIVE HAVEN CREATIVE CATS COLORING BOOK;Illustrated by Marjorie Sarnat;,BLACKOUT;by Sarah Hepola;,SELP-HELF;by Miranda Sings;,CHIEF JOSEPH & THE FLIGHT OF THE NEZ PERCE;by Kent Nerburn;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,,THE OTHER WES MOORE;by Wes Moore;,THE ROAD TO CHARACTER;by David Brooks;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
3,THE GIRL ON THE TRAIN;by Paula Hawkins;30 weeks on the list,ALERT;by James Patterson and Michael Ledwidge;New this week,THE ALCHEMIST;by Paulo Coelho;366 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;64 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;14 weeks on the list,OUTLIERS;by Malcolm Gladwell;199 weeks on the list,KENNEDY WIVES;by Amber Hunt and David Batcher;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;115 weeks on the list,IN SEARCH OF LOST TIME: SWANN'S WAY;by Marcel Proust. Adapted and illustrated by Stéphane Heuet. Translated by Arthur Goldhammer;5 weeks on the list,SMILE;by Raina Telgemeier;165 weeks on the list,"ONE PIECE, VOL. 75;by Eiichiro Oda;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;45 weeks on the list,DIVERGENT;by Veronica Roth;94 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,CLOSE TO SHORE;by Michael Capuzzo;,,LIFE IS SHORT (NO PUN INTENDED);by Jennifer Arnold and Bill Klein;,MISSOULA;by Jon Krakauer;,SAPIENS;by Yuval Noah Harari;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,OUR MAN IN CHARLESTON;by Christopher Dickey;,INTO THE WILD;by Jon Krakauer;,RED;by Jacky Colliss Harvey;,THE 20/20 DIET;by Phil McGraw;,CREATIVE HAVEN ART NOUVEAU ANIMAL DESIGNS COLORING BOOK;Illustrated by Marty Noble;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,SICK IN THE HEAD;by Judd Apatow;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,,THE NEW JIM CROW;by Michelle Alexander;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,ELON MUSK;by Ashlee Vance;,THE BEST TEAM MONEY CAN BUY;by Molly Knight;,BARBARIAN DAYS;by William Finnegan;
4,GREY;by E. L. James;8 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;66 weeks on the list,DARK PLACES;by Gillian Flynn;92 weeks on the list,,,THE WRIGHT BROTHERS;by David McCullough;14 weeks on the list,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;8 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;371 weeks on the list,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;8 weeks on the list,DESTINY;by T. D. Jakes;New this week,THE THRILLING ADVENTURES OF LOVELACE AND BABBAGE;by Sydney Padua;16 weeks on the list,PERSEPOLIS;by Marjane Satrapi;53 weeks on the list,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;201 weeks on the list",THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;9 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,JUST MERCY;by Bryan Stevenson;,THE SECRET HISTORY OF WONDER WOMAN;by Jill Lepore;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,A SPY AMONG FRIENDS;by Ben Macintyre;,THE ASTRONAUT WIVES CLUB;by Lily Koppel;,THE FRENCH BEAUTY SOLUTION;by Mathilde Thomas;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,PLAYER'S HANDBOOK;by Wizards RPG Team;,EAT TO LIVE;by Joel Fuhrman;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,BORN TO RUN;by Christopher McDougall;,H IS FOR HAWK;by Helen Macdonald;,THE ASTRONAUT WIVES CLUB;by Lily Koppel;,,JUST MERCY;by Bryan Stevenson;,THE POWER OF NOW;by Eckhart Tolle;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BARBARIAN DAYS;by William Finnegan;,PIRATE HUNTERS;by Robert Kurson;
5,THE MARTIAN;by Andy Weir;11 weeks on the list,CIRCLING THE SUN;by Paula McLain;2 weeks on the list,EVERYTHING I NEVER TOLD YOU;by Celeste Ng;10 weeks on the list,,,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;8 weeks on the list,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;New this week,A LONG WAY GONE;by Ishmael Beah;94 weeks on the list,UNDER MAGNOLIA;by Frances Mayes;New this week,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;16 weeks on the list,NATHAN HALE’S HAZARDOUS TALES: THE UNDERGROUND ABDUCTOR;by Nathan Hale;16 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: THE TRUTH ABOUT STACEY;by Ann M. Martin and Raina Telgemeier;2 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;8 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;81 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;369 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,,YES PLEASE;by Amy Poehler;,HOPE;by Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan;,ON WRITING;by Stephen King;,MISSOULA;by Jon Krakauer;,RED NOTICE;by Bill Browder;,BARBARIAN DAYS;by William Finnegan;,AUDREY AT HOME;by Luca Dotti;,BRAIN MAKER;by David Perlmutter with Kristin Loberg;,MONSTER MANUAL;by Wizards RPG Team;,GODDESSES NEVER AGE;by Christiane Northrup;,YES PLEASE;by Amy Poehler;,SHORT NIGHTS OF THE SHADOW CATCHER;by Timothy Egan;,DARING GREATLY;by Brené Brown;,LIFE IS SHORT (NO PUN INTENDED);by Jennifer Arnold and Bill Klein;,,HOW TO BE BLACK;by Baratunde Thurston;,BOUNDARIES;by Henry Cloud and John Townsend;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","IT'S GOOD TO BE GRONK;by Rob ""Gronk"" Gronkowski with Jason Rosenhaus;",A WALK IN THE WOODS;by Bill Bryson;
6,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;47 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;27 weeks on the list,THE HUSBAND'S SECRET;by Liane Moriarty;20 weeks on the list,,,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;New this week,BEING MORTAL;by Atul Gawande;44 weeks on the list,WILD;by Cheryl Strayed;123 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;4 weeks on the list,THE BLUE ZONES SOLUTION;by Dan Buettner;3 weeks on the list,THE GIGANTIC BEARD THAT WAS EVIL;by Stephen Collins;7 weeks on the list,SISTERS;by Raina Telgemeier;51 weeks on the list,"FAIRY TAIL, VOL. 49;by Hiro Mashima;2 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;204 weeks on the list,GIVER QUARTET;by Lois Lowry;89 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,,A WORK IN PROGRESS;by Connor Franta;,UNFAIR;by Adam Benforado;,BAD FEMINIST;by Roxane Gay;,THE OPPOSITE OF LONELINESS;by Marina Keegan;,THE GOOD SPY;by Kai Bird;,PIRATE HUNTERS;by Robert Kurson;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",FRANKLIN BARBECUE;by Aaron Franklin and Jordan Mackay;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,BOSSYPANTS;by Tina Fey;,1491;by Charles C. Mann;,LOVE DOES;by Bob Goff;,H IS FOR HAWK;by Helen Macdonald;,,UNFAIR;by Adam Benforado;,THE UNTETHERED SOUL;by Michael A. Singer;,DAVID AND GOLIATH;by Malcolm Gladwell;,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,HUMANS OF NEW YORK;by Brandon Stanton;
7,MAGIC SHIFTS;by Ilona Andrews;New this week,LUCKIEST GIRL ALIVE;by Jessica Knoll;13 weeks on the list,STATION ELEVEN;by Emily St. John Mandel;9 weeks on the list,,,DEAD WAKE;by Erik Larson;22 weeks on the list,DEAD WAKE;by Erik Larson;22 weeks on the list,UNBROKEN;by Laura Hillenbrand;54 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;14 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;41 weeks on the list,SECONDS;by Bryan Lee O'Malley;51 weeks on the list,BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;47 weeks on the list,"NO GAME NO LIFE, VOL. 2;by Yuu Kamiya;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;36 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;335 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE SHEPHERD'S LIFE;by James Rebanks;,,BOSSYPANTS;by Tina Fey;,THE MOST DANGEROUS ANIMAL OF ALL;by Gary L. Stewart with Susan Mustafa;,LIFE IN MOTION;by Misty Copeland;,A CHANCE IN THE WORLD;by Steve Pemberton;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,IN THE KINGDOM OF ICE;by Hampton Sides;,MY PARIS DREAM;by Kate Betts;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,POKEMON: ESSENTIAL HANDBOOK;by Cris Silvestri and the staff of Scholastic;,GUT;by Giulia Enders. Illustrations by Jill Enders;,STRAIGHT TO HELL;by John LeFevre;,BURY MY HEART AT WOUNDED KNEE;by Dee Brown;,MISSOULA;by Jon Krakauer;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,"THE GOOD, THE BAD, AND THE GRACE OF GOD;by Jep Robertson and Jessica Robertson with Susy Flory;",QUIET;by Susan Cain;,YES!;by Daniel Bryan and Craig Tello;,SKYFARING;by Mark Vanhoenacker;
8,DRAGONBANE;by Sherrilyn Kenyon;New this week,WIND/PINBALL;by Haruki Murakami;New this week,READY PLAYER ONE;by Ernest Cline;7 weeks on the list,,,DOWN THE RABBIT HOLE;by Holly Madison;7 weeks on the list,DOWN THE RABBIT HOLE;by Holly Madison;7 weeks on the list,A WALK IN THE WOODS;by Bill Bryson;93 weeks on the list,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;New this week,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;22 weeks on the list",HERE;by Richard McGuire;25 weeks on the list,"WYTCHES, VOL. 1;by Scott Snyder and Jock;4 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;110 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;61 weeks on the list",THE KANIN CHRONICLES;by Amanda Hocking;New this week,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,FOLLOWING ATTICUS;by  Tom Ryan;,,IT'S A LONG STORY;by Willie Nelson with David Ritz;,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;,PIONEER GIRL;by Laura Ingalls Wilder;,ON WRITING;by Stephen King;,A MAN CALLED INTREPID;by William Stevenson;,MIRACLE IN THE MINE;by Jose Henriquez;,RULES OF CIVILITY AND DECENT BEHAVIOR;by George Washington;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",THE EMPEROR OF ALL MALADIES;by Siddhartha Mukherjee;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,CODE TALKER;by Chester Nez with Judith Schiess Avila;,BAD FEMINIST;by Roxane Gay;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,,CITIZEN;by Claudia Rankine;,I DARED TO CALL HIM FATHER;by Bilquis Sheikh with Richard H. Schneider;,THE POWER OF HABIT;by Charles Duhigg;,BORN TO RUN;by Christopher McDougall;,CARSICK;by John Waters;
9,THE NIGHTINGALE;by Kristin Hannah;27 weeks on the list,THE ENGLISH SPY;by Daniel Silva;6 weeks on the list,THE GOLDFINCH;by Donna Tartt;18 weeks on the list,,,KENNEDY WIVES;by Amber Hunt and David Batcher;New this week,THE ROAD TO CHARACTER;by David Brooks;17 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;15 weeks on the list,DEAD WAKE;by Erik Larson;22 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;54 weeks on the list,THE SCULPTOR;by Scott McCloud;24 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;14 weeks on the list,"SERAPH OF THE END, VOL. 1;by Takaya Kagami and Yamato Yamamoto;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,I WILL TAKE A NAP!;by Mo Willems;9 weeks on the list,THE SELECTION;by Kiera Cass;51 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,UNLIKELY LOVES;by Jennifer Holland;,,I AM CHARLIE WILSON;by Charlie Wilson with Denene Millner;,RED NOTICE;by Bill Browder;,THE AMERICANS;Photographs by Robert Frank;,THANK YOU FOR ARGUING;by Jay Heinrichs;,ALAN TURING: THE ENIGMA;by Andrew Hodges;,ASTORIA;by Peter Stark;,HOW TO GET DRESSED;by Alison Freer;,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",DO NO HARM;by Henry Marsh;,DOES THIS BEACH MAKE ME LOOK FAT?;by Lisa Scottoline and Francesca Serritella;,CRAZY HORSE AND CUSTER;by Stephen Ambrose;,HOW TO LOVE;by Thich Nhat Hanh. Illustrated by Jason DeAntonis;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,,SOMETHING MUST BE DONE ABOUT PRINCE EDWARD COUNTY;by Kristen Green;,TRIUMPH;by Carolyn Jessop with Laura Palmer;,WHAT IF?;by Randall Munroe;,BEN HOGAN'S FIVE LESSONS;by Ben Hogan with Herbert Warren Wind; drawings by Anthony Ravielli;,UGANDA BE KIDDING ME;by Chelsea Handler;
10,LUCKIEST GIRL ALIVE;by Jessica Knoll;13 weeks on the list,DRAGONBANE;by Sherrilyn Kenyon;New this week,THE VACATIONERS;by Emma Straub;9 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;25 weeks on the list,SICK IN THE HEAD;by Judd Apatow;8 weeks on the list,THIS CHANGES EVERYTHING;by Naomi Klein;New this week,DOWN THE RABBIT HOLE;by Holly Madison;7 weeks on the list,YOU ARE A BADASS;by Jen Sincero;3 weeks on the list,"BONE, NO. 1 (TRIBUTE EDITION);by Jeff Smith;12 weeks on the list","BATMAN, VOL. 1;by Scott Snyder and Greg Capullo;7 weeks on the list","AKAME GA KILL!, VOL. 3;by Takahiro and Tetsuya Tashiro;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THE ADVENTURES OF BEEKLE;by Dan Santat;21 weeks on the list,DORK DIARIES;by Rachel Renée Russell;134 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,,THE MOCKINGBIRD NEXT DOOR;by Marja Mills;,EMPIRE OF SIN;by Gary Krist;,HOLD STILL;by Sally Mann;,LOST AT SCHOOL;by Ross W. Greene;,THE GREAT WAR OF OUR TIME;by Michael Morell with Bill Harlow;,CLOSE TO SHORE;by Michael Capuzzo;,MADEMOISELLE;by Rhonda K. Garelick;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,MINECRAFT: REDSTONE HANDBOOK;by Nick Farwell. Edited by Jane Riordan and Stephanie Milton;,STIR;by Jessica Fechtor;,TIM AND ERIC'S ZONE THEORY;by Tim Heidecker and Eric Wareheim;,THE LOST WORLD OF THE OLD ONES;by David Roberts;,THE ARGONAUTS;by Maggie Nelson;,HOW CHILDREN SUCCEED;by Paul Tough;,,WARRIORS DON'T CRY;by Melba Pattillo Beals;,THE LOST HISTORY OF CHRISTIANITY;by Philip Jenkins;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,YOGA GIRL;by Rachel Brathen;,AFRICAN LAUGHTER;by Doris Lessing;
