,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,A TIME FOR MERCY;by John Grisham;11 weeks on the list,A TIME FOR MERCY;by John Grisham;11 weeks on the list,HOME BODY;by Rupi Kaur;6 weeks on the list,A PROMISED LAND;by Barack Obama;6 weeks on the list,A PROMISED LAND;by Barack Obama;6 weeks on the list,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;23 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;56 weeks on the list",THE ICKABOG;by J.K. Rowling;7 weeks on the list,5 MORE SLEEPS 'TIL CHRISTMAS;by Jimmy Fallon. Illustrated by Rich Deas;9 weeks on the list,DOG MAN;by Dav Pilkey;174 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;152 weeks on the list,READY PLAYER TWO;by Ernest Cline;,A PROMISED LAND;by Barack Obama;,ATOMIC HABITS;by James Clear;,CAT KID COMIC CLUB;by Dav Pilkey;,MORAL COMPASS;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,THE VANISHING HALF;by Brit Bennett;30 weeks on the list,READY PLAYER TWO;by Ernest Cline;5 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;76 weeks on the list,GREENLIGHTS;by Matthew McConaughey;10 weeks on the list,GREENLIGHTS;by Matthew McConaughey;10 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;60 weeks on the list,MODERN COMFORT FOOD;by Ina Garten;12 weeks on the list,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;21 weeks on the list,THE CRAYONS' CHRISTMAS;by Drew Daywalt. Illustrated by Oliver Jeffers;18 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;615 weeks on the list,THE COUSINS;by Karen M. McManus;4 weeks on the list,THE GUEST LIST;by Lucy Foley;,GREENLIGHTS;by Matthew McConaughey;,PAPPYLAND;by Wright Thompson;,A WEALTH OF PIGEONS;by Steve Martin and Harry Bliss;,UNSOLVED;by James Patterson and David Ellis;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THEY BOTH DIE AT THE END;by Adam Silvera;
3,READY PLAYER TWO;by Ernest Cline;5 weeks on the list,THE VANISHING HALF;by Brit Bennett;30 weeks on the list,MILK AND HONEY;by Rupi Kaur;171 weeks on the list,BECOMING;by Michelle Obama;91 weeks on the list,BECOMING;by Michelle Obama;98 weeks on the list,THE TRUTHS WE HOLD;by Kamala Harris;14 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;31 weeks on the list",THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;89 weeks on the list,THE WORLD NEEDS WHO YOU WERE MADE TO BE;by Joanna Gaines. Illustrated by Julianna Swaney;7 weeks on the list,HARRY POTTER;by J.K. Rowling;614 weeks on the list,ESSENTIALLY CHARLI;by Charli D’Amelio;3 weeks on the list,THE VANISHING HALF;by Brit Bennett;,CASTE;by Isabel Wilkerson;,TEN LESSONS FOR A POST-PANDEMIC WORLD;by Fareed Zakaria;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",THE DUKE AND I;by Julia Quinn;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,THE BOOK THIEF;by Markus Zusak;
4,DEADLY CROSS;by James Patterson;5 weeks on the list,THE RETURN;by Nicholas Sparks;13 weeks on the list,THE QUEEN'S GAMBIT;by Walter Tevis;7 weeks on the list,UNTAMED;by Glennon Doyle;42 weeks on the list,UNTAMED;by Glennon Doyle;42 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;114 weeks on the list,ATOMIC HABITS;by James Clear;57 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;34 weeks on the list,CONSTRUCTION SITE ON CHRISTMAS NIGHT;by Sherri Duskey Rinker. Illustrated by A. G. Ford;24 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;247 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE SHADOW OF KYOSHI;by F.C. Yee;6 weeks on the list",RHYTHM OF WAR;by Brandon Sanderson;,UNTAMED;by Glennon Doyle;,DARE TO LEAD;by Brené Brown;,GUTS;by Raina Telgemeier;,TEXAS KILL OF THE MOUNTAIN MAN;by William W. Johnstone and J.A. Johnstone;,WISH;by Barbara O'Connor;,SIX OF CROWS;by Leigh Bardugo;
5,THE RETURN;by Nicholas Sparks;13 weeks on the list,DEADLY CROSS;by James Patterson;5 weeks on the list,THE BLUEST EYE;by Toni Morrison;11 weeks on the list,CASTE;by Isabel Wilkerson;21 weeks on the list,WORLD OF WONDERS;by Aimee Nezhukumatathil;3 weeks on the list,SAPIENS;by Yuval Noah Harari;124 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;41 weeks on the list,BECOMING MUHAMMAD ALI;by James Patterson and Kwame Alexander;12 weeks on the list,THE OFFICE: A DAY AT DUNDER MIFFLIN ELEMENTARY;by Robb Pearlman. Illustrated by Melanie Demmer;13 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;260 weeks on the list,THE HATE U GIVE;by Angie Thomas;200 weeks on the list,BRUSHFIRE;by Craig Alanson;,BECOMING;by Michelle Obama;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","MY HERO ACADEMIA, VOL. 2;by Kohei Horikoshi;",THE RIVER MURDERS;by James Patterson and James O. Born;,A LONG WALK TO WATER;by Linda Sue Park;,FIVE TOTAL STRANGERS;by Natalie D. Richards;
6,THE GUEST LIST;by Lucy Foley;20 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;121 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;79 weeks on the list,WORLD OF WONDERS;by Aimee Nezhukumatathil;3 weeks on the list,CASTE;by Isabel Wilkerson;21 weeks on the list,BORN A CRIME;by Trevor Noah;98 weeks on the list,STUFF YOU SHOULD KNOW;by Josh Clark and Chuck Bryant with Nils Parker;5 weeks on the list,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;36 weeks on the list,HOW TO CATCH A UNICORN;by Adam Wallace. Illustrated by Andy Elkerton;27 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;55 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE RISE OF KYOSHI;by F.C. Yee with Michael Dante DiMartino;10 weeks on the list",THE MIDNIGHT LIBRARY;by Matt Haig;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,STRANGE PLANET;by Nathan W. Pyle;,THE MORNING AFTER;by Lisa Jackson;,LOOK BOTH WAYS;by Jason Reynolds;,ALL THE BRIGHT PLACES;by Jennifer Niven;
7,WHERE THE CRAWDADS SING;by Delia Owens;115 weeks on the list,IF IT BLEEDS;by Stephen King;20 weeks on the list,THE SONG OF ACHILLES;by Madeline Miller;10 weeks on the list,BAG MAN;by Rachel Maddow and Michael Yarvitz;3 weeks on the list,IS THIS ANYTHING?;by Jerry Seinfeld;12 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;121 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;48 weeks on the list,"FOOD NETWORK MAGAZINE: THE BIG, FUN KIDS COOKBOOK;by Food Network Magazine;12 weeks on the list",HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;24 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;557 weeks on the list,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;27 weeks on the list,A TIME FOR MERCY;by John Grisham;,TALKING TO STRANGERS;by Malcolm Gladwell;,EDISON;by Edmund Morris;,"DEMON SLAYER: KIMETSU NO YAIBA, VOL. 1;by Koyoharu Gotouge;",A CHRISTMAS MESSAGE;by Debbie Macomber;,BLENDED;by Sharon M. Draper;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
8,HOME BODY;by Rupi Kaur;6 weeks on the list,DAYLIGHT;by David Baldacci;6 weeks on the list,THE OVERSTORY;by Richard Powers;72 weeks on the list,IS THIS ANYTHING?;by Jerry Seinfeld;10 weeks on the list,HUMANS;by Brandon Stanton;11 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;52 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;196 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;86 weeks on the list,THE SHORTEST DAY;by Susan Cooper. Illustrated by Carson Ellis;New this week,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;59 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;40 weeks on the list,THE STAND;by Stephen King;,HILLBILLY ELEGY;by J.D. Vance;,POST CORONA;by Scott Galloway;,CLASS ACT;by Jerry Craft;,WYOMING TRUE;by Diana Palmer;,A TALE OF MAGIC...;by Chris Colfer;,AN EMBER IN THE ASHES;by Sabaa Tahir;
9,DAYLIGHT;by David Baldacci;6 weeks on the list,THE SENTINEL;by Lee Child and Andrew Child;9 weeks on the list,SHUGGIE BAIN;by Douglas Stuart;6 weeks on the list,THE LAST DAYS OF JOHN LENNON;by James Patterson with Casey Sherman and Dave Wedge;3 weeks on the list,BAG MAN;by Rachel Maddow and Michael Yarvitz;3 weeks on the list,JUST MERCY;by Bryan Stevenson;234 weeks on the list,YOU ARE A BADASS;by Jen Sincero;221 weeks on the list,A TALE OF WITCHCRAFT...;by Chris Colfer;12 weeks on the list,AN ELEPHANT AND PIGGIE BIGGIE!;by Mo Willems;18 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;94 weeks on the list,THE BLACK FRIEND;by Frederick Joseph;4 weeks on the list,ANXIOUS PEOPLE;by Fredrik Backman;,SAPIENS;by Yuval Noah Harari;,RANGE;by David Epstein;,REMINA;by Junji Ito;,SOMEDAY WITH YOU;by Nora Roberts;,"HELLO, UNIVERSE;by Erin Entrada Kelly;",DEAR MARTIN;by Nic Stone;
10,THE SENTINEL;by Lee Child and Andrew Child;9 weeks on the list,ANXIOUS PEOPLE;by Fredrik Backman;15 weeks on the list,THE STAND;by Stephen King;2 weeks on the list,BREATH;by James Nestor;3 weeks on the list,THE LAST DAYS OF JOHN LENNON;by James Patterson with Casey Sherman and Dave Wedge;3 weeks on the list,WHAT UNITES US;by Dan Rather and Elliot Kirschner;11 weeks on the list,WHAT IT'S LIKE TO BE A BIRD;by David Allen Sibley;5 weeks on the list,LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY;by Vashti Harrison with Kwesi Johnson;14 weeks on the list,I PROMISE;by LeBron James. Illustrated by Nina Mata;14 weeks on the list,THE BAD GUYS;by Aaron Blabey;107 weeks on the list,DEAR JUSTYCE;by Nic Stone;9 weeks on the list,DAYLIGHT;by David Baldacci;,BREATH;by James Nestor;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",SMILE;by Raina Telgemeier;,WHITE HOT;by Sandra Brown;,FRONT DESK;by Kelly Yang;,SERPENT AND DOVE;by Shelby Mahurin;
