,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,THE GIRL ON THE TRAIN;by Paula Hawkins;48 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;87 weeks on the list,THE MARTIAN;by Andy Weir;62 weeks on the list,,,NOT MY FATHER'S SON;by Alan Cumming;2 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;25 weeks on the list,THE BIG SHORT;by Michael Lewis;52 weeks on the list,NOT MY FATHER'S SON;by Alan Cumming;2 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;62 weeks on the list,THE SANDMAN;by Neil Gaiman and Dirk Maggs;8 weeks on the list,DRAMA;by Raina Telgemeier;127 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;29 weeks on the list",STAR WARS THE FORCE AWAKENS: BEFORE THE AWAKENING;by Greg Rucka. Illustrated by Phil Noto;3 weeks on the list,THE SWORD OF SUMMER;by Rick Riordan;13 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;21 weeks on the list,THE DAY THE CRAYONS CAME HOME;by Drew Daywalt. Illustrated by Oliver Jeffers;20 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;355 weeks on the list,THE 5TH WAVE;by Rick Yancey;15 weeks on the list,THE AMAZING BOOK IS NOT ON FIRE;by Dan Howell and Phil Lester;12 weeks on the list,THE 5TH WAVE;by Rick Yancey;20 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,THE BIG SHORT;by Michael Lewis;,WHY NOT ME?;by Mindy Kaling;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,100 DEADLY SKILLS;by Clint Emerson;,THE WRIGHT BROTHERS;by David McCullough;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,THE PIONEER WOMAN COOKS: DINNERTIME;by Ree Drummond;,LOST OCEAN;illustrated by Johanna Basford;,FURIOUSLY HAPPY;by Jenny Lawson;,WHY NOT ME?;by Mindy Kaling;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,WHY NOT ME?;by Mindy Kaling;,H IS FOR HAWK;by Helen Macdonald;,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE POWER OF I AM;by Joel Osteen;,THING EXPLAINER;by Randall Munroe;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;
2,THE MARTIAN;by Andy Weir;32 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;51 weeks on the list,THE REVENANT;by Michael Punke;2 weeks on the list,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;25 weeks on the list,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;9 weeks on the list,YES PLEASE;by Amy Poehler;18 weeks on the list,WHAT IF?;by Randall Munroe;2 weeks on the list,THING EXPLAINER;by Randall Munroe;6 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;185 weeks on the list,"AVATAR, THE LAST AIRBENDER: SMOKE AND SHADOW PART 2;by Gene Luen Yang and Gurihiru;New this week","ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;18 weeks on the list",THE SWORD OF SUMMER;by Rick Riordan;13 weeks on the list,THE ISLE OF THE LOST;by Melissa de la Cruz;20 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;21 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;132 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;8 weeks on the list,THE INFINITE SEA;by Rick Yancey;9 weeks on the list,RED QUEEN;by Victoria Aveyard;20 weeks on the list,THE INFINITE SEA;by Rick Yancey;9 weeks on the list,THE DOGIST;by Elias Weiss Friedman;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,BOYS IN THE TREES;by Carly Simon;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,SPQR;by Mary Beard;,F IN EXAMS;by Richard Benson;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,IN THE HEART OF THE SEA;by Nathaniel Philbrick;,YOUR BEAUTY MARK;by Dita Von Teese with Rose Apodaca;,THE FOOD LAB;by J. Kenji Lopez-Alt;,STRESS RELIEVING ANIMAL DESIGNS;by the editors of Blue Star Books;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,YES PLEASE;by Amy Poehler;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,JUST MERCY;by Bryan Stevenson;,THE WITCHES;by Stacy Schiff;,WHAT IF?;by Randall Munroe;,CONCUSSION;by Jeanne Marie Laskas;,HUMANS OF NEW YORK;by Brandon Stanton;
3,ROGUE LAWYER;by John Grisham;11 weeks on the list,ROGUE LAWYER;by John Grisham;11 weeks on the list,BROOKLYN;by Colm Toibin;10 weeks on the list,,,THE BIG SHORT;by Michael Lewis;11 weeks on the list,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;15 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;84 weeks on the list,THE BIG SHORT;by Michael Lewis;24 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;22 weeks on the list,"AMAZING FANTASTIC INCREDIBLE;by Stan Lee, Peter David and Colleen Doran;9 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 3;by Robert Kirkman and Charlie Adlard;12 weeks on the list","ONE-PUNCH MAN, VOL. 3;by ONE and Yusuke Murata;7 weeks on the list",ODD AND THE FROST GIANTS;by Neil Gaiman. Illustrated by Brett Helquist;2 weeks on the list,STAR WARS: THE FORCE AWAKENS;by Greg Rucka. Illustrated by Phil Noto;2 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;21 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;15 weeks on the list,HARRY POTTER;by J.K. Rowling;354 weeks on the list,RED QUEEN;by Victoria Aveyard;3 weeks on the list,SIX OF CROWS;by Leigh Bardugo;13 weeks on the list,PAPER TOWNS;by John Green;21 weeks on the list,RESCUE ROAD;by Peter Zheutlin;,ELON MUSK;by Ashlee Vance;,YES PLEASE;by Amy Poehler;,JUST MERCY;by Bryan Stevenson;,M TRAIN;by Patti Smith;,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,DEAD WAKE;by Erik Larson;,TIMELESS BEAUTY;by Christie Brinkley;,THUG KITCHEN;by the staff of Thug Kitchen;,ENCHANTED FOREST;illustrated by Johanna Basford;,BEING MORTAL;by Atul Gawande;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,BURY MY HEART AT WOUNDED KNEE;by Dee Brown;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,DARTH VADER AND SON;by Jeffrey Brown;,DESTINY AND POWER;by Jon Meacham;,THE NEW JIM CROW;by Michelle Alexander;,TROUBLEMAKER;by Leah Remini and Rebecca Paley;,THE WRIGHT BROTHERS;by David McCullough;,UNBROKEN;by Laura Hillenbrand;,MY SOUTHERN JOURNEY;by Rick Bragg;
4,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;67 weeks on the list,SEE ME;by Nicholas Sparks;12 weeks on the list,THE ALCHEMIST;by Paulo Coelho;387 weeks on the list,,,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;9 weeks on the list,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;12 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;31 weeks on the list,SUCH GOOD GIRLS;by R. D. Rosen;5 weeks on the list,THE PIONEER WOMAN COOKS: DINNERTIME;by Ree Drummond;11 weeks on the list,KILLING AND DYING;by Adrian Tomine;13 weeks on the list,SMILE;by Raina Telgemeier;186 weeks on the list,"ONE-PUNCH MAN, VOL. 2;by ONE and Yusuke Murata;12 weeks on the list",THE KEEPER;by David Baldacci;16 weeks on the list,AUGGIE & ME;by R.J. Palacio;20 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;21 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;98 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;15 weeks on the list,99 DAYS;by Katie Cotugno;2 weeks on the list,CARRY ON;by Rainbow Rowell;13 weeks on the list,LOOKING FOR ALASKA;by John Green;21 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",TROUBLEMAKER;by Leah Remini and Rebecca Paley;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,HUMANS OF NEW YORK;by Brandon Stanton;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,RED NOTICE;by Bill Browder;,THE INVENTION OF NATURE;by Andrea Wulf;,EMPIRE OF COTTON;by Sven Beckert;,THE 20/20 DIET;by Phil McGraw;,SECRET GARDEN;illustrated by Johanna Basford;,CONCUSSION;by Jeanne Marie Laskas;,SELP-HELF;by Miranda Sings;,CRAZY HORSE AND CUSTER;by Stephen Ambrose;,H IS FOR HAWK;by Helen Macdonald;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,THE BIG SHORT;by Michael Lewis;,EMPIRE OF COTTON;by Sven Beckert;,GRATITUDE;by Oliver Sacks;,BEING MORTAL;by Atul Gawande;,ABOVE THE LINE;by Urban Meyer with Wayne Coffey;,WILD;by Cheryl Strayed;
5,POINT BLANK;by Fern Michaels;New this week,THE BAZAAR OF BAD DREAMS;by Stephen King;9 weeks on the list,MY BRILLIANT FRIEND;by Elena Ferrante;18 weeks on the list,,,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;15 weeks on the list,BINGE;by Tyler Oakley;7 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;316 weeks on the list,BEYOND BELIEF;by Jenna Miscavige Hill with Lisa Pulitzer;10 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;134 weeks on the list,"STEP ASIDE, POPS;by Kate Beaton;16 weeks on the list",SISTERS;by Raina Telgemeier;70 weeks on the list,"TOKYO GHOUL, VOL. 4;by Sui Ishida;3 weeks on the list",OUT OF MY MIND;by Sharon M. Draper;New this week,WONDER;by R.J. Palacio;21 weeks on the list,HOUSE OF ROBOTS;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;11 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;66 weeks on the list,LUNAR CHRONICLES;by Marissa Meyer;16 weeks on the list,WE WERE LIARS;by E. Lockhart;9 weeks on the list,"EVERYTHING, EVERYTHING;by Nicola Yoon;17 weeks on the list",ME AND EARL AND THE DYING GIRL;by Jesse Andrews;21 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;,THE POWER OF HABIT;by Charles Duhigg;,FURIOUSLY HAPPY;by Jenny Lawson;,RED NOTICE;by Bill Browder;,MY LIFE ON THE ROAD;by Gloria Steinem;,THE OPPOSITE OF LONELINESS;by Marina Keegan;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",THE FINEST HOURS;by Michael J. Tougias and Casey Sherman;,HOME;by Ellen DeGeneres;,NERDY NUMMIES COOKBOOK;by Rosanna Pansino;,ADULT COLORING BOOKS;by the staff of Coloring Books for Adults;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,BINGE;by Tyler Oakley;,HISTORY OF THE INDIAN TRIBES OF NORTH AMERICA;by Thomas McKenney and James Hall. Illustrated by Charles Bird Kingl;,DARING GREATLY;by Brené Brown;,VADER'S LITTLE PRINCESS;by Jeffrey Brown;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,CITIZEN;by Claudia Rankine;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,ELON MUSK;by Ashlee Vance;,SUPER BOWL GOLD;by the editors of Sports Illustrated;,THE OREGON TRAIL;by Rinker Buck;
6,THE NIGHTINGALE;by Kristin Hannah;36 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;44 weeks on the list,THE MAN IN THE HIGH CASTLE;by Philip K. Dick;6 weeks on the list,,,WHAT IF?;by Randall Munroe;22 weeks on the list,WHY NOT ME?;by Mindy Kaling;15 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;12 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;12 weeks on the list,PRESENCE;by Amy Cuddy;2 weeks on the list,"HARLEY QUINN, VOL. 3;by Amanda Conner, Jimmy Palmiotti, Chad Hardin and John Timms;New this week","SAGA, VOL. 5;by Brian K. Vaughan and Fiona Staples;9 weeks on the list","TOKYO GHOUL, VOL. 3;by Sui Ishida;11 weeks on the list",,ROBOTS GO WILD;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;6 weeks on the list,COUNTING BY 7s;by Holly Goldberg Sloan;16 weeks on the list,THE SHEEPOVER;by John Churchman and Jennifer Churchman;New this week,DORK DIARIES;by Rachel Renée Russell;149 weeks on the list,,FANGIRL;by Rainbow Rowell;20 weeks on the list,THIS BOOK LOVES YOU;by PewDiePie;11 weeks on the list,DOG SONGS;by Mary Oliver;,OUTLIERS;by Malcolm Gladwell;,BINGE;by Tyler Oakley;,GHETTOSIDE;by Jill Leovy;,BOB DYLAN: ALL THE SONGS;by Philippe Margotin and Jean-Michel Guesdon;,THE ORGANIZED MIND;by Daniel J. Levitin;,SPY SECRETS THAT CAN SAVE YOUR LIFE;by Jason Hanson;,THE OREGON TRAIL;by Rinker Buck;,HOW TO TIE A SCARF;by the staff of Potter Style;,THUG KITCHEN PARTY GRUB GUIDE;by the staff of Thug Kitchen;,"ANIMAL KINGDOM: COLOR ME, DRAW ME;by Millie Marotta;",MEDICAL MEDIUM;by Anthony William;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,,LOVE DOES;by Bob Goff;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,CRIPPLED AMERICA;by Donald J. Trump;,GHETTOSIDE;by Jill Leovy;,FOR THE LOVE;by Jen Hatmaker;,QUIET;by Susan Cain;,THE THREE-YEAR SWIM CLUB;by Julie Checkoway;,"RARELY SEEN;by the staff of National Geographic, Stephen Alvarez and Susan Tyler Hitchcock;"
7,CROSS JUSTICE;by James Patterson;6 weeks on the list,CROSS JUSTICE;by James Patterson;6 weeks on the list,14TH DEADLY SIN;by James Patterson and Maxine Paetro;2 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;85 weeks on the list,THE WITCHES;by Stacy Schiff;10 weeks on the list,IN THE HEART OF THE SEA;by Nathaniel Philbrick;28 weeks on the list,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;15 weeks on the list,BIG MAGIC;by Elizabeth Gilbert;15 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;87 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: MARY ANNE SAVES THE DAY;by Ann M. Martin and Raina Telgemeier;12 weeks on the list,"TOKYO GHOUL, VOL. 2;by Sui Ishida;18 weeks on the list",,PERCY JACKSON'S GREEK HEROES;by Rick Riordan. Illustrated by John Rocco;16 weeks on the list,THE PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;21 weeks on the list,THE RABBIT WHO WANTS TO FALL ASLEEP;by Carl-Johan Forssen Ehrlin. Illustrated by Irina Maununen;6 weeks on the list,THE MAZE RUNNER;by James Dashner;169 weeks on the list,,WE ALL LOOKED UP;by Tommy Wallach;9 weeks on the list,THE BOOK THIEF;by Markus Zusak;21 weeks on the list,THE HORSE;by Wendy Williams;,ABOVE THE LINE;by Urban Meyer with Wayne Coffey;,M TRAIN;by Patti Smith;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE RAP YEAR BOOK;by Shea Serrano and Arturo Torres;,SHOW YOUR WORK!;by Austin Kleon;,THE BILLION DOLLAR SPY;by David E. Hoffman;,PACIFIC;by Simon Winchester;,LOVE STYLE LIFE;by Garance Doré;,GREAT FOOD FAST;by Bob Warden and Christian Stella;,THE OFFICIAL A GAME OF THRONES COLORING BOOK;various illustrators;,DR. KELLYANN'S BONE BROTH DIET;by Kellyann Petrucci;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,,MEN EXPLAIN THINGS TO ME;by Rebecca Solnit;,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,FERVENT;by Priscilla Shirer;,THE INVENTION OF NATURE;by Andrea Wulf;,"50 YEARS, 50 MOMENTS;by Jerry Rice and Randy O. Williams;",PACIFIC;by Simon Winchester;
8,SEE ME;by Nicholas Sparks;12 weeks on the list,THE GUILTY;by David Baldacci;7 weeks on the list,THE CHOICE;by Nicholas Sparks;20 weeks on the list,,,WHY NOT ME?;by Mindy Kaling;16 weeks on the list,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;19 weeks on the list,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;2 weeks on the list,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;9 weeks on the list,YEAR OF YES;by Shonda Rhimes;8 weeks on the list,THE BEST AMERICAN COMICS 2015;edited by Jonathan Lethem;13 weeks on the list,"STAR WARS: SHATTERED EMPIRE;by Greg Rucka, Marco Chechetto and Angel Unzueta;3 weeks on the list","ATTACK ON TITAN, VOL. 17;by Hajime Isayama;3 weeks on the list",,CRENSHAW;by Katherine Applegate;15 weeks on the list,THE CARE AND KEEPING OF YOU 2;by Cara Natterson. Illustrated by Josee Masse;7 weeks on the list,PRESS HERE;by Hervé Tullet;222 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;6 weeks on the list,,ELEANOR AND PARK;by Rainbow Rowell;19 weeks on the list,AN ABUNDANCE OF KATHERINES;by John Green;19 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,WHEN TO ROB A BANK;by Steven D. Levitt and Stephen J. Dubner;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,SISTERS IN LAW;by Linda Hirshman;,SAM PHILLIPS;by Peter Guralnick;,BETWEEN YOU & ME;by Mary Norris;,THE DEVIL'S CHESSBOARD;by David Talbot;,INTO THE WILD;by Jon Krakauer;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,COLOR ME CALM;by Lacy Mucklow. Illustrated by Angela Porter.;,BETTER THAN BEFORE;by Gretchen Rubin;,BOSSYPANTS;by Tina Fey;,,THE ANDY COHEN DIARIES;by Andy Cohen;,HOW TO LOVE;by Thich Nhat Hanh. Illustrated by Jason DeAntonis;,LIGHTS OUT;by Ted Koppel;,NEGROLAND;by Margo Jefferson;,THE EMMAUS CODE;by David Limbaugh;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BARBARIAN DAYS;by William Finnegan;,VARGIC'S MISCELLANY OF CURIOUS MAPS: MAPPING THE MODERN WORLD;by Martin Vargic;
9,THE CHOICE;by Nicholas Sparks;2 weeks on the list,GO SET A WATCHMAN;by Harper Lee;24 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;106 weeks on the list,,,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;17 weeks on the list,CRIPPLED AMERICA;by Donald J. Trump;9 weeks on the list,QUIET;by Susan Cain;123 weeks on the list,TROUBLEMAKER;by Leah Remini and Rebecca Paley;9 weeks on the list,THE ART OF STAR WARS: THE FORCE AWAKENS;by Phil Szostak and Lucas Film artists;2 weeks on the list,HERE;by Richard McGuire;35 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;34 weeks on the list,"NARUTO, VOL. 72;by Masashi Kishimoto;12 weeks on the list",,THE MARVELS;by Brian Selznick;14 weeks on the list,FLORA AND ULYSSES;by Kate DiCamillo. Illustrated by K. G. Campbell;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;213 weeks on the list",DESCENDANTS;by various authors;20 weeks on the list,,ILLUMINAE;by Amie Kaufman and Jay Kristoff;11 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;14 weeks on the list,YOU NEED MORE SLEEP;by Francesco Marciuliano;,#GIRLBOSS;by Sophia Amoruso;,WILDFLOWER;by Drew Barrymore;,ORANGE IS THE NEW BLACK;by Piper Kerman;,FLORENCE;by Ross King and Anja Grebe;,ON WRITING;by Stephen King;,A SPY AMONG FRIENDS;by Ben Macintyre;,ASTORIA;by Peter Stark;,HOW TO TIE A TIE;by the Potter Style staff;,FRANKLIN BARBECUE;by Aaron Franklin and Jordan Mackay;,ART THERAPY: THE ART OF COLORING STAR WARS;by Catherine Saunier-Talec and Anne Vallet;,"2,100 ASANAS;by Daniel Lacerda;",HYPERBOLE AND A HALF;by Allie Brosh;,,TINY BEAUTIFUL THINGS;by Cheryl Strayed;,LITTLE VICTORIES;by Jason Gay;,MY LIFE ON THE ROAD;by Gloria Steinem;,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;,BEYOND BELIEF;by Jenna Miscavige Hill with Lisa Pulitzer;,CONCUSSION;by Jeanne Marie Laskas;,"IT'S GOOD TO BE GRONK;by Rob ""Gronk"" Gronkowski with Jason Rosenhaus;",FLORENCE;by Ross King and Anja Grebe;
10,THE GUILTY;by David Baldacci;7 weeks on the list,THE MAGIC STRINGS OF FRANKIE PRESTO;by Mitch Albom;8 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;New this week,,,BOYS IN THE TREES;by Carly Simon;5 weeks on the list,H IS FOR HAWK;by Helen Macdonald;12 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;101 weeks on the list",BOYS IN THE TREES;by Carly Simon;6 weeks on the list,THE FOOD LAB;by J. Kenji Lopez-Alt;9 weeks on the list,THE THRILLING ADVENTURES OF LOVELACE AND BABBAGE;by Sydney Padua;26 weeks on the list,"STAR WARS: DARTH VADER, VOL. 1;by Kieron Gillen and Salvador Larocca;3 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;120 weeks on the list",,THE STORY OF DIVA AND FLEA;by Mo Willems. Illustrated by Tony DiTerlizzi;11 weeks on the list,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;18 weeks on the list,WAITING;by Kevin Henkes;9 weeks on the list,I FUNNY;by James Patterson and Chris Grabenstein. Illustrated by Laura Park;8 weeks on the list,,ALL THE BRIGHT PLACES;by Jennifer Niven;14 weeks on the list,I'LL GIVE YOU THE SUN;by Jandy Nelson;8 weeks on the list,DO UNTO ANIMALS;by Tracey Stewart;,EMPIRE OF COTTON;by Sven Beckert;,SINATRA: THE CHAIRMAN;by James Kaplan;,ONE OF US;by Ãsne Seierstad;,VARGIC'S MISCELLANY OF CURIOUS MAPS: MAPPING THE MODERN WORLD;by Martin Vargic;,NEUROTRIBES;by Steve Silberman;,THE PENTAGON'S BRAIN;by Annie Jacobsen;,VOICES FROM CHERNOBYL;by Svetlana Alexievich. Translated by Keith Gessen;,I'LL NEVER WRITE MY MEMOIRS;by Grace Jones as told to Paul Morley;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,CREATIVE HAVEN ART NOUVEAU ANIMAL DESIGNS COLORING BOOK;Illustrated by Marty Noble;,TIMELESS BEAUTY;by Christie Brinkley;,THE BIG BAD BOOK OF BILL MURRAY;by Robert Schnakenberg;,,DEAR MR. YOU;by Mary-Louise Parker;,THE LAST SEASON;by Stuart Stevens;,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;,THE SECRET GAME;by Scott Ellsworth;,IMAGINE HEAVEN;by John Burke;,DARK MATTER AND THE DINOSAURS;by Lisa Randall;,RAW;by Colin Cowherd;,A WALK IN THE WOODS;by Bill Bryson;
